"year","quarter","light_desc","light_code","county_desc","county_no","muni_desc","muni_code","junction_desc","junction_code","collision_type_desc","collision_type_code","surf_cond_desc","surf_cond_code","lane_desc","lane_code","rd_cond_desc","rd_cond_code","rd_div_desc","rd_div_code","fix_obj_desc","fix_obj_code","report_no","report_type","weather_desc","weather_code","acc_date","acc_time","loc_code","signal_flag_desc","signal_flag","c_m_zone_flag","agency_code","area_code","harm_event_desc1","harm_event_code1","harm_event_desc2","harm_event_code2","rte_no","route_type_code","rte_suffix","log_mile","logmile_dir_flag_desc","logmile_dir_flag","mainroad_name","distance","feet_miles_flag_desc","feet_miles_flag","distance_dir_flag","reference_no","reference_type_code","reference_suffix","reference_road_name","latitude","longitude","geocoded_column"
"2020","Q2","Daylight","1","Baltimore","3",,,,,"Other","88",,,,,,,,,"Not Applicable","0","AE58770052","Property Damage Crash","Not Applicable","0","20200618","15:15:00",,"No","N","N","BACOPD","UNK","Parked Vehicle","2","Not Applicable","0",,,,,,,,,,,,,,,,"39.27726285","-76.5036932","POINT (-76.5036932 39.27726285)"
"2022","Q2","Dark Lights On","3","Montgomery","15",,,,,"Other","88",,,,,,,,,"Not Applicable","0","MCP2539001Y","Property Damage Crash",,"6.01","20220422","22:49:00","55222","No","N","N","MONTGOMERY","UNK","Other Vehicle","1","Not Applicable","0",,,,,,,,,,,,,,,,"38.9922095","-77.0970206666667","POINT (-77.097020666667 38.9922095)"
"2020","Q4",,"6.02","Baltimore","3",,,,,"Other","88",,,,,,,,,"Not Applicable","0","AE63330016","Property Damage Crash",,"6.01","20201027","17:50:00",,"No","N","N","BACOPD","UNK","Other Vehicle","1","Not Applicable","0",,,,,,,,,,,,,,,,"39.3236200833333","-76.5030801166667","POINT (-76.503080116667 39.323620083333)"
"2022","Q1","Daylight","1","Baltimore","3",,,,,"Other","88",,,,,,,,,"Not Applicable","0","AE6418003H","Property Damage Crash",,"6.01","20220226","12:00:00",,"No","N","N","BACOPD","UNK","Other Vehicle","1","Not Applicable","0",,,,,,,,,,,,,,,,"39.4112131050871","-76.6280284251474","POINT (-76.628028425147 39.411213105087)"
"2022","Q2","Dark Lights On","3","Queen Anne's","17",,,,,"Single Vehicle","17",,,,,,,,,"Construction Barrier","12","MDTA1765000Y","Property Damage Crash",,"6.01","20220604","03:02:00",,"No","N","N","MDTA","UNK","Fixed Object","9","Not Applicable","0",,,,,,,,,,,,,,,,"38.97488","-76.28109","POINT (-76.28109 38.97488)"
"2020","Q2",,"6.02","Baltimore City","24",,,"Non Intersection","1","Other","88","Dry","2","Left Turn Lane","2","No Defects","1","One-way Trafficway","2","Other Pole","10","ADJ984001J","Injury Crash",,"7.01","20200430","06:39:00","1003","Yes","Y","N","BALTIMORE","UNK","Other Vehicle","1","Other Vehicle","1",,,,"0",,,"CHARLES STREET","2","Miles","M","N",,,,"NORTH AVE","39.3110247944307","-76.6164294532046","POINT (-76.616429453205 39.311024794431)"
"2021","Q1","Daylight","1","Frederick","10",,,,,"Same Movement Angle","11",,,,,,,,,"Not Applicable","0","ZJ0498004H","Property Damage Crash","Raining","3","20210104","15:17:00",,"No","N","N","FREDERICK","UNK","Other Vehicle","1","Not Applicable","0",,,,,,,,,,,,,,,,"39.3746248333333","-77.4119623333333","POINT (-77.411962333333 39.374624833333)"
"2022","Q2",,"6.02","Baltimore","3",,"0","Intersection Related","3","Same Movement Angle","11","Dry","2",,,"No Defects","1","Two-way, Not Divided","1","Not Applicable","0","AE6298000J","Property Damage Crash",,"6.01","20220411","18:57:00",,"No","N","N","BACOPD","UNK","Other Vehicle","1","Not Applicable","0","812","CO",,"0.08","South","S","GIRDWOOD RD","5","Feet","F","S","0","UU",,"QUIET STREAM CT","39.46370405","-76.6086596833333","POINT (-76.608659683333 39.46370405)"
"2020","Q2","Daylight","1","Montgomery","15",,,,,"Other","88",,,,,,,,,"Not Applicable","0","EJ7878001D","Injury Crash",,"6.01","20200504","09:46:00","54222","No","N","N","GAITHERSBURG","UNK","Pedestrian","3","Not Applicable","0",,,,,,,,,,,,,,,,"39.140680249069","-77.1934127295612","POINT (-77.193412729561 39.140680249069)"
"2021","Q1","Daylight","1","Baltimore","3",,,,,"Other","88",,,,,,,,,"Not Applicable","0","AE4194004B","Injury Crash",,"6.01","20210113","16:00:00","PC07","No","N","N","BACOPD","UNK","Bicycle","4","Not Applicable","0",,,,,,,,,,,,,,,,"39.4661715297812","-76.6148377730668","POINT (-76.614837773067 39.466171529781)"
