"year","month","airtran","american","american_eagle","cape_air","delta","delta_asa","delta_chautaqua","delta_comair","delta_compass","delta_freedom","delta_gojet","delta_mesaba","delta_northwest","northwest_pinnacle","delta_skywest","delta_pinnacle","jetblue","spirit","midwest_connect_skyway","southwest","continental_chautaqua","continental_expressjet","united","united_chautauqua","united_colgan","united_commutair","united_continental","united_expressjet","united_gojet","united_shuttle_america","united_republic","us_airways","us_airways_air_wisconsin","us_airways_chautaqua","us_airways_mesa","us_airways_piedmont","us_airways_psa","us_airways_republic","air_canada","air_jamaica","bahamasair","british_airways","condor","frontier","usa_3000","vision_airlines","air_canada_jetz","aero_mexico","allegiant_air","ameristar","ati","atlas_air","capital_airlines","falcon_air_express","hawaiian","lan_airlines","miami_air","midwest_airlines","north_american","northrop_grumman","omni","other","republic","ryan","sas","saudi_arabian","sierra_pacific","sky_king","sun_county","swift_air","team_jet","titan_airways","usa_jet","world","world_atlantic"
"2010","Jan","242128","62414","7852","1287","75526","0","9168","2282","0","653","0","9992","46730","0",,"0","13739","0","0","789954","5647","9254","76024","0","0","0","28985","0","0","0",,"70371","7398","2619","594","7230","2050","1887","2435","6289","0","7577","0","0","0","0","0","0","0","0","408","0","0","0","0","0","92","0","2801","63","2519","72","0","482","0","0","0","0","0","0","0","0","0","6390","0"
"2010","Feb","206609","47216","6467","1124","58297","0","6943","1454","0","0","0","7795","34970","0",,"0","10961","0","0","586606","2917","8273","63462","0","0","0","22239","0","0","0",,"58133","4729","2804","999","6032","1193","1855","2726","4186","0","5059","0","0","0","0","0","0","0","0","239","0","0","0","0","0","326","0","1634","0","3914","235","0","426","0","0","0","0","0","0","0","0","0","1979","0"
"2010","Mar","294403","66157","8874","1602","124516","0","10953","2235","0","0","0","11853","23627","0",,"0","20653","0","0","973477","2794","15441","100374","0","0","0","28675","0","0","0",,"82619","6201","4773","1487","9938","1587","2494","4609","5540","0","6672","0","0","0","0","0","0","256","0","403","0","0","0","0","0","881","0","537","29","3010","268","0","2380","0","0","150","0","0","0","0","0","0","2786","0"
"2010","Apr","281366","65719","12701","1543","156400","0","10450","2327","0","100","0","8996","0","0",,"0","21871","0","0","990728","4298","14646","101070","0","0","0","26816","0","0","0",,"84229","6844","5113","1651","9863","1619","2726","5035","4390","0","7098","0","0","0","0","146","0","0","0","382","0","0","0","0","0","2110","0","594","41","4813","362","0","2816","0","0","0","0","0","0","0","0","0","3335","0"
"2010","May","309705","66768","13824","1468","157869","0","7557","2325","0","1765","0","11148","0","0",,"0","23487","0","0","1041684","6028","12818","103734","0","0","0","36617","0","0","0",,"86129","7269","5935","1485","10457","1579","4924","6421","4380","0","5972","0","0","0","0","0","0","35","50","457","0","0","0","0","0","939","0","1596","19","4918","172","0","3651","0","0","40","0","118","0","0","0","0","3609","0"
"2010","Jun","359810","67700","13766","1492","168970","0","2009","7440","0","1822","0","3701","0","0",,"7903","22617","0","0","1111896","3442","15623","105441","0","0","0","38960","0","0","0",,"95799","4689","2688","620","12348","2256","1270","6938","3749","0","7518","0","0","1147","0","0","0","349","0","446","0","0","0","0","0","155","0","353","22","5289","47","0","3311","0","0","60","0","0","0","0","0","0","3647","0"
"2010","Jul","383786","70454","14623","1562","169590","0","49","13551","0","0","0","0","0","0",,"8683","21553","0","0","1171494","4482","15355","105497","0","0","0","38756","0","0","0",,"95531","4756","2321","1169","11008","2500","2621","6890","0","0","10821","0","0","2040","0","0","0","0","0","558","0","0","0","0","0","0","0","537","26","4311","123","0","2735","0","0","0","0","0","0","0","0","0","3135","0"
"2010","Aug","364105","70081","15185","1583","168638","0","1182","11131","0","835","0","0","0","0",,"10082","23677","0","0","1128231","4130","15053","105244","0","0","0","36976","0","0","0",,"96412","4980","1935","684","11347","2240","3168","6916","0","0","11250","0","0","1592","0","0","0","475","0","483","0","0","0","0","0","0","0","642","0","4111","180","0","2625","0","0","0","0","0","0","110","0","0","2842","0"
"2010","Sep","253851","59575","13513","1515","154986","130","3814","9754","0","0","0","123","0","0",,"4305","19589","0","0","936313","4110","13161","94270","0","151","0","26202","0","0","0",,"88287","4619","2168","569","10923","2221","2159","6051","0","0","9886","0","148","2734","0","116","0","320","0","471","0","0","0","0","0","998","0","1102","31","3535","0","0","3107","0","0","0","0","0","0","0","0","0","4143","0"
"2010","Oct","298463","68237","15022","1816","176014","530","4928","11463","612","0","0","268","0","0",,"1466","23892","0","0","1085361","198","10298","97784","0","9980","0","35279","0","0","0",,"93067","6234","2528","764","13106","176","3537","6957","0","0","9922","0","0","4561","0","0","0","0","0","472","0","140","0","0","0","1094","0","3257","22","335","30","0","1463","0","0","0","260","0","0","0","0","0","5369","0"
"2010","Nov","287709","64817","13485","1562","160976","705","4454","6953","3156","0","0","2931","0","0",,"96","18622","0","0","980593","0","6027","82461","0","14102","0","33446","0","0","0",,"88038","392","2256","570","12048","6046","2416","4979","0","0","8383","0","0","4417","0","0","0","0","0","351","0","0","0","0","0","266","0","1954","17","799","0","0","1397","0","0","0","0","0","0","0","0","76","4845","0"
"2010","Dec","276644","64119","10965","1346","142492","2910","5414","4405","1030","0","0","4667","0","0",,"0","14718","0","0","946909","0","6571","79471","0","9922","0","31833","0","0","0",,"87430","344","2316","570","12048","6049","3115","4375","0","0","7865","0","0","736","0","0","0","324","0","352","0","0","0","0","0","264","0","2255","16","1713","128","0","1415","0","0","0","0","0","0","0","0","0","6477","0"
"2011","Jan","215893","58998","10342","1392","115309","2485","5336","3666","2627","0","0","3367","0","0",,"88","14741","0","0","856223","0","4087","70436","0","9960","0","22238","4306","0","0",,"77402","423","1890","162","8800","5818","2917","4297","0","0","7446","0","0","0","0","0","0","0","0","328","0","0","0","0","0","443","0","2093","23","3312","77","0","658","0","0","0","0","0","100","0","0","0","4252","0"
"2011","Feb","206277","53968","8946","1067","105982","3462","5342","3684","3661","0","0","2003","0","0",,"48","14087","0","0","792089","0","3373","54702","0","9930","0","18147","4220","0","0",,"76252","393","1658","167","8130","5345","2560","3702","0","0","5562","0","0","0","0","0","0","256","0","376","0","0","0","0","0","324","0","2160","10","3890","79","0","878","0","0","0","0","0","0","0","0","80","2010","0"
"2011","Mar","267421","66494","12261","1699","141503","8892","9196","3885","7022","0","0","229","0","0",,"0","18017","0","0","1085356","0","4235","68935","0","14757","0","26021","6816","0","0",,"91930","413","2328","0","10430","6816","3914","4721","0","0","8388","0","0","104","0","0","0","0","0","344","0","0","0","0","0","676","0","1829","36","3968","93","0","283","0","0","0","0","0","0","0","0","0","3392","0"
"2011","Apr","282563","63917","13652","1678","142437","6374","6471","6070","3381","0","0","2592","0","0",,"3570","21040","0","0","1083186","0","2631","74526","0","18170","0","25946","5989","0","0",,"85693","20","2647","0","10206","7058","3115","4735","0","0","9737","0","0","0","0","0","0","260","0","382","0","0","0","0","0","983","0","2704","0","3939","318","0","808","0","0","0","0","0","0","0","0","0","2507","0"
"2011","May","319101","65619","14449","1945","160245","6956","10191","6498","4758","0","0","3075","0","0",,"46","22919","0","0","1171942","0","2091","80351","0","20257","0","28868","5670","0","0",,"98732","149","2601","0","12596","7871","2724","6111","0","0","10339","0","0","0","0","0","0","0","0","438","0","0","0","0","0","1335","0","0","119","4976","416","0","1657","0","0","122","0","0","102","0","0","116","3163","0"
"2011","Jun","334998","70671","13589","1924","164783","6230","7067","8570","10224","0","0","1100","0","0",,"1705","22720","0","0","1185864","0","2495","76055","0","22165","0","31176","4344","5383","0",,"99890","47","2394","0","11826","7503","1805","6968","0","0","10277","0","0","0","0","110","0","0","0","525","0","0","0","0","0","968","0","590","0","7694","35","0","511","0","0","0","0","115","330","0","0","32","4093","0"
"2011","Jul","364631","71988","14240","1919","167042","5577","6418","9686","12347","0","0","6774","0","0",,"0","23399","0","0","1211951","0","1234","87327","0","25582","0","31803","2154","6938","0",,"100625","135","2389","0","10734","7368","2424","6614","0","0","10432","0","0","0","0","0","0","248","0","494","0","0","0","0","0","0","0","765","75","6983","98","0","750","250","35","48","0","0","0","0","0","110","3448","0"
"2011","Aug","344240","68737","13676","1697","169023","6223","6013","9788","6466","0","0","4411","0","0",,"0","21308","0","0","1111306","0","1296","80199","0","21667","0","29049","2183","6697","0",,"94821","688","1982","0","10811","6983","2501","6518","0","0","10003","0","0","1283","0","110","0","0","0","487","0","0","0","0","0","0","0","456","0","6362","141","0","463","0","0","0","0","0","0","0","0","0","3603","0"
"2011","Sep","232830","58786","14124","1794","156226","6692","992","10570","277","0","0","8665","0","0",,"3539","20635","0","0","995803","0","2152","61935","0","19673","0","26090","2728","2637","0",,"92033","893","2067","0","11678","6454","746","5398","0","0","8883","0","0","2276","0","110","0","0","0","338","0","0","0","0","0","225","0","604","0","5761","80","0","414","0","38","0","0","260","0","0","0","0","3158","0"
"2011","Oct","258513","61564","15413","1911","163518","7061","0","10762","0","0","0","6894","0","0",,"3853","23933","0","0","1114191","0","305","62607","0","22756","0","29317","2575","2827","0",,"94930","556","2397","0","13354","7176","730","5605","0","0","9808","0","850","1690","244","0","0","0","0","420","0","0","0","0","0","1652","0","866","39","7705","60","0","507","0","89","0","0","260","0","0","0","0","3091","0"
"2011","Nov","266690","57895","13315","1759","153020","10798","3664","3542","0","0","0","4339","0","0",,"5491","17541","0","0","993604","0","138","55706","0","23231","0","25888","2306","4729","0",,"94334","2917","3649","0","9520","6564","1253","4556","0","0","8545","0","1707","0","1000","0","0","0","0","369","0","0","296","0","0","0","0","1190","0","4022","28","0","203","0","64","0","76","0","32","0","0","68","5913","0"
"2011","Dec","253787","59877","11768","1611","140287","2717","5656","1336","521","0","0","2801","0","0",,"4642","15942","0","0","964545","0","10423","57380","0","10227","0","29059","4469","1739","0",,"96129","1629","3262","0","9877","6819","1688","4071","0","0","8971","0","205","0","950","110","0","0","146","440","0","0","0","0","0","0","0","1306","0","3998","123","0","272","0","0","0","0","0","0","0","0","0","5433","0"
