"overflow_type","municipality_facility","npdes","date_discovered","time_discovered","days","hours","minutes","location","zip_code","collection_system","quantity_in_gallons_estimated","net_in_gallons_estimated","cause","watershed","receiving_waters","county","notes","penalty_collected","penalty_comments","latitude","longitude"
"Bypass","Greenbriar State Park (MES)","MD0023868","2012-09-02T00:00:00.000","1:00:00 PM","0","2","0","Greenbirar State Park, 21843 National Pike, Boonsboro","21713","Greenbriar State Park WWTP","1360","1360","Clog in the clarifier",,"Little Beaver Creek","Washington County","Blank fields = No Information Submitted",,,"39.542521","77.608443"
"Bypass","Salisbury, City of","MD0021571","2012-09-05T00:00:00.000","10:30:00 PM","1","10","30","Salisbury WWTP final effluent outfall (001)","21801","Salisbury WWTP","0","0","Precipitation",,"Wicomico River","Wicomico County","Blank fields = No Information Submitted",,,,
"Bypass","Myersville WWTP (MES)","MD0020699","2012-09-18T00:00:00.000","3:00:00 PM","0","18","0","Myersville WWTP, 2868 Milt Summer Road","21773","Myersville WWTP","257200","257200","Excess Flow with Inflow & Infiltration",,"Grindstone Run","Frederick County","Blank fields = No Information Submitted",,,,
"Bypass","Centreville, Town of","MD0020834","2012-10-29T00:00:00.000","12:00:00 PM","1","6","30","116 Johnstown Lane, Centreville","21617","Centreville WWTP","696000","696000","Super Storm Sandy (SSS)",,"Gravel Run Creek","Queen Anne's County","None",,,"39.047493","76.065434"
"Bypass","Foxville Gardens WWTP (MES)","MD0025119","2012-10-29T00:00:00.000","2:45:00 PM","1","17","50","Foxville Gardens WWTP, 14913 Foxville Deerfield Rd., Sabillasville","21780","Foxville Gardens WWTP","299230","299230","Super Storm Sandy (SSS)",,"Unnamed tributary to Owens Creek","Frederick County","None",,,"39.644864","77.495831"
"Bypass","Myersville WWTP (MES)","MD0020699","2012-10-29T00:00:00.000","3:00:00 PM","3","17","50","2868 Milt Summers Rd, Myersville","21773","Myersville WWTP","1922300","1922300","Super Storm Sandy (SSS)",,"Grindstone Run","Frederick County","None",,,"39.499779","77.567818"
"Bypass","New Windsor WWTP (MES)","MD0022586","2012-10-29T00:00:00.000","3:46:00 PM","1","16","44","1027 Water Street, New Windsor, Aeration and Mix process cycles","21776","New Windsor WWTP","417000","417000","Super Storm Sandy (SSS)",,"Dickerson Run","Carroll County","None",,,"39.54323","77.110009"
"Bypass","Greenbriar State Park (MES)","MD0023868","2012-10-29T00:00:00.000","6:30:00 PM","1","0","0","21843 National Pike, Boonsboro","21713","Greenbriar State Park WWTP","105500","105500","Super Storm Sandy (SSS)",,"tributary of Little Beaver Creek","Washington County","Blank fields = No Information Submitted",,,"39.542521","77.608443"
"Bypass","American Water Military Services","MD0021717","2012-10-29T00:00:00.000","9:45:00 PM","0","35","33","Fort Meade WWTP Tertiary Filters","20755","Ft. Meade WWTP","4423000","4423000","Super Storm Sandy (SSS)",,"Little Patuxent River","Anne Arundel County","Blank fields = No Information Submitted",,,"39.091288","76.7765"
"Bypass","Fahrney-Keedy Home and Village WWTP (MES)","MD0053066","2012-10-29T00:00:00.000","10:00:00 PM","0","16","30","Route 66, Sanmar, Boonsboro","21713","Greenbriar State Park WWTP","16000","16000","Super Storm Sandy (SSS)",,"tributary of Little Beaver Creek","Washington County","Blank fields = No Information Submitted",,,,
"Bypass","Brunswick WWTP","MD0020958","2012-10-30T00:00:00.000","5:22:00 AM","0","8","8","20 C & O Canal Tow Path Rd, Brunswick, SBR aeration system","21716","Brunswick WWTP","50000","50000","Super Storm Sandy (SSS)",,"Potomac River","Frederick County","None",,,"39.316402","77.622897"
"Bypass","American Water Military Services","MD0021717","2013-01-04T00:00:00.000","9:00:00 AM","0","0","10","Chlorine Contact Chamber","20755","Ft. Meade WWTP","66840","66840","Insufficient backwashing",,"Unknown","Anne Arundel County","Blank fields = No Information Submitted",,,"39.091288","76.7765"
"Bypass","La Plata WWTP (MES)","MD0020524","2013-01-19T00:00:00.000","10:30:00 AM","0","4","30","6500 Curly Hall Road, LaPlata WWTP's Dyna Sand Filter","20646","LaPlata WWTP","190000","190000","ENR Upgrade",,"Port Tobacco Creek","Charles County","None",,,"38.528627","76.98627"
"Bypass","Greenbriar State Park (MES)","MD0023868","2013-01-31T00:00:00.000","1:45:00 AM","0","1","30","Greenbriar State Park WWTP","21713","Greenbriar State Park WWTP","2200","2200","Excess Flow with Inflow & Infiltration",,"Little Beaver Creek","Washington County","Blank fields = No Information Submitted",,,,
"Bypass","Myersville WWTP (MES)","MD0020699","2013-01-31T00:00:00.000","2:30:00 AM","4","5","30","Myersville WWTP, 2868 Milt Summer Road","21773","Myersville WWTP","1.7014","1.7014","I/I Pump Station can only pump 3,300 gpm",,"Grindstone Run","Frederick County","Blank fields = No Information Submitted",,,,
"Bypass","American Water Military Services","MD0021717","2013-01-31T00:00:00.000","10:20:00 AM","0","12","10","Tertiary Filters Bypass","20755","Fort Meade WWTP","157083","157083","Precipatation",,"Little Patuxent River","Anne Arundel County","Blank fields = No Information Submitted",,,,
"Bypass","Foxville Gardens WWTP (MES)","MD0025119","2013-01-31T00:00:00.000","2:35:00 PM","0","5","50","Foxville Gardens WWTP, 14913 Foxville Deerfield Rd., Sabillasville","21780",,"152740","152740","Precipatation",,"Owens Creek","Frederick County","Blank fields = No Information Submitted",,,"39.644864",
"Bypass","Frederick County Utilities & Solid Waste Management","MD0021121","2013-01-31T00:00:00.000",,,,,"Manhole #189","21788","Thurmont WWTP","2000","2000","Heavy Rain",,"Unknown","Frederick County","Blank fields = No Information Submitted",,,,
"Bypass","Frederick County Utilities & Solid Waste Management","MD0021121","2013-01-31T00:00:00.000",,,,,"Screen & Grit Building - Thurmont WWTP","21788","Thurmont WWTP","135000","135000","Heavy Rain",,"Unknown","Frederick County","Blank fields = No Information Submitted",,,,
"Bypass","Navy, Department of","N/A","2013-05-08T00:00:00.000","3:10:00 AM","0","4","0","Sewage Treatment Plant, Naval Support Facility Indian Head","20640","Naval Support Facility Indian Head WWTP","300000","300000","Flow Meter Failure",,"Potomac River","Charles County","Blank fields = No Information Submitted",,,,
"Bypass","Chesapeake City South WWTP (Miller Environmental Inc.)","MD0020397","2013-06-08T00:00:00.000","10:00:00 AM","0","17","0","07 1/2 SECOND STREET, CHESAPEAKE CITY","21915","Chesapeake City South","66000","66000","TS Andrea",,"Unknown","Cecil County","Blank fields = No Information Submitted",,,,
"Bypass","Navy, Department of","MD0020885","2013-06-13T00:00:00.000","12:44:00 AM","0","5","19","Sewage Treatment Plant, Naval Support Facility Indian Head",,"Naval Support Facility Indian Head WWTP","74000","74000","Failure of Electronic Startup Switch",,"Potomac River","Charles County","Blank fields = No Information Submitted",,,,
"Bypass","La Plata WWTP (MES)","MD0020524","2013-06-26T00:00:00.000","10:00:00 AM","0","0","10","6500 Curly Hall Road, LaPlata WWTP's Dyna Sand Filter",,"LaPlata WWTP","2000","2000","Sand Filter",,"Unnamed Tributary to Port Tobacco Creek","Charles County","Blank fields = No Information Submitted",,,,
"Bypass","Charles County DPW","MD0020524","2013-06-26T00:00:00.000","10:15:00 AM","0","0","10","LaPlata WWTP/ MES",,"LaPlata WWTP","6500","6500","Clogged Filter",,"Unnamed Tributary to Port Tobacco Creek","Charles County","Blank fields = No Information Submitted",,,,
"Bypass","Caroline County DPW","MD0020290","2014-07-16T00:00:00.000",,"5","0","0","13500 Blk. Greensboro Rd","21639","Greensboro","0","0","Clarifier Bypass",,"Unknown","Caroline County","Blank fields = No Information Submitted",,,,
"Bypass","Myersville WWTP","MD0020699","2014-08-23T00:00:00.000","9:10 AM","2","0","0","2868 Milt Summer Rd, Middletown","21769","Myersville","658900","658900","Mechanical failure & Precipitation",,"Unknown","Frederick County","Blank fields = No Information Submitted",,,"39.29348","77.34123"
"Bypass","Myersville WWTP","MD0020699","2014-11-20T00:00:00.000","9:10 AM",,,,"2868 Milt Summer Rd, Middletown","21769","Myersville","150000","150000","Mechanical issues",,"Grindstone Run","Frederick County","Blank fields = No Information Submitted",,,,
"Bypass","Navy, Department of","MD0020885","2014-11-25T00:00:00.000","3:30 AM","0","7","30","3972 Ward Road, Indian Head","20640","Naval Support Services, Indian Head","95000","95000","Mechanical failure",,"Potomac River","Charles County","Blank fields = No Information Submitted",,,"38.599995","77.177482"
"Bypass","Hagerstown, City of","MD0021776","2014-12-06T00:00:00.000","2:20 PM","0","2","0","1 Clear Water Circle, Hagerstown","21740","Hagerstown","800000","800000","failure of UV system",,"Antetam Creek","Washington County","Blank fields = No Information Submitted",,,"39.61861","77.707778"
"Bypass","Freedom District WWTP","MD0021512","2017-01-23T00:00:00.000","12:00 PM","2","20","0","1301 Raincliff Rd Sykesville","21784","Freedom District WWTP","1237500","1237500","Equipment malfunctioned","South Branch Patapsco River","South Branch Patapsco River","Carroll County",,,,"39.214284","-76.564650"
"Bypass","Freedom District WWTP","MD0021512","2017-01-23T00:00:00.000","12:00 PM","3","0","0","1301 Raincliff Rd Sykesville","21784","Freedom District WWTP","500000","500000","Equipment malfunctioned","South Branch Patapsco River",,"Carroll County",,,,"39.214284","-76.56465"
"Bypass","Freedom District WWTP","MDOO21512","2017-01-23T00:00:00.000","2:00 PM","2","18","0","1301 Raincliff Rd ","21784","Freedom District WWTP","500000","500000","Filters malfunctioned","South Branch Patapsco River","South Branch Patapsco River","Carroll County",,,,"39.214284","-76.564650"
