"month","number_of_business","date","_01_financial","_02_bank","_03_ordinary_business","_04_ordinary_business_non_stock","_05_savings_bank_building_loan","_06_professional","_07_public_utility_railroad","_08_unincorporated_public_utility","_09_cooperative_stock_domestic","_10_cooperative_non_stock_domestic","_11_credit_union","_12_interstate_foreign","_13_investment_trust","_14_insurance_foreign","_15_utility_cooperative","_16_church","_17_cable_incorporated","_18_cable_unincorporated","_19_g_p_statement_of_authority","_20_entities_other_than_corporations","_22_unincorporated_non_utility_generator","_25_family_farm"
"August, 2016","283252","2016-08-01T00:00:00.000","0","98","86425","24028","0","5158","0","0","0","0","0","145","349","0","0","2709","6","0","0","163739","46","549"
"September, 2016","294252","2016-09-01T00:00:00.000","0","100","89045","25012","0","5278","0","0","0","0","0","148","352","0","0","2885","6","0","0","170818","47","561"
"October, 2016","305411","2016-10-01T00:00:00.000","0","100","91816","25938","0","5388","0","0","0","0","0","148","358","0","0","3033","6","0","0","178004","47","573"
"November, 2016","314089","2016-11-01T00:00:00.000","0","96","93480","26641","0","5456","0","0","0","0","0","148","355","0","0","3147","6","0","0","184134","47","579"
"December, 2016","324141","2016-12-01T00:00:00.000","0","102","95836","27780","0","5532","0","0","0","0","0","153","352","0","0","3296","6","0","0","190447","49","588"
"January, 2017","337912","2017-01-03T00:00:00.000","0","107","100212","29081","0","5575","0","0","0","0","0","156","347","0","0","3442","6","0","0","198347","49","590"
"February, 2017","345585","2017-02-01T00:00:00.000","0","109","101344","29739","0","5594","0","0","0","0","0","164","348","0","0","3713","6","0","0","203925","48","595"
"March, 2017","352904","2017-03-01T00:00:00.000","0","112","102455","30426","0","5619","0","0","0","0","0","169","340","0","0","3913","6","0","0","209213","48","603"
"April, 2017","361805","2017-04-01T00:00:00.000","0","113","103804","31253","0","5632","0","0","0","0","0","174","343","0","0","4103","6","0","0","215715","48","614"
"May, 2017","369885","2017-05-01T00:00:00.000","0","113","105007","31938","0","5647","0","0","0","0","0","174","348","0","0","4285","6","0","0","221680","48","639"
"June, 2017","295502","2017-06-01T00:00:00.000","0","89","89188","24665","0","5244","0","0","0","0","0","140","319","0","0","3038","5","0","0","172177","48","589"
"July, 2017","310365","2017-07-03T00:00:00.000","0","95","92021","26775","0","5344","0","0","0","0","0","144","332","0","0","3592","6","0","0","181391","49","616"
"August, 2017","302951","2017-08-01T00:00:00.000","0","94","88068","26852","0","5085","0","0","0","0","0","144","330","0","0","4247","5","0","0","177471","51","604"
"September, 2017","315829","2017-09-01T00:00:00.000","0","99","90735","28088","0","5177","0","0","0","0","0","148","339","0","0","4694","6","0","0","185877","51","615"
"October, 2017","327577","2017-10-02T00:00:00.000","0","99","93594","29110","0","5264","0","0","0","0","0","156","349","0","0","5007","6","0","0","193317","51","624"
"November, 2017","339545","2017-11-02T00:00:00.000","0","105","96106","30230","0","5276","0","0","0","0","0","156","350","0","0","5220","6","0","0","201406","50","640"
"December, 2017","352455","2017-12-01T00:00:00.000","41","108","98278","32024","0","5339","0","0","0","0","0","157","356","0","0","5334","6","0","0","210099","51","662"
