"id","program_name","link","program_type","project_name","recipient_region_s_if_applicable","mea_award","total_project_cost","sector","electricity_savings_kwh","natural_gas_savings_therms","gasoline_savings_gallons","propane_savings_gallons","fuel_oil_savings_gallons","co2_emissions_reductions_metric_tons","award_date","notes","legislative_district","congressional_district","county"
"EECBG001","EECBG Building Retrofit","http://energy.maryland.gov/Govt/EECBG.html","Grant","Aberdeen City","Aberdeen City","79986.72",,"Local Government","31980","0",,"0","0","15.83","2010-02-25T00:00:00.000",,"34A",,"Harford"
"EECBG002","EECBG Building Retrofit","http://energy.maryland.gov/Govt/EECBG.html","Grant","Allegany County","Allegany County","433692.00",,"Local Government","130330","10.209",,"0","0","64.57","2010-03-04T00:00:00.000",,"1C",,"Allegany"
"EECBG003","EECBG Building Retrofit","http://energy.maryland.gov/Govt/EECBG.html","Grant","Barclay Town","Barclay Town","4139.93",,"Local Government","1930","0",,"0","0","0.96","2010-03-10T00:00:00.000",,"37B",,"Talbot"
"EECBG004","EECBG Building Retrofit","http://energy.maryland.gov/Govt/EECBG.html","Grant","Barton Town","Barton Town","4825.00",,"Local Government","3120","0.165",,"0","0","1.55","2010-03-09T00:00:00.000",,"1A",,"Allegany"
"EECBG005","EECBG Building Retrofit","http://energy.maryland.gov/Govt/EECBG.html","Grant","Bel Air Town","Bel Air Town","57000.00","66200.00","Local Government","26580","0.342",,"0","0","13.16","2010-03-02T00:00:00.000",,"35B",,"Harford"
"EECBG006","EECBG Building Retrofit","http://energy.maryland.gov/Govt/EECBG.html","Grant","Berlin Town","Berlin Town","17008.67",,"Local Government","21590","0",,"0","0","10.69","2010-02-16T00:00:00.000",,"38B",,"Worcester"
"EECBG007","EECBG Building Retrofit","http://energy.maryland.gov/Govt/EECBG.html","Grant","Berwyn Heights","Berwyn Heights","17000.00",,"Local Government","1610","0",,"0","0","0.80","2010-03-24T00:00:00.000",,"22",,"Prince George's"
"EECBG008","EECBG Building Retrofit","http://energy.maryland.gov/Govt/EECBG.html","Grant","Bladensburg","Bladensburg","44000.00",,"Local Government","14962","1.302",,"0","0","7.41","2010-03-03T00:00:00.000",,"47",,"Prince George's"
"EECBG009","EECBG Building Retrofit","http://energy.maryland.gov/Govt/EECBG.html","Grant","Boonsboro","Boonsboro","17919.00",,"Local Government","15620","0",,"0","0","7.73","2010-03-18T00:00:00.000",,"2B",,"Washington"
"EECBG010","EECBG Building Retrofit","http://energy.maryland.gov/Govt/EECBG.html","Grant","Brentwood","Brentwood","16000.00",,"Local Government","4983","0.79",,"0","0","2.47","2010-03-29T00:00:00.000",,"47",,"Prince George's"
"EECBG011","EECBG Building Retrofit","http://energy.maryland.gov/Govt/EECBG.html","Grant","Brookeville","Brookeville","4996.94",,"Local Government","1720","0",,"318","0","2.68","2010-03-24T00:00:00.000",,"14",,"Montgomery"
"EECBG012","EECBG Building Retrofit","http://energy.maryland.gov/Govt/EECBG.html","Grant","Brunswick","Brunswick","30000.00","30809.85","Local Government","4160","0",,"2108","0","14.16","2010-03-03T00:00:00.000",,"3B",,"Frederick"
"EECBG013","EECBG Building Retrofit","http://energy.maryland.gov/Govt/EECBG.html","Grant","Calvert County","Calvert County","364989.11",,"Local Government","180370","0",,"0","0","89.28","2010-03-09T00:00:00.000",,"27B",,"Calvert"
"EECBG014","EECBG Building Retrofit","http://energy.maryland.gov/Govt/EECBG.html","Grant","Cambridge","Cambridge","67686.26",,"Local Government","59200","0",,"0","0","29.30","2010-03-03T00:00:00.000",,"37B",,"Dorchester"
"EECBG015","EECBG Building Retrofit","http://energy.maryland.gov/Govt/EECBG.html","Grant","Capitol Heights","Capitol Heights","19145.00",,"Local Government","11920","0.464",,"0","0","5.90","2010-03-24T00:00:00.000",,"24",,"Prince George's"
"EECBG016","EECBG Building Retrofit","http://energy.maryland.gov/Govt/EECBG.html","Grant","Caroline County","Caroline County","187000.00",,"Local Government","49570","0",,"632","1410","42.48","2010-04-13T00:00:00.000",,"36",,"Caroline"
"EECBG017","EECBG Building Retrofit","http://energy.maryland.gov/Govt/EECBG.html","Grant","Cecil County","Cecil County","351031.66",,"Local Government","85490","0",,"0","4224","85.19","2010-03-04T00:00:00.000",,"36",,"Cecil"
"EECBG018","EECBG Building Retrofit","http://energy.maryland.gov/Govt/EECBG.html","Grant","Cecilton","Cecilton","4932.00",,"Local Government","1370","0",,"0","0","0.68","2010-03-04T00:00:00.000",,"36",,"Cecil"
"EECBG019","EECBG Building Retrofit","http://energy.maryland.gov/Govt/EECBG.html","Grant","Charlestown","Charlestown","5777.12",,"Local Government","500","0",,"0","0","0.25","2010-03-04T00:00:00.000",,"34B",,"Cecil"
