"date","fiscal_year","_4fii_percent_of_new_non_a_e_on_time_procurements_utilizing_the_competitive_sealed_proposal_csp_methodology_6","goal_4fii"
"2015-06-30T00:00:00.000","2015","75","80"
"2016-06-30T00:00:00.000","2016","100","80"
"2017-06-30T00:00:00.000","2017","100","80"
