"vaccination_date","gender","firstdosedaily","firstdosecumulative","seconddosedaily","seconddosecumulative","singledosedaily","singledosecumulative","thirddosedaily","thirddosecumulative","fullyvaccinatedcumulative","firstboosterdailydose","additionaldosecumulative","fourthdailydose","secondadditionaldosecumulative","atleastonedailydose","atleastonedailydosecumulative","fullyvaccinateddailydose"
"2002-04-11T11:00:00.000","Male","1.0","20",,"0",,"0",,"0","0",,"0",,"0","1.0","20",
"2002-04-14T11:00:00.000","Male","1.0","21",,"0",,"0",,"0","0",,"0",,"0","1.0","21",
"2002-06-07T11:00:00.000","Male","1.0","22",,"0",,"0",,"0","0",,"0",,"0","1.0","22",
"2002-08-03T11:00:00.000","Female","1.0","35",,"0",,"0",,"0","0",,"0",,"0","1.0","35",
"2002-09-07T11:00:00.000","Male","1.0","23",,"0",,"0",,"0","0",,"0",,"0","1.0","23",
"2002-11-01T10:00:00.000","Male","1.0","24",,"0",,"0",,"0","0",,"0",,"0","1.0","24",
"2002-11-12T10:00:00.000","Male","1.0","25",,"0",,"0",,"0","0",,"0",,"0","1.0","25",
"2002-12-11T10:00:00.000","Female","1.0","36",,"0",,"0",,"0","0",,"0",,"0","1.0","36",
"2004-01-13T10:00:00.000","Female","1.0","37",,"0",,"0",,"0","0",,"0",,"0","1.0","37",
"2004-06-14T11:00:00.000","Male","1.0","26",,"0",,"0",,"0","0",,"0",,"0","1.0","26",
"2004-06-16T11:00:00.000","Female","1.0","38",,"0",,"0",,"0","0",,"0",,"0","1.0","38",
"2006-03-19T10:00:00.000","Female","1.0","39",,"0",,"0",,"0","0",,"0",,"0","1.0","39",
"2007-05-17T11:00:00.000","Male","1.0","27",,"0",,"0",,"0","0",,"0",,"0","1.0","27",
"2010-02-02T10:00:00.000","Male","1.0","28",,"0",,"0",,"0","0",,"0",,"0","1.0","28",
"2010-02-10T10:00:00.000","Male","1.0","29",,"0",,"0",,"0","0",,"0",,"0","1.0","29",
"2010-03-10T10:00:00.000","Female","1.0","40",,"0",,"0",,"0","0",,"0",,"0","1.0","40",
"2010-04-22T11:00:00.000","Female","1.0","41",,"0",,"0",,"0","0",,"0",,"0","1.0","41",
"2010-05-03T11:00:00.000","Male","1.0","30",,"0",,"0",,"0","0",,"0",,"0","1.0","30",
