"date","fiscal_year","_3a_number_of_energy_performance_contracts_approved_by_the_board_of_public_works","goal_3a"
"2015-06-30T00:00:00.000","2015","1","3"
"2016-06-30T00:00:00.000","2016","2","3"
"2017-06-30T00:00:00.000","2017","3","3"
