"fiscal_year","core_bus","metro","light_rail","mobility_paratransit","call_a_ride_formerly_taxi_access","marc","commuter_bus_contracted_to_baltimore_and_washington","total_mta_ridership","locally_owned_transit_systems_lots"
"FY2011","78390159","14587930","8655209","1351065","308662","8232729","4096562","115622316","40243273"
"FY2012","79535067","15364164","8539996","1554592","345469","8451695","4289775","118080758","40907881"
"FY2013","80070751","15208352","8647381","1651198","432534","9062254","4187141","119259611","40280758"
"FY2014","75780350","14632430","8105743","1781084","507718","9167935","4017089","113992349","42500000"
"FY2015","78697164","13900813","7657256","1892901","601578","9245588","4034248","116029548","39440669"
