"date","fiscal_year","_4fi_percent_of_new_non_a_e_on_time_procurements_utilizing_the_competitive_sealed_bid_csb_methodology_5","goal_4fi"
"2015-06-30T00:00:00.000","2015","74","80"
"2016-06-30T00:00:00.000","2016","84","80"
"2017-06-30T00:00:00.000","2017","93","80"
