"date","year","ratio_of_non_state_investment_leveraged_to_maryland_heritage_areas_authority_funds_awarded","ratio_of_non_state_commercial_investmetn_leveraged_to_tax_credit_funds_awarded","ratio_or_non_state_residential_investment_leveraged_to_tax_credit_funds_awarded"
"2019-06-30T00:00:00.000","2019","2.1","5.1",
"2018-06-30T00:00:00.000","2018","2.1","24.1",
"2017-06-30T00:00:00.000","2017","4.1","6.1",
"2016-06-30T00:00:00.000","2016","8.1","5.1",
"2015-06-30T00:00:00.000","2015","5.1","6.1","4"
"2011-06-30T00:00:00.000","2011","3.2","7.0","4"
"2016-06-30T00:00:00.000","2016","6.4","4.0","4"
"2014-06-30T00:00:00.000","2014","4.3","12.0","4"
"2013-06-30T00:00:00.000","2013","3.5","5.0","4"
"2012-06-30T00:00:00.000","2012","1.8","9.0","4"
