"fiscal_year","age","baltimore_city","allegany","anne_arundel","baltimore","calvert","caroline","carroll","cecil","charles","dorchester","frederick","garrett","harford","howard","kent","montgomery","prince_george_s","queen_anne_s","st_mary_s","somerset","talbot","washington","wicomico","worcester"
"2010","16","134","120","882","960","217","88","447","192","212","47","461","114","470","639","39","1074","273","122","212","35","95","259","189","112"
"2010","17","904","428","3566","4312","875","274","1724","793","978","164","1985","283","1824","2577","136","5420","2208","457","815","117","260","990","646","393"
"2010","18","1789","590","4949","6497","1203","326","2276","1041","1572","272","2612","334","2766","3440","182","8053","4345","550","1141","158","349","1341","843","452"
"2010","19","2840","661","5778","7834","1334","407","2477","1226","1897","327","3029","374","3057","3823","221","9725","6131","601","1242","168","406","1570","910","532"
"2010","20","3801","756","6391","8858","1400","439","2580","1316","2017","342","3136","378","3413","4081","220","11032","7747","626","1385","207","442","1645","1038","589"
"2010","21","4061","764","6508","9589","1368","433","2536","1300","2034","369","3192","356","3326","3937","233","11621","8553","577","1364","210","405","1737","1145","607"
"2010","22","4598","759","6309","9877","1210","403","2350","1250","1830","329","2933","347","3173","3809","218","11990","9033","525","1308","184","425","1685","1142","549"
"2010","23","5645","794","6649","10155","1202","395","2182","1238","1804","330","2854","331","3119","3697","227","12174","9722","508","1284","215","393","1718","1199","633"
"2010","24","6672","775","6785","10491","1124","405","2116","1219","1733","363","2993","322","3184","3684","221","12875","10506","496","1392","231","420","1766","1346","643"
"2010","25 - 29","40307","3835","36057","54624","4872","2105","9017","5764","8709","1788","15002","1642","15387","19115","1039","70933","59295","2273","6860","1083","1955","8772","6858","3117"
"2010","30 - 34","38142","3414","34149","51320","4418","2013","8028","5776","8405","1618","14552","1464","14511","18622","900","71806","60646","2102","6013","990","1692","8588","6461","2637"
"2010","35 - 39","31268","3656","35010","50294","5009","2105","10072","6563","9858","1666","16487","1728","15828","20442","915","71898","58812","2750","6131","955","1933","9033","5878","2781"
"2010","40 - 44","28631","4088","38746","53021","7098","2300","13625","7487","12406","1884","19047","1965","18607","23412","1120","74630","59845","3585","7566","1055","2239","10313","6059","3181"
"2010","45 - 49","29200","4621","43283","58289","8714","2608","15875","8193","13139","2286","21026","2167","21037","26594","1433","77847","61787","4143","8802","1396","2603","11180","6759","3855"
"2010","50 - 54","28828","4701","40022","59228","7546","2560","14259","7602","11000","2356","18536","2216","19866","23570","1466","74146","56756","3870","7724","1460","2703","10234","6649","3796"
"2010","55 - 59","25901","4426","34394","52255","6029","2189","11720","6604","8615","2207","15078","2057","16403","19180","1433","64025","48934","3168","6179","1450","2693","9090","5891","3729"
"2010","60 - 64","21476","4235","29622","44402","4667","1870","9750","5522","6847","2004","12170","1914","13901","15308","1446","50786","40022","2868","4904","1332","2771","7792","5027","3933"
"2010","65 - 69","14682","3406","20964","30132","3269","1424","6908","3864","4931","1642","8008","1585","9884","10390","1354","34308","26779","2381","3429","1017","2574","5712","3849","3537"
"2010","70 - 74","10276","2739","13516","21402","2044","970","4547","2514","3043","1245","5249","1124","6632","6219","862","22363","17445","1585","2397","752","1965","4350","2521","2872"
"2010","75 - 79","7577","2120","9583","17345","1414","772","3397","1896","1972","942","3864","813","4854","4017","716","16443","11300","1147","1502","563","1475","3428","2064","2163"
"2010","80 - 84","5497","1629","6603","14339","988","478","2559","1200","1152","668","2872","530","3345","2510","614","12986","6533","715","977","415","1060","2498","1579","1447"
"2010","85 - 89","3006","877","3336","8461","511","261","1421","618","567","363","1498","292","1552","1183","344","7959","3238","375","545","191","620","1389","859","668"
"2010","90 - 94","844","258","881","2356","145","85","365","156","134","108","448","73","380","316","118","2557","876","111","130","63","214","362","248","166"
"2010","95 - 99","118","37","117","303","24","13","46","23","13","19","55","6","38","36","23","430","117","17","19","9","24","70","33","25"
"2010","100 - OVER","7","0","5","12","0","2","1","1","1","2","2","1","0","0","2","16","4","2","0","1","1","2","1","1"
"2011","16","87","95","693","694","173","57","389","133","140","43","431","53","351","490","20","850","181","111","174","28","62","221","151","95"
"2011","17","609","352","3122","3487","768","252","1555","651","846","163","1767","252","1734","2239","105","4536","1617","399","785","100","259","881","544","359"
"2011","18","1436","545","4593","5785","1132","318","2135","999","1392","206","2552","340","2415","3311","160","7369","3682","519","1043","138","317","1257","792","441"
"2011","19","2247","637","5442","7282","1269","339","2382","1154","1758","291","2848","343","3027","3690","197","9007","5387","569","1235","176","376","1499","925","491"
"2011","20","3215","706","6102","8330","1352","416","2519","1268","2013","329","3105","382","3170","3960","219","10357","6862","601","1296","176","411","1657","983","545"
"2011","21","3835","766","6605","9544","1381","432","2560","1305","2071","344","3168","394","3481","4130","220","11333","8394","619","1404","222","445","1688","1120","630"
"2011","22","4299","747","6338","9664","1295","419","2443","1225","1954","340","3042","348","3218","3851","230","11470","8672","547","1324","213","388","1704","1140","589"
"2011","23","5395","751","6493","10182","1192","391","2285","1246","1834","332","2956","345","3197","3898","214","12418","9509","532","1393","184","435","1724","1182","561"
"2011","24","6317","810","6890","10632","1180","392","2157","1257","1855","351","2912","327","3195","3837","222","12720","10152","476","1344","219","399","1771","1214","670"
"2011","25 - 29","39818","3817","36285","55287","5073","2058","9334","5875","8878","1792","15159","1614","15719","19213","1053","70364","58574","2285","7051","1068","2036","8801","6750","3161"
"2011","30 - 34","38737","3451","35575","52632","4564","2004","8196","5904","8533","1678","14845","1542","14835","19398","921","73061","62016","2208","6296","1019","1724","8833","6438","2664"
"2011","35 - 39","30123","3417","33660","49279","4759","1955","9252","6132","9329","1548","15709","1642","15033","19887","880","70793","56995","2516","5884","918","1814","8600","5801","2579"
"2011","40 - 44","28239","4043","38641","53044","6759","2262","13200","7380","12345","1854","19130","1930","18466","23409","1077","74956","60152","3505","7518","1065","2219","10330","5906","3194"
"2011","45 - 49","28067","4442","42671","57090","8550","2546","15616","8160","13305","2182","20794","2109","20514","26233","1398","76528","61167","4081","8732","1282","2529","11055","6592","3826"
"2011","50 - 54","28503","4749","41074","59644","7875","2602","14798","7837","11503","2451","19081","2293","20540","24531","1455","74719","58026","3865","8008","1473","2730","10395","6705","3801"
"2011","55 - 59","25742","4456","35435","53152","6280","2208","12037","6803","8891","2207","15731","2024","16929","19663","1488","65633","49572","3282","6422","1430","2731","9323","6026","3734"
"2011","60 - 64","22631","4375","30753","46792","4895","1979","10130","5811","7325","2083","12816","2006","14608","16116","1512","53362","42439","2955","5224","1412","2809","8219","5227","4014"
"2011","65 - 69","14835","3372","21581","31251","3496","1449","7111","4009","4999","1635","8507","1595","10177","11037","1383","35769","27416","2392","3567","1006","2643","5876","4011","3495"
"2011","70 - 74","10394","2798","14246","21848","2144","1029","4809","2633","3233","1258","5572","1180","6967","6483","932","23454","18264","1681","2463","753","2008","4449","2641","2935"
"2011","75 - 79","7629","2137","9794","17215","1458","750","3448","1931","2042","954","3922","844","5037","4272","709","16454","11831","1153","1534","560","1494","3443","2036","2184"
"2011","80 - 84","5330","1537","6681","14062","1013","505","2539","1231","1251","687","2897","550","3360","2618","606","12976","6831","743","994","416","1127","2508","1558","1476"
"2011","85 - 89","3038","914","3439","8503","499","281","1427","661","582","354","1547","280","1638","1297","349","8042","3333","390","536","188","612","1427","863","696"
"2011","90 - 94","834","258","1021","2626","153","87","418","165","146","106","496","84","411","313","120","2727","965","112","167","73","239","423","272","194"
"2011","95 - 99","126","35","128","316","30","17","47","28","17","20","64","6","42","42","22","421","131","21","21","9","34","54","26","27"
"2011","100 - OVER","13","0","7","15","0","1","1","2","0","2","2","1","3","2","3","24","6","2","2","1","2","4","2","1"
"2012","16","107","104","675","735","179","68","361","155","153","33","460","72","417","497","31","923","183","95","186","42","70","213","149","99"
"2012","17","604","407","3153","3618","807","231","1614","626","894","170","1896","246","1789","2332","85","4622","1658","440","797","89","253","861","520","354"
"2012","18","1174","494","4342","5335","1067","321","2014","936","1381","219","2394","326","2516","3174","133","6930","3296","503","1021","140","312","1170","750","435"
"2012","19","1930","613","5151","6804","1230","352","2293","1115","1678","228","2771","361","2755","3641","170","8540","4885","565","1167","152","335","1420","869","479"
"2012","20","2715","679","5726","7893","1327","358","2426","1186","1881","303","2949","353","3183","3829","195","9745","6462","579","1275","188","380","1566","983","527"
"2012","21","3546","714","6244","8872","1336","419","2493","1299","2017","352","3127","391","3243","4013","213","10702","7642","641","1312","179","414","1721","1061","606"
"2012","22","4130","734","6507","9644","1315","415","2430","1227","2019","337","3098","383","3387","4005","217","11297","8559","584","1349","225","430","1671","1083","626"
"2012","23","5139","747","6471","9995","1268","403","2382","1251","1971","365","3069","351","3235","3919","225","11848","9143","546","1345","216","371","1722","1152","591"
"2012","24","6165","760","6795","10516","1181","374","2240","1283","1882","352","3008","330","3221","3985","207","12877","10000","527","1443","183","432","1757","1213","572"
"2012","25 - 29","39463","3770","36445","55416","5239","2002","9623","6035","8952","1782","15318","1587","15828","19337","1032","69065","57414","2341","7024","1077","1995","8791","6471","3148"
"2012","30 - 34","39572","3563","36590","54027","4714","1952","8369","5830","8653","1658","15070","1598","15144","19879","943","73867","62395","2296","6551","1019","1758","8865","6409","2678"
