"date","fiscal_year","major_it_development_projects"
"2014-06-30T00:00:00.000","FY2014","35"
"2015-06-30T00:00:00.000","FY2015","29"
"2016-06-30T00:00:00.000","FY2016","25"
"2017-06-30T00:00:00.000","FY2017","35"
"2018-06-30T00:00:00.000","FY2018","48"
"2019-06-30T00:00:00.000","FY2019","52"
"2020-06-30T00:00:00.000","FY2020","49"
