"date","year","ratio_or_non_state_residential_investment_leveraged_to_tax_credit_funds_awarded"
"2019-06-30T00:00:00.000","2019",
"2018-06-30T00:00:00.000","2018",
"2017-06-30T00:00:00.000","2017",
"2016-06-30T00:00:00.000","2016",
"2015-06-30T00:00:00.000","2015","4"
"2011-06-30T00:00:00.000","2011","4"
"2016-06-30T00:00:00.000","2016","4"
"2014-06-30T00:00:00.000","2014","4"
"2013-06-30T00:00:00.000","2013","4"
"2012-06-30T00:00:00.000","2012","4"
