"date","month","fiscal_year","expedited_fs_approved_cases_expedited_fs_cases_are_included_in_the_overall_active_fsp_cases_if_the_expedited_fs_cases_are_still_active_at_the_end_of_the_calendar_month","number_of_cases_in_food_supplement_program","number_of_customers_served_through_tca","month_year"
"2011-01-31T00:00:00.000","Jan.","2011-01-01T00:00:00.000","10363","319704","28762","11-Jan"
"2011-02-28T00:00:00.000","Feb.","2011-01-01T00:00:00.000","8573","322160","28657","11-Feb"
"2011-03-31T00:00:00.000","Mar.","2011-01-01T00:00:00.000","10031","326713","28395","11-Mar"
"2011-04-30T00:00:00.000","Apr.","2011-01-01T00:00:00.000","8198","333534","28768","11-Apr"
"2011-05-31T00:00:00.000","May","2011-01-01T00:00:00.000","9435","330786","28542","11-May"
"2011-06-30T00:00:00.000","Jun.","2011-01-01T00:00:00.000","10677","337265","28880","11-Jun"
"2011-07-31T00:00:00.000","Jul.","2011-01-01T00:00:00.000","10050","340941","29105","11-Jul"
"2011-08-31T00:00:00.000","Aug.","2011-01-01T00:00:00.000","11153","346926","28960","11-Aug"
"2011-09-30T00:00:00.000","Sep.","2011-01-01T00:00:00.000","10130","349277","28742","11-Sep"
"2011-10-31T00:00:00.000","Oct.","2011-01-01T00:00:00.000","9700","353242","29334","11-Oct"
"2011-11-30T00:00:00.000","Nov.","2011-01-01T00:00:00.000","9627","354110","28996","11-Nov"
"2011-12-31T00:00:00.000","Dec.","2011-01-01T00:00:00.000","9307","355278","29446","11-Dec"
"2012-01-31T00:00:00.000","Jan.","2012-01-01T00:00:00.000","10700","356557","28567","12-Jan"
"2012-02-29T00:00:00.000","Feb.","2012-01-01T00:00:00.000","9013","356682","27968","12-Feb"
"2012-03-31T00:00:00.000","Mar.","2012-01-01T00:00:00.000","9686","357590","27649","12-Mar"
"2012-04-30T00:00:00.000","Apr.","2012-01-01T00:00:00.000","9291","358965","27235","12-Apr"
"2012-05-31T00:00:00.000","May.","2012-01-01T00:00:00.000","9923","360299","27391","12-May"
"2012-06-30T00:00:00.000","Jun.","2012-01-01T00:00:00.000","10311","363433","27391","12-Jun"
"2012-07-31T00:00:00.000","Jul.","2012-01-01T00:00:00.000","11035","365565","27304","12-Jul"
"2012-08-31T00:00:00.000","Aug.","2012-01-01T00:00:00.000","11225","371186","27991","12-Aug"
