"race","candidate","precinct","election_day","absentee_by_mail","advance_in_person","provisional","total_votes","election_name","election_date","registered_voters","ballots_cast","voter_turnout"
"STATE HOUSE 58","PARK CANNON (D)","02K","15","0","0","0","15","Special Election Runoff","2016-02-16T00:00:00.000","939","18","1.92"
"STATE HOUSE 58","RALPH LONG III (D)","02K","3","0","0","0","3","Special Election Runoff","2016-02-16T00:00:00.000","939","18","1.92"
"STATE HOUSE 58","PARK CANNON (D)","02S","8","0","0","0","8","Special Election Runoff","2016-02-16T00:00:00.000","508","13","2.56"
"STATE HOUSE 58","RALPH LONG III (D)","02S","5","0","0","0","5","Special Election Runoff","2016-02-16T00:00:00.000","508","13","2.56"
"STATE HOUSE 58","PARK CANNON (D)","04M","2","0","0","0","2","Special Election Runoff","2016-02-16T00:00:00.000","483","10","2.07"
"STATE HOUSE 58","RALPH LONG III (D)","04M","8","0","0","0","8","Special Election Runoff","2016-02-16T00:00:00.000","483","10","2.07"
"STATE HOUSE 58","PARK CANNON (D)","05A1","54","0","1","0","55","Special Election Runoff","2016-02-16T00:00:00.000","1655","58","3.5"
"STATE HOUSE 58","RALPH LONG III (D)","05A1","3","0","0","0","3","Special Election Runoff","2016-02-16T00:00:00.000","1655","58","3.5"
"STATE HOUSE 58","PARK CANNON (D)","05B","16","0","1","0","17","Special Election Runoff","2016-02-16T00:00:00.000","1104","32","2.9"
"STATE HOUSE 58","RALPH LONG III (D)","05B","13","0","2","0","15","Special Election Runoff","2016-02-16T00:00:00.000","1104","32","2.9"
"STATE HOUSE 58","PARK CANNON (D)","05C","0","0","0","0","0","Special Election Runoff","2016-02-16T00:00:00.000","90","1","1.11"
"STATE HOUSE 58","RALPH LONG III (D)","05C","0","0","0","0","0","Special Election Runoff","2016-02-16T00:00:00.000","90","1","1.11"
"STATE HOUSE 58","PARK CANNON (D)","05F","0","0","1","0","1","Special Election Runoff","2016-02-16T00:00:00.000","19","1","5.26"
"STATE HOUSE 58","RALPH LONG III (D)","05F","0","0","0","0","0","Special Election Runoff","2016-02-16T00:00:00.000","19","1","5.26"
"STATE HOUSE 58","PARK CANNON (D)","05J","12","0","0","0","12","Special Election Runoff","2016-02-16T00:00:00.000","408","15","3.68"
