"com_id","common_name","scientific_name","genus","family","diametre_at_breast_height","year_planted","date_planted","age_description","useful_life_expectency","useful_life_expectency_value","precinct","located_in","uploaddate","location","latitude","longitude","easting","northing"
"1013381","Dutch Elm","Ulmus x hollandica","Ulmus","Ulmaceae","76","1900","2000-01-02T00:00:00.000","Mature","6-10 years (>50% canopy)","10",,"Street","2021-10-01T02:03:56.000","
,  
(-37.81223297971192, 144.9506598126038)","-37.81223297971192","144.9506598126038","319605.97","5813039.44"
"1013382","Huntingdon Elm","Ulmus x hollandica","Ulmus","Ulmaceae","69","1997","1997-06-19T00:00:00.000","Mature","6-10 years (>50% canopy)","10",,"Street","2021-10-01T02:04:15.000","
,  
(-37.81226850504794, 144.95051593219205)","-37.81226850504794","144.95051593219205","319593.39","5813035.22"
"1013383","English Elm","Ulmus procera","Ulmus","Ulmaceae","92","1997","1997-06-19T00:00:00.000","Mature","11-20 years","20",,"Street","2021-10-01T02:04:15.000","
,  
(-37.812514569367195, 144.94975749030814)","-37.812514569367195","144.94975749030814","319527.22","5813006.45"
"1013384","Dutch Elm","Ulmus x hollandica","Ulmus","Ulmaceae","74","1997","1997-06-19T00:00:00.000","Mature","6-10 years (>50% canopy)","10",,"Street","2021-10-01T02:04:15.000","
,  
(-37.81235693844764, 144.94977729954581)","-37.81235693844764","144.94977729954581","319528.58","5813023.98"
"1013385","Dutch Elm","Ulmus x hollandica","Ulmus","Ulmaceae","83","1997","1997-06-19T00:00:00.000","Mature","11-20 years","20",,"Street","2021-10-01T02:04:08.000","
,  
(-37.81242493692164, 144.94954210109805)","-37.81242493692164","144.94954210109805","319508.04","5813015.98"
"1013386","Spotted Gum","Corymbia maculata","Corymbia","Myrtaceae","37","1900","2000-01-02T00:00:00.000","Semi-Mature","31-60 years","60",,"Street","2021-10-01T02:04:14.000","
,  
(-37.81204536252591, 144.95115219293382)","-37.81204536252591","144.95115219293382","319648.86","5813061.21"
"1013387","Spotted Gum","Corymbia maculata","Corymbia","Myrtaceae","37","1997","1997-06-19T00:00:00.000","Semi-Mature","31-60 years","60",,"Street","2021-10-01T02:03:55.000","
,  
(-37.81201570577916, 144.95125013318076)","-37.81201570577916","144.95125013318076","319657.41","5813064.69"
"1013392","Spotted Gum","Corymbia maculata","Corymbia","Myrtaceae","17","1997","1997-06-19T00:00:00.000","Semi-Mature","31-60 years","60",,"Street","2021-10-01T02:04:00.000","
,  
(-37.81167846660378, 144.95244579573472)","-37.81167846660378","144.95244579573472","319761.85","5813104.42"
"1013394","Spotted Gum","Corymbia maculata","Corymbia","Myrtaceae","31","1997","1997-06-19T00:00:00.000","Semi-Mature","31-60 years","60",,"Street","2021-10-01T02:04:19.000","
,  
(-37.81164544020927, 144.9525676820948)","-37.81164544020927","144.9525676820948","319772.5","5813108.32"
"1013395","Spotted Gum","Corymbia maculata","Corymbia","Myrtaceae","19","1900","2000-01-02T00:00:00.000","Semi-Mature","31-60 years","60",,"Street","2021-10-01T02:03:53.000","
,  
(-37.81162050091028, 144.95266231040873)","-37.81162050091028","144.95266231040873","319780.77","5813111.27"
"1013396","Spotted Gum","Corymbia maculata","Corymbia","Myrtaceae","27","1900","2000-01-02T00:00:00.000","Semi-Mature","31-60 years","60",,"Street","2021-10-01T02:04:17.000","
,  
(-37.81159284673429, 144.95275110694942)","-37.81159284673429","144.95275110694942","319788.52","5813114.51"
"1013397","Spotted Gum","Corymbia maculata","Corymbia","Myrtaceae","26","1900","2000-01-02T00:00:00.000","Semi-Mature","31-60 years","60",,"Street","2021-10-01T02:04:03.000","
,  
(-37.81157213464943, 144.9528297157116)","-37.81157213464943","144.9528297157116","319795.39","5813116.96"
"1013398","Spotted Gum","Corymbia maculata","Corymbia","Myrtaceae","31","1997","1997-06-19T00:00:00.000","Semi-Mature","21-30 years","30",,"Street","2021-10-01T02:04:15.000","
,  
(-37.812005147985154, 144.95089715682397)","-37.812005147985154","144.95089715682397","319626.31","5813065.18"
"1013399","Spotted Gum","Corymbia maculata","Corymbia","Myrtaceae","34","1997","1997-06-19T00:00:00.000","Semi-Mature","31-60 years","60",,"Street","2021-10-01T02:03:58.000","
,  
(-37.811905210950336, 144.9508507350844)","-37.811905210950336","144.9508507350844","319621.98","5813076.18"
"1013401","Spotted Gum","Corymbia maculata","Corymbia","Myrtaceae","23","1900","2000-01-02T00:00:00.000","Semi-Mature","21-30 years","30",,"Street","2021-10-01T02:04:00.000","
,  
(-37.81170484578492, 144.95076074530752)","-37.81170484578492","144.95076074530752","319613.57","5813098.24"
"1013403","Spotted Gum","Corymbia maculata","Corymbia","Myrtaceae","33","1900","2000-01-01T00:00:00.000","Semi-Mature","21-30 years","30",,"Street","2021-10-01T02:04:17.000","
,  
(-37.81151926851809, 144.95067125581198)","-37.81151926851809","144.95067125581198","319605.24","5813118.66"
"1013408","London Plane","Platanus x acerifolia","Platanus","Platanaceae","50","1997","1997-06-19T00:00:00.000","Mature","21-30 years","30",,"Street","2021-10-01T02:04:00.000","
,  
(-37.81176645538505, 144.95063988514605)","-37.81176645538505","144.95063988514605","319603.08","5813091.17"
"1013409","London Plane","Platanus x acerifolia","Platanus","Platanaceae","44","1997","1997-06-19T00:00:00.000","Mature","21-30 years","30",,"Street","2021-10-01T02:04:08.000","
,  
(-37.811923866664166, 144.95071618196283)","-37.811923866664166","144.95071618196283","319610.18","5813073.85"
"1013410","London Plane","Platanus x acerifolia","Platanus","Platanaceae","56","1997","1997-06-19T00:00:00.000","Mature","21-30 years","30",,"Street","2021-10-01T02:03:55.000","
,  
(-37.811843659599354, 144.95096977624274)","-37.811843659599354","144.95096977624274","319632.31","5813083.24"
"1013411","London Plane","Platanus x acerifolia","Platanus","Platanaceae","52","1997","1997-06-19T00:00:00.000","Mature","21-30 years","30",,"Street","2021-10-01T02:03:53.000","
,  
(-37.81172919218852, 144.9509169407946)","-37.81172919218852","144.9509169407946","319627.38","5813095.84"
"1013414","English Elm","Ulmus procera","Ulmus","Ulmaceae","63","1997","1997-06-19T00:00:00.000","Mature","6-10 years (>50% canopy)","10",,"Street","2021-10-01T02:04:00.000","
,  
(-37.81084897185688, 144.95077464126396)","-37.81084897185688","144.95077464126396","319612.71","5813193.24"
"1013416","English Elm","Ulmus procera","Ulmus","Ulmaceae","63","1900","2000-01-01T00:00:00.000","Mature","6-10 years (<50% canopy)","10",,"Street","2021-10-01T02:03:53.000","
,  
(-37.810798534038895, 144.95090052960322)","-37.810798534038895","144.95090052960322","319623.67","5813199.08"
"1013417","English Elm","Ulmus procera","Ulmus","Ulmaceae","27","1997","1997-06-19T00:00:00.000","Semi-Mature","21-30 years","30",,"Street","2021-10-01T02:04:10.000","
,  
(-37.81098130106548, 144.9509890742769)","-37.81098130106548","144.9509890742769","319631.91","5813178.97"
"1013418","Elm","Ulmus unknown","Ulmus","Ulmaceae","17","1997","1997-06-19T00:00:00.000","Semi-Mature","11-20 years","20",,"Street","2021-10-01T02:04:00.000","
,  
(-37.81093935887015, 144.9511371049625)","-37.81093935887015","144.9511371049625","319644.84","5813183.91"
"1013420","English Elm","Ulmus procera","Ulmus","Ulmaceae","73","1997","1997-06-19T00:00:00.000","Over-mature","6-10 years (>50% canopy)","10",,"Street","2021-10-01T02:04:00.000","
,  
(-37.81089809756938, 144.95128284487373)","-37.81089809756938","144.95128284487373","319657.57","5813188.77"
"1013427","Huntingdon Elm","Ulmus x hollandica","Ulmus","Ulmaceae","56","1997","1997-06-19T00:00:00.000","Mature","6-10 years (<50% canopy)","10",,"Street","2021-10-01T02:04:16.000","
,  
(-37.81052385003988, 144.9519568892555)","-37.81052385003988","144.9519568892555","319716","5813231.6"
"1013430","Huntingdon Elm","Ulmus x hollandica","Ulmus","Ulmaceae","45","1997","1997-06-19T00:00:00.000","Mature","1-5 years (>50% canopy)","5",,"Street","2021-10-01T02:03:53.000","
,  
(-37.81059445907187, 144.95235340805186)","-37.81059445907187","144.95235340805186","319751.08","5813224.53"
"1013433","Dutch Elm","Ulmus x hollandica","Ulmus","Ulmaceae",,"1900","2000-01-01T00:00:00.000",,,,,"Street","2021-10-01T02:03:56.000","
,  
(-37.81049307446553, 144.95271605829237)","-37.81049307446553","144.95271605829237","319782.76","5813236.48"
"1013435","Dutch Elm","Ulmus x hollandica","Ulmus","Ulmaceae","44","1900","2000-01-01T00:00:00.000","Mature","1-5 years (<50% canopy)","5",,"Street","2021-10-01T02:04:00.000","
,  
(-37.81036944284921, 144.95250410935967)","-37.81036944284921","144.95250410935967","319763.8","5813249.79"
"1013452","Pin Oak","Quercus palustris","Quercus","Fagaceae","52","1997","1997-06-19T00:00:00.000","Mature","21-30 years","30",,"Street","2021-10-01T02:03:54.000","
,  
(-37.809451446930055, 144.949243392682)","-37.809451446930055","144.949243392682","319474.5","5813345.36"
"1013453","Pin Oak","Quercus palustris","Quercus","Fagaceae",,"1997","1997-06-19T00:00:00.000",,,,,"Street","2021-10-01T02:04:18.000","
,  
(-37.80949701970125, 144.9491332016407)","-37.80949701970125","144.9491332016407","319464.91","5813340.09"
"1013454","Pin Oak","Quercus palustris","Quercus","Fagaceae","40","1997","1997-06-19T00:00:00.000","Semi-Mature","21-30 years","30",,"Street","2021-10-01T02:04:00.000","
,  
(-37.809576045699494, 144.9489568856491)","-37.809576045699494","144.9489568856491","319449.58","5813330.98"
"1013456","Pin Oak","Quercus palustris","Quercus","Fagaceae","24","1997","1997-06-19T00:00:00.000","Semi-Mature","11-20 years","20",,"Street","2021-10-01T02:04:10.000","
,  
(-37.809761939723565, 144.94866095725953)","-37.809761939723565","144.94866095725953","319423.98","5813309.78"
"1013457","Pin Oak","Quercus palustris","Quercus","Fagaceae","23","1997","1997-06-19T00:00:00.000","Semi-Mature","6-10 years (<50% canopy)","10",,"Street","2021-10-01T02:03:54.000","
,  
(-37.809818279266835, 144.94854808205275)","-37.809818279266835","144.94854808205275","319414.18","5813303.31"
"1013458","Pin Oak","Quercus palustris","Quercus","Fagaceae","29","1997","1997-06-19T00:00:00.000","Semi-Mature","6-10 years (<50% canopy)","10",,"Street","2021-10-01T02:04:18.000","
,  
(-37.809843390712736, 144.9484376612899)","-37.809843390712736","144.9484376612899","319404.52","5813300.31"
"1013459","Pin Oak","Quercus palustris","Quercus","Fagaceae","32","1997","1997-06-19T00:00:00.000","Semi-Mature","1-5 years (<50% canopy)","5",,"Street","2021-10-01T02:04:09.000","
,  
(-37.80998830991277, 144.94820034035223)","-37.80998830991277","144.94820034035223","319383.98","5813283.77"
"1013461","Pin Oak","Quercus palustris","Quercus","Fagaceae","37","1997","1997-06-19T00:00:00.000","Semi-Mature","11-20 years","20",,"Street","2021-10-01T02:04:10.000","
,  
(-37.81009249622197, 144.9479785719156)","-37.81009249622197","144.9479785719156","319364.71","5813271.78"
"1013463","Pin Oak","Quercus palustris","Quercus","Fagaceae",,"1997","1997-06-19T00:00:00.000",,,,,"Street","2021-10-01T02:03:56.000","
,  
(-37.8099162587261, 144.94780977549118)","-37.8099162587261","144.94780977549118","319349.42","5813291.01"
"1013464","Pin Oak","Quercus palustris","Quercus","Fagaceae","29","1997","1997-06-19T00:00:00.000","Semi-Mature","21-30 years","30",,"Street","2021-10-01T02:04:00.000","
,  
(-37.80985969321866, 144.94792515658568)","-37.80985969321866","144.94792515658568","319359.44","5813297.51"
"1013465","Pin Oak","Quercus palustris","Quercus","Fagaceae","31","1997","1997-06-19T00:00:00.000","Semi-Mature","21-30 years","30",,"Street","2021-10-01T02:04:03.000","
,  
(-37.80976673598299, 144.9481086752702)","-37.80976673598299","144.9481086752702","319375.37","5813308.18"
"1013466","Pin Oak","Quercus palustris","Quercus","Fagaceae","20","1997","1997-06-19T00:00:00.000","Semi-Mature","31-60 years","60",,"Street","2021-10-01T02:03:58.000","
,  
(-37.809660041164925, 144.94833130708116)","-37.809660041164925","144.94833130708116","319394.71","5813320.45"
"1013467","Pin Oak","Quercus palustris","Quercus","Fagaceae","32","1997","1997-06-19T00:00:00.000","Semi-Mature","6-10 years (<50% canopy)","10",,"Street","2021-10-01T02:03:58.000","
,  
(-37.80934967581603, 144.94896235472407)","-37.80934967581603","144.94896235472407","319449.51","5813356.11"
"1013477","English Ash","Fraxinus excelsior","Fraxinus","Oleaceae","68","1997","1997-06-19T00:00:00.000","Mature","11-20 years","20",,"Street","2021-10-01T02:04:13.000","
,  
(-37.810067514910614, 144.94730534575885)","-37.810067514910614","144.94730534575885","319305.38","5813273.25"
"1013478","Wych Elm","Ulmus glabra","Ulmus","Ulmaceae","89","1997","1997-03-07T00:00:00.000","Over-mature","6-10 years (>50% canopy)","10",,"Street","2021-10-01T02:04:08.000","
,  
(-37.81154276495837, 144.94839800438513)","-37.81154276495837","144.94839800438513","319405.17","5813111.66"
"1013481","Wych Elm","Ulmus glabra","Ulmus","Ulmaceae","69","1997","1997-03-07T00:00:00.000","Mature","11-20 years","20",,"Street","2021-10-01T02:04:10.000","
,  
(-37.81147023443032, 144.94862639744056)","-37.81147023443032","144.94862639744056","319425.1","5813120.15"
"1013482","Wych Elm","Ulmus glabra","Ulmus","Ulmaceae","66","1997","1997-03-07T00:00:00.000","Mature","6-10 years (>50% canopy)","10",,"Street","2021-10-01T02:04:10.000","
,  
(-37.81135423631516, 144.94902376552125)","-37.81135423631516","144.94902376552125","319459.8","5813133.79"
"1013486","Wych Elm","Ulmus glabra","Ulmus","Ulmaceae","71","1997","1997-03-07T00:00:00.000","Over-mature","6-10 years (>50% canopy)","10",,"Street","2021-10-01T02:04:16.000","
,  
(-37.811138477210655, 144.9498093024293)","-37.811138477210655","144.9498093024293","319528.43","5813159.25"
"1013494","Wych Elm","Ulmus glabra","Ulmus","Ulmaceae","81","1900","2000-01-01T00:00:00.000","Over-mature","6-10 years (>50% canopy)","10",,"Street","2021-10-01T02:04:17.000","
,  
(-37.81159608588828, 144.94879466268557)","-37.81159608588828","144.94879466268557","319440.22","5813106.51"
"1013495","London Plane","Platanus x acerifolia","Platanus","Platanaceae","30","1997","1997-03-07T00:00:00.000","Semi-Mature","21-30 years","30",,"Street","2021-10-01T02:04:19.000","
,  
(-37.813167418162834, 144.9518516881517)","-37.813167418162834","144.9518516881517","319713.17","5812938.05"
"1013497","London Plane","Platanus x acerifolia","Platanus","Platanaceae","30","1997","1997-03-07T00:00:00.000","Semi-Mature","11-20 years","20",,"Street","2021-10-01T02:04:10.000","
,  
(-37.81313269762596, 144.951979758078)","-37.81313269762596","144.951979758078","319724.36","5812942.15"
"1013498","London Plane","Platanus x acerifolia","Platanus","Platanaceae","34","1997","1997-03-07T00:00:00.000","Semi-Mature","21-30 years","30",,"Street","2021-10-01T02:04:19.000","
,  
(-37.81310130968975, 144.95210773579473)","-37.81310130968975","144.95210773579473","319735.55","5812945.88"
"1013499","London Plane","Platanus x acerifolia","Platanus","Platanaceae","23","1900","2000-01-01T00:00:00.000","Semi-Mature","6-10 years (>50% canopy)","10",,"Street","2021-10-01T02:04:10.000","
,  
(-37.81306962542861, 144.95221868268476)","-37.81306962542861","144.95221868268476","319745.24","5812949.61"
"1013501","London Plane","Platanus x acerifolia","Platanus","Platanaceae","28","1997","1997-03-07T00:00:00.000","Semi-Mature","11-20 years","20",,"Street","2021-10-01T02:04:19.000","
,  
(-37.812983781763585, 144.95250071966495)","-37.812983781763585","144.95250071966495","319769.86","5812959.68"
"1013502","London Plane","Platanus x acerifolia","Platanus","Platanaceae","24","1997","1997-03-07T00:00:00.000","Semi-Mature","1-5 years (<50% canopy)","5",,"Street","2021-10-01T02:04:18.000","
,  
(-37.81294578574396, 144.9526373989078)","-37.81294578574396","144.9526373989078","319781.8","5812964.16"
"1013503","London Plane","Platanus x acerifolia","Platanus","Platanaceae","34","1900","2000-01-01T00:00:00.000","Semi-Mature","21-30 years","30",,"Street","2021-10-01T02:03:53.000","
,  
(-37.812894954784014, 144.95280816952942)","-37.812894954784014","144.95280816952942","319796.71","5812970.13"
