"service_type","date_opened","date_closed","status","case_origin","suburb"
"Illegally Dumped Rubbish","2018-06-06T13:43:00.000","2018-06-08T16:02:00.000","Closed as Duplicate","Snap Send Solve",
"Graffiti Removal Request","2018-05-07T12:28:00.000","2018-05-15T09:47:00.000","Closed","Phone","Melbourne"
"Infringement Review - Parking","2018-04-08T17:16:00.000",,"New","Web",
"Request for Parking Officer","2018-06-29T07:17:00.000","2018-06-29T07:26:00.000","Closed","Phone","West Melbourne"
"Request for Parking Officer","2018-03-31T22:54:00.000","2018-04-01T09:20:00.000","Closed","Web","Carlton"
"Infringement Review - Parking","2018-07-16T13:44:00.000","2018-08-08T13:16:00.000","Closed","Web",
"Request for Parking Officer","2018-07-09T09:47:00.000","2018-07-09T12:02:00.000","Closed","Phone","Melbourne"
"Tree Maintenance Request","2018-03-28T07:59:00.000",,"In Progress","Web","Melbourne"
"Illegally Dumped Rubbish","2018-06-01T18:58:00.000","2018-06-05T14:53:00.000","Closed","Proactive","Melbourne"
"Infringement Review - Parking","2018-04-03T13:46:00.000",,"Assigned for Action","Web",
"Infringement Review - Parking","2018-01-30T09:58:00.000","2018-02-22T10:29:00.000","Closed","Mail",
"Infringement Review - Parking","2018-07-12T12:25:00.000","2018-08-07T16:13:00.000","Closed","Web",
"Graffiti Removal Request","2018-02-12T11:43:00.000",,"Escalated","Web","South Yarra"
"Infringement Review - Parking","2018-05-17T10:32:00.000",,"New","Mail",
"Request for Parking Officer","2018-03-16T11:27:00.000","2018-03-16T12:28:00.000","Closed","Web","North Melbourne"
"Infringement Review - Parking","2018-01-17T08:35:00.000","2018-02-07T13:51:00.000","Closed","Web",
"Infringement Review - Parking","2018-02-16T08:53:00.000",,"Assigned for Action","Mail",
"Infringement Review - Parking","2018-07-18T14:38:00.000","2018-08-13T11:41:00.000","Closed","Web",
"Request for Parking Officer","2018-09-05T11:21:00.000","2018-09-05T11:44:00.000","Closed","Web","East Melbourne"
"Graffiti Removal Request","2018-04-09T14:15:00.000","2018-04-10T10:18:00.000","Closed","Web","Melbourne"
"Graffiti Removal Request","2018-05-28T11:16:00.000","2018-06-01T10:49:00.000","Closed","Email","West Melbourne"
"Infringement Review - Parking","2018-06-14T11:08:00.000",,"New","Web",
"Rough Sleeping","2018-08-28T11:52:00.000","2018-08-28T11:55:00.000","Closed","Phone","Melbourne"
"Infringement Review - Parking","2018-08-09T12:29:00.000","2018-08-31T14:00:00.000","Closed","Web",
"Tree Maintenance Request","2018-08-29T16:35:00.000","2018-10-04T10:57:00.000","Closed","Web","Carlton"
"Infringement Review - Parking","2018-06-05T07:52:00.000","2018-07-04T10:17:00.000","Closed","Web",
"Infringement Review - Parking","2018-02-08T10:43:00.000","2018-03-02T15:25:00.000","Closed","Mail",
"Infringement Review - Parking","2018-01-30T18:24:00.000","2018-02-21T10:44:00.000","Closed","Web",
"Request for Parking Officer","2018-09-07T16:01:00.000","2018-09-07T17:12:00.000","Closed","Web","Melbourne"
"Request for Parking Officer","2018-01-14T16:32:00.000","2018-01-14T18:40:00.000","Closed","Phone","Parkville"
"Request for Parking Officer","2018-06-02T12:41:00.000","2018-06-02T13:59:00.000","Closed","Web","South Yarra"
"Graffiti Removal Request","2018-06-26T09:15:00.000",,"Escalated","Phone","Melbourne"
"Request for Parking Officer","2018-01-20T18:00:00.000","2018-01-20T21:24:00.000","Closed","Web","West Melbourne"
"Infringement Review - Parking","2018-07-01T17:27:00.000","2018-07-26T15:44:00.000","Closed","Web",
"Infringement Review - Parking","2018-06-01T21:11:00.000","2018-06-28T09:29:00.000","Closed","Web",
"Abandoned Vehicles","2018-08-16T13:20:00.000","2018-08-21T14:14:00.000","Closed","Phone","Melbourne"
"Infringement Review - Parking","2018-06-12T10:36:00.000",,"New","Web",
"Infringement Review - Parking","2018-06-12T10:36:00.000",,"New","Web",
