"day","date","gross_weight_bin","gross_weight_bin_1","gross_weight_bin_2","gross_weight_bin_3","daily_estimated_net"
"Friday","2016-01-01T00:00:00.000","43",,,,"34"
"Saturday","2016-01-02T00:00:00.000","44.7",,,,"35.7"
"Sunday","2016-01-03T00:00:00.000","32.6",,,,"23.6"
"Monday","2016-01-04T00:00:00.000","77.3","51.3","67.9",,"169.5"
"Tuesday","2016-01-05T00:00:00.000","41.8","47.5","39.7",,"102"
"Wednesday","2016-01-06T00:00:00.000","60.7","48.4","40.9",,"123"
"Thursday","2016-01-07T00:00:00.000","61.3","74.5",,,"117.8"
"Friday","2016-01-08T00:00:00.000","65.1","68.2",,,"115.3"
"Saturday","2016-01-09T00:00:00.000","47","43.8",,,"72.8"
"Sunday","2016-01-10T00:00:00.000","81.3",,,,"72.3"
"Monday","2016-01-11T00:00:00.000","61","66.2","48",,"148.2"
"Tuesday","2016-01-12T00:00:00.000","34.3","55.2","32.9",,"95.4"
"Wednesday","2016-01-13T00:00:00.000","49.9","56.9","35",,"114.8"
"Thursday","2016-01-14T00:00:00.000","58.9",,,,"49.9"
"Friday","2016-01-15T00:00:00.000","51.8","59.2","54.3",,"138.3"
"Saturday","2016-01-16T00:00:00.000","44.1","70","25.5",,"112.6"
"Sunday","2016-01-17T00:00:00.000","42.4",,,,"33.4"
"Monday","2016-01-18T00:00:00.000","73.7","59.4","27.3","66","190.4"
"Tuesday","2016-01-19T00:00:00.000","70.1","44.7",,,"96.8"
"Wednesday","2016-01-20T00:00:00.000","84","55.8",,,"121.8"
"Thursday","2016-01-21T00:00:00.000","54.6","38.8","54.2",,"120.6"
"Friday","2016-01-22T00:00:00.000","48.5","55.4","32.5",,"109.4"
"Saturday","2016-01-23T00:00:00.000","64.6","58.6",,,"105.2"
"Sunday","2016-01-24T00:00:00.000",,,,,
"Monday","2016-01-25T00:00:00.000","43.7","46.5","62",,"125.2"
"Tuesday","2016-01-26T00:00:00.000","36","45.5","16.4",,"70.9"
"Wednesday","2016-01-27T00:00:00.000","64.2","68.8",,,"115"
"Thursday","2016-01-28T00:00:00.000","39.3","44.1","54.5",,"110.9"
"Friday","2016-01-29T00:00:00.000","48.7","66.9",,,"97.6"
"Saturday","2016-01-30T00:00:00.000","68.4","66.1",,,"116.5"
"Sunday","2016-01-31T00:00:00.000","40.9","47.2","52.4",,"113.5"
"Monday","2016-02-01T00:00:00.000","48.8","57.9",,,"88.7"
"Tuesday","2016-02-02T00:00:00.000","55","70.4",,,"107.4"
"Wednesday","2016-02-03T00:00:00.000","36.5","62.7",,,"81.2"
"Thursday","2016-02-04T00:00:00.000","44.8","63.9","49.9",,"131.6"
"Friday","2016-02-05T00:00:00.000","30.8","54.5","69",,"127.3"
"Saturday","2016-02-06T00:00:00.000","37.9","35.2","41.9","34.8","113.8"
"Sunday","2016-02-07T00:00:00.000","33","48",,,"63"
"Monday","2016-02-08T00:00:00.000","48.9","73","58.7",,"153.6"
"Tuesday","2016-02-09T00:00:00.000","69.9","69.3",,,"121.2"
"Wednesday","2016-02-10T00:00:00.000","50.6","41.6","28.5","52.3","137"
"Thursday","2016-02-11T00:00:00.000","38.8","50.9","41.7",,"104.4"
"Friday","2016-02-12T00:00:00.000","50.5","83.3",,,"115.8"
"Saturday","2016-02-13T00:00:00.000","39","86.7",,,"107.7"
"Sunday","2016-02-14T00:00:00.000","30",,,,"21"
"Monday","2016-02-15T00:00:00.000","68.6","80.2","67.5",,"189.3"
"Tuesday","2016-02-16T00:00:00.000","39.2","59.8",,,"81"
"Wednesday","2016-02-17T00:00:00.000","45.8","53.1","39.1","57.4","159.4"
"Thursday","2016-02-18T00:00:00.000","60.2","41.2","61.2",,"135.6"
"Friday","2016-02-19T00:00:00.000","48.6","35.5","46.1",,"103.2"
"Saturday","2016-02-20T00:00:00.000","57","50",,,"89"
"Sunday","2016-02-21T00:00:00.000","51.4","45.8",,,"79.2"
"Monday","2016-02-22T00:00:00.000","61","47.9","57.5",,"139.4"
"Tuesday","2016-02-23T00:00:00.000","62.2","69",,,"113.2"
"Wednesday","2016-02-24T00:00:00.000","70","43.7",,,"95.7"
"Thursday","2016-02-25T00:00:00.000","53.2","53.7",,,"88.9"
"Friday","2016-02-26T00:00:00.000","56.3","53.8",,,"92.1"
"Saturday","2016-02-27T00:00:00.000","45.2","53","33.1",,"104.3"
"Sunday","2016-02-28T00:00:00.000","57.2","39.9",,,"79.1"
"Monday","2016-02-29T00:00:00.000","67.3","38.3","78.6",,"157.2"
"Tuesday","2016-03-01T00:00:00.000","65.2","11.9","66.7",,"116.8"
"Wednesday","2016-03-02T00:00:00.000","48.4","58.6","30.4",,"110.4"
"Thursday","2016-03-03T00:00:00.000","70.8","52.9",,,"105.7"
"Friday","2016-03-04T00:00:00.000","55.7","57.6","48.9",,"135.2"
"Saturday","2016-03-05T00:00:00.000","56.2","34.5","29",,"92.7"
"Sunday","2016-03-06T00:00:00.000","63.5","18.6",,,"64.1"
"Monday","2016-03-07T00:00:00.000","75.2","50.9","65.3",,"164.4"
"Tuesday","2016-03-08T00:00:00.000","58.1","65.2","43.1",,"139.4"
"Wednesday","2016-03-09T00:00:00.000","65","77.8",,,"124.8"
"Thursday","2016-03-10T00:00:00.000","45","64.4","30.6","54.6","158.6"
"Friday","2016-03-11T00:00:00.000","45.9","61","43.8",,"123.7"
"Saturday","2016-03-12T00:00:00.000","49.1","49.6",,,"80.7"
"Sunday","2016-03-13T00:00:00.000","52.4",,,,"43.4"
"Monday","2016-03-14T00:00:00.000","73.6",,,,"64.6"
"Tuesday","2016-03-15T00:00:00.000","46.9","55.2","69.5",,"144.6"
"Wednesday","2016-03-16T00:00:00.000","70","57.9",,,"109.9"
"Thursday","2016-03-17T00:00:00.000","68.4","74.9",,,"125.3"
"Friday","2016-03-18T00:00:00.000","52.1","78.4",,,"112.5"
"Saturday","2016-03-19T00:00:00.000","56.5",,,,"47.5"
"Sunday","2016-03-20T00:00:00.000","72.4","54.4","52.5",,"152.3"
"Monday","2016-03-21T00:00:00.000","79.3","60",,,"121.3"
"Tuesday","2016-03-22T00:00:00.000","86.5","60.2",,,"128.7"
"Wednesday","2016-03-23T00:00:00.000","65.9","72.8",,,"120.7"
"Thursday","2016-03-24T00:00:00.000","56.3","46.4","68.3",,"144"
"Friday","2016-03-25T00:00:00.000",,,,,
"Saturday","2016-03-26T00:00:00.000","66.8","56.1",,,"104.9"
"Sunday","2016-03-27T00:00:00.000",,,,,
"Monday","2016-03-28T00:00:00.000","74.4","38.8",,,"95.2"
"Tuesday","2016-03-29T00:00:00.000","46.5","42.3","58.5",,"120.3"
"Wednesday","2016-03-30T00:00:00.000","53.2","41.5",,,"76.7"
"Thursday","2016-03-31T00:00:00.000","63.9","48.6",,,"94.5"
"Friday","2016-04-01T00:00:00.000","55.6","68.9",,,"106.5"
"Saturday","2016-04-02T00:00:00.000","49.3","28.7",,,"60"
"Sunday","2016-04-03T00:00:00.000","61.2","38.1","46.3",,"118.6"
