"request_status","date_received","date_completed","suburb","category","service_desc","days_to_complete"
"CLOSED    ","2015-08-20T00:00:00.000","2015-09-07T00:00:00.000","Carlton","Graffiti","Graffiti Removal ","18"
"CLOSED    ","2016-03-31T00:00:00.000","2016-04-06T00:00:00.000","Carlton","Graffiti","Graffiti Removal ","6"
"CLOSED    ","2016-05-05T00:00:00.000","2016-05-12T00:00:00.000","Carlton","Graffiti","Graffiti Removal ","7"
"CLOSED    ","2016-02-22T00:00:00.000","2016-02-25T00:00:00.000","Carlton","Graffiti","Graffiti Removal ","3"
"CLOSED    ","2014-11-10T00:00:00.000","2014-11-18T00:00:00.000","Carlton","Graffiti","Graffiti Removal ","8"
"CLOSED    ","2016-06-10T00:00:00.000","2016-06-24T00:00:00.000","Carlton","Graffiti","Graffiti Removal ","14"
"CLOSED    ","2014-11-18T00:00:00.000","2014-11-20T00:00:00.000","Melbourne","Waste, Street Cleaning and Litter ","Missed Bin Collection","2"
"CLOSED    ","2014-11-20T00:00:00.000","2014-11-21T00:00:00.000","Melbourne","Waste, Street Cleaning and Litter ","Missed Bin Collection","1"
"CLOSED    ","2014-11-20T00:00:00.000","2014-11-25T00:00:00.000","Melbourne","Graffiti","Graffiti Removal ","5"
"CLOSED    ","2014-11-20T00:00:00.000","2014-11-21T00:00:00.000","East Melbourne","Waste, Street Cleaning and Litter ","Missed Bin Collection","1"
"CLOSED    ","2015-01-15T00:00:00.000","2015-01-21T00:00:00.000","North Melbourne","Waste, Street Cleaning and Litter ","Missed Bin Collection","6"
"CLOSED    ","2015-01-16T00:00:00.000","2015-01-21T00:00:00.000","Kensington","Waste, Street Cleaning and Litter ","Missed Bin Collection","5"
"CLOSED    ","2015-01-16T00:00:00.000","2015-01-21T00:00:00.000","North Melbourne","Waste, Street Cleaning and Litter ","Missed Bin Collection","5"
"CLOSED    ","2015-01-19T00:00:00.000","2015-01-20T00:00:00.000","Carlton","Parks and Trees","Sport and Playground Facilities ","1"
"CLOSED    ","2014-11-20T00:00:00.000","2014-11-24T00:00:00.000","Carlton","Waste, Street Cleaning and Litter ","Waste collection services","4"
"CLOSED    ","2014-11-20T00:00:00.000","2014-11-24T00:00:00.000","Melbourne","Waste, Street Cleaning and Litter ","Damaged Bins ","4"
"CLOSED    ","2014-11-21T00:00:00.000","2014-12-16T00:00:00.000","Parkville","Parks and Trees","Tree Maintenance Services","25"
"CLOSED    ","2015-01-20T00:00:00.000","2015-01-22T00:00:00.000","Melbourne","Parks and Trees","Tree Maintenance Services","2"
"CLOSED    ","2015-01-20T00:00:00.000","2015-03-11T00:00:00.000","North Melbourne","Parks and Trees","Park Cleaning ","50"
"CLOSED    ","2014-11-25T00:00:00.000","2014-11-27T00:00:00.000","Carlton","Waste, Street Cleaning and Litter ","Waste collection services","2"
"CLOSED    ","2014-11-27T00:00:00.000","2014-12-01T00:00:00.000","Carlton","Waste, Street Cleaning and Litter ","Missed Bin Collection","4"
"CLOSED    ","2015-01-21T00:00:00.000","2015-01-22T00:00:00.000","Melbourne","Waste, Street Cleaning and Litter ","Street Cleaning services","1"
"CLOSED    ","2015-01-22T00:00:00.000","2015-01-27T00:00:00.000","Melbourne","Waste, Street Cleaning and Litter ","Public Litter Bin ","5"
"CLOSED    ","2015-01-23T00:00:00.000","2015-02-02T00:00:00.000","North Melbourne","Graffiti","Graffiti Removal ","10"
"CLOSED    ","2015-01-23T00:00:00.000","2015-02-02T00:00:00.000","North Melbourne","Graffiti","Graffiti Removal ","10"
"CLOSED    ","2015-01-23T00:00:00.000","2015-01-27T00:00:00.000","Southbank","Waste, Street Cleaning and Litter ","Damaged Bins ","4"
"CLOSED    ","2014-11-28T00:00:00.000","2014-12-08T00:00:00.000","Melbourne","Graffiti","Graffiti Removal ","10"
"CLOSED    ","2014-11-28T00:00:00.000","2014-12-02T00:00:00.000","East Melbourne","Waste, Street Cleaning and Litter ","Damaged Bins ","4"
"CLOSED    ","2014-11-30T00:00:00.000","2014-12-02T00:00:00.000","Kensington","Waste, Street Cleaning and Litter ","Public Litter Bin ","2"
"CLOSED    ","2014-12-01T00:00:00.000","2014-12-24T00:00:00.000","Carlton","Parks and Trees","Condition of Assets in Parks","23"
"CLOSED    ","2014-12-01T00:00:00.000","2014-12-08T00:00:00.000","Carlton","Graffiti","Graffiti Removal ","7"
"CLOSED    ","2015-01-27T00:00:00.000","2015-02-02T00:00:00.000","North Melbourne","Waste, Street Cleaning and Litter ","Public Litter Bin ","6"
"CLOSED    ","2015-01-28T00:00:00.000","2015-01-29T00:00:00.000","East Melbourne","Waste, Street Cleaning and Litter ","Missed Bin Collection","1"
"CLOSED    ","2014-12-02T00:00:00.000","2014-12-04T00:00:00.000","Melbourne","Graffiti","Graffiti Removal ","2"
"CLOSED    ","2014-12-02T00:00:00.000","2014-12-04T00:00:00.000","West Melbourne","Waste, Street Cleaning and Litter ","Public Litter Bin ","2"
"CLOSED    ","2015-01-28T00:00:00.000","2015-01-30T00:00:00.000","Port Melbourne","Waste, Street Cleaning and Litter ","Missed Bin Collection","2"
"CLOSED    ","2015-01-29T00:00:00.000","2015-02-06T00:00:00.000","Melbourne","Parks and Trees","Park Cleaning ","8"
"CLOSED    ","2015-01-29T00:00:00.000","2015-02-02T00:00:00.000","Carlton","Waste, Street Cleaning and Litter ","Public Litter Bin ","4"
"CLOSED    ","2015-01-30T00:00:00.000","2015-02-12T00:00:00.000","South Yarra","Parks and Trees","Condition of Assets in Parks","13"
