"organisation","address","website","latitude","longitude","location"
"@workspaces","Level 5, 171 Collins Street, Melbourne 3000","https://www.atworkspaces.com/locations/melbourne","-37.815447000","144.968789000","POINT (144.968789 -37.815447)"
"11th Space","Level 11/580 Collins St, Melbourne VIC 3000","https://11thspace.com/","-37.818523","144.955363700","POINT (144.9553637 -37.818523)"
"25 King Collective","25 King Street, Melbourne 3000","https://www.25king.com.au/","-37.819840000","144.957030000","POINT (144.95703 -37.81984)"
"360 Collins","360 Collins Street, Melbourne 3000","https://officespace.com.au/melbourne/153369/","-37.816002000","144.962311000","POINT (144.962311 -37.816002)"
"ACMI X","Level 4, 2 Kavanagh Street, Southbank 3006","https://www.acmi.net.au/acmi-x/","-37.821801400","144.967593800","POINT (144.9675938 -37.8218014)"
"Altitude Coworking","Level 7, 575 Bourke Street, Melbourne 3000","https://altitudecowork.com.au","-37.816500000","144.956682000","POINT (144.956682 -37.8165)"
"Bank House","11-19 Bank Place, Melbourne 3000","https://officespace.com.au/melbourne/106620/","-37.816580000","144.960230000","POINT (144.96023 -37.81658)"
"Chantilly Studio Inc.","Level 9, 37 Swanston Street, Melbourne 3000","http://www.creativespaces.net.au/find-a-space/chantilly-studio-in-the-nicholas-building","-37.816743000","144.966758000","POINT (144.966758 -37.816743)"
"Clik Collective","2 Chelmsford Street, Kensington 3031","http://clikcollective.com.au","-37.796414800","144.931695600","POINT (144.9316956 -37.7964148)"
"Creative Cubes","333 Drummond Street, Carlton 3053","https://creativecubes.co/locations/carlton/","-37.798057","144.968231","POINT (144.968231 -37.798057)"
"co171ns","171 Collins Street, Level 5, Melbourne 3000","https://officespace.com.au/melbourne/76647/","-37.81524","144.96818","POINT (144.96818 -37.81524)"
"Dimension5","Level 1, 10 Dorcas Street, South Melbourne 3205","http://www.dimension5hub.com.au","-37.829905600","144.969933900","POINT (144.9699339 -37.8299056)"
"Framework Melbourne","Suite 1, Level 1, 458 Swanston Street, Carlton 3053","http://www.framework.melbourne","-37.806156800","144.963362200","POINT (144.9633622 -37.8061568)"
"Hatch Quarter","7/677 La Trobe Street, Docklands 3008","http://www.hatchquarter.com.au/","-37.814600000","144.947310000","POINT (144.94731 -37.8146)"
"Hub Southern Cross","Level 2/3, 696 Bourke Street, Melbourne, 3000","https://www.hubaustralia.com/locations/melbourne/","-37.816615700","144.953563200","POINT (144.9535632 -37.8166157)"
"Hub Collins Street","Georges Building, Mezzanine and levels 2 & 3, 162 Collins Street, Melbourne 3000","https://www.hubaustralia.com/locations/melbourne/","-37.814830000","144.968050000","POINT (144.96805 -37.81483)"
"Hub Parliament Station","1 Nicholson  Street, Melbourne 3000","https://www.hubaustralia.com/locations/melbourne/","-37.779710000","144.977910000","POINT (144.97791 -37.77971)"
"Hub Flinders Street","Levels 2,3 and 7 180 Flinders Street","https://www.hubaustralia.com/locations/melbourne/","-37.816894000","144.968568000","POINT (144.968568 -37.816894)"
"JustCo","276 Flinders Street, Melbourne 3000","https://www.justcoglobal.com/au/locations/melbourne","-37.817890000","144.965200000","POINT (144.9652 -37.81789)"
"JustCo","15 William Street, Melbourne 3000","https://www.justcoglobal.com/au/locations/melbourne","-37.819020000","144.959460000","POINT (144.95946 -37.81902)"
"JustCo","447 Collins Street, Levels 4-5 (Collins Arch), Melbourne 3000","https://www.justcoglobal.com/au/locations/melbourne","-37.817210000","144.961380000","POINT (144.96138 -37.81721)"
"Melbourne Blockchain Centre","710 Collins Street, Melbourne 3000","http://blockchaincentre.com.au/","-37.819908000","144.950386000","POINT (144.950386 -37.819908)"
"Normanby Chambers","430 Little Collins Street, Melbourne 3000","https://officespace.com.au/melbourne/36231/","-37.816090000","144.960205000","POINT (144.960205 -37.81609)"
"Nous House Melbourne","Level 19, 567 Collins Street, Melbourne 3000","http://www.noushouse.co","-37.818700300","144.955592600","POINT (144.9555926 -37.8187003)"
"Opus Workspaces","Level 13, 200 Queen Street, Melbourne 3000","https://www.opusworkspaces.com.au/coworking/","-37.813566000","144.960469000","POINT (144.960469 -37.813566)"
"Our Community House","552 Victoria Street, North Melbourne 3051","https://ochouse.com.au/","-37.804710000","144.947400000","POINT (144.9474 -37.80471)"
"Regus","385 Bourke Street, Melbourne 3000","https://www.regus.com.au/offices/australia/victoria/melbourne/coworking-space","-37.81455","144.96293","POINT (144.96293 -37.81455)"
"Regus","430 Little Collins Street, Melbourne 3000","https://www.regus.com.au/offices/australia/victoria/melbourne/coworking-space","-37.81609","144.9602","POINT (144.9602 -37.81609)"
"Regus","367 Collins Street, Melbourne 3000","https://www.regus.com.au/offices/australia/victoria/melbourne/coworking-space","-37.81694","144.96233","POINT (144.96233 -37.81694)"
"Regus","180 Lonsdale Street, Melbourne 3000","https://www.regus.com.au/offices/australia/victoria/melbourne/coworking-space","-37.81081","144.96655","POINT (144.96655 -37.81081)"
"Regus","120 Collins Street, Melbourne 3000","https://www.regus.com.au/offices/australia/victoria/melbourne/coworking-space","-37.81411","144.96897","POINT (144.96897 -37.81411)"
"Regus","555 Lonsdale Street, Melbourne 3000","https://www.regus.com.au/offices/australia/victoria/melbourne/coworking-space","-37.814243","144.956238","POINT (144.956238 -37.814243)"
"Regus","90 Collins Street, Melbourne 3000","https://www.regus.com.au/offices/australia/victoria/melbourne/coworking-space","-37.813978","144.97043","POINT (144.97043 -37.813978)"
"Regus","Level 27, 525 Collins Street, Rialto South Tower, Melbourne 3000","https://www.regus.com.au/offices/australia/victoria/melbourne/coworking-space","-37.818575","144.957666","POINT (144.957666 -37.818575)"
"Regus","Level 1 and 2, 161 Collins Street, Melbourne 3000","https://www.regus.com.au/offices/australia/victoria/melbourne/coworking-space","-37.815458","144.968847","POINT (144.968847 -37.815458)"
"Rialto","525 Collins Street, Melbourne 3000","Office Space in Melbourne | Spaces (http://spacesworks.com)","-37.818575","144.957666","POINT (144.957666 -37.818575)"
"Servcorp","Level 27, 101 Collins Street, Melbourne 3000","http://www.servcorp.com.au","-37.814587400","144.970666600","POINT (144.9706666 -37.8145874)"
"Servcorp","Level 40, 140 William Street, Melbourne 3000","http://www.servcorp.com.au","-37.815848600","144.958838900","POINT (144.9588389 -37.8158486)"
"Servcorp","Level 2, Riverside Quay, 1 Southbank Boulevard, Southbank 3006","http://www.servcorp.com.au","-37.821008000","144.962861000","POINT (144.962861 -37.821008)"
"Space & Co","Level 12, 360 Elizabeth Street, Melbourne 3000","http://www.spaceandco.com.au/melbourne","-37.810881700","144.962018200","POINT (144.9620182 -37.8108817)"
"Space & Co","Level 3, 530 Collins Street, Melbourne 3000","http://www.spaceandco.com.au/melbourne","-37.817684200","144.956816500","POINT (144.9568165 -37.8176842)"
"Space & Co","Level 22, 8 Exhibition St, Melbourne 3000","http://www.spaceandco.com.au/melbourne","-37.815392000","144.972791000","POINT (144.972791 -37.815392)"
"Space & Co","Level 19, 2 Southbank Boulevard, Melbourne 3000","http://www.spaceandco.com.au/melbourne","-37.821577000","144.962359000","POINT (144.962359 -37.821577)"
"Space Station","Level 18, 461 Bourke Street, Melbourne 3000","https://spacestation.net.au/","-37.815537000","144.960256000","POINT (144.960256 -37.815537)"
"Space Station","Level 10, 440 Collins Street, Melbourne 3000","https://spacestation.net.au/","-37.817050000","144.959791000","POINT (144.959791 -37.81705)"
"Stone and Chalk","710 Collins Street, Melbourne 3000","http://www.stoneandchalk.com.au","-37.819908000","144.950386000","POINT (144.950386 -37.819908)"
"The Cluster","Level 17, 20/21, 31 Queen Street Melbourne 3000","http://www.thecluster.com.au","-37.818231400","144.961787000","POINT (144.961787 -37.8182314)"
"The Commons QV","3 Albert Coates Lane, Melbourne 3000","https://thecommons.io/location/qv/","-37.811104000","144.964657000","POINT (144.964657 -37.811104)"
"The Pond","Level 1, 382 Little Collins Street, Melbourne 3000","https://silverpond.com.au/ai-community/co-working/","-37.815594000","144.961959000","POINT (144.961959 -37.815594)"
"Victory Offices","The Dome – Level 14, 333 Collins Street Melbourne 3000","http://www.vcso.com.au/co-working/","-37.816420700","144.963367200","POINT (144.9633672 -37.8164207)"
"Victory Offices","Collins Place, Level 30, 35 Collins Street, Melbourne 3000","http://www.vcso.com.au/co-working/","-37.814120000","144.972341000","POINT (144.972341 -37.81412)"
"Victory Offices","Collins Square, Level 17, 727 Collins Street, Melbourne 3000","http://www.vcso.com.au/co-working/","-37.820606000","144.950105000","POINT (144.950105 -37.820606)"
"Victory Offices","Victory Lounge, 416 Collins Street, Melbourne 3000","http://www.vcso.com.au/co-working/","-37.817070000","144.960353000","POINT (144.960353 -37.81707)"
"Wework","114 William Street, Melbourne VIC 3000","http://www.wework.com/l/melbourne","-37.816329000","144.958860000","POINT (144.95886 -37.816329)"
"Wework","152 Elizabeth Street, Melbourne 3000","http://www.wework.com/l/melbourne","-37.814458200","144.963628000","POINT (144.963628 -37.8144582)"
"Wework","401 Collins Street, Melbourne 3000","http://www.wework.com/l/melbourne","-37.816981000","144.960678000","POINT (144.960678 -37.816981)"
"Wework","222 Exhibition Street Melbourne VIC 3000","http://www.wework.com/l/melbourne","-37.810727000","144.970238000","POINT (144.970238 -37.810727)"
"Wework","120 Spencer Street Melbourne VIC 3000","http://www.wework.com/l/melbourne","-37.818212000","144.954332000","POINT (144.954332 -37.818212)"
"Work Club","Level 2, 287 Collins Street, Melbourne 3000","http://workclubglobal.com/melbourne/","-37.816332100","144.964509500","POINT (144.9645095 -37.8163321)"
"Workspace365","Level 14, 330 Collins Street, Melbourne VIC 3000","https://www.workspace365.com.au/co-working","-37.816211000","144.963253000","POINT (144.963253 -37.816211)"
"Workspace365","Level 8, 350 Collins Street Melbourne VIC 3000","https://www.workspace365.com.au/co-working","-37.816305000","144.962863000","POINT (144.962863 -37.816305)"
"Workspace365","Ground Floor, 555 Bourke Street Melbourne VIC 3000","https://www.workspace365.com.au/co-working","-37.816202000","144.957406000","POINT (144.957406 -37.816202)"
"Workspace365","Ground Floor, 485 La Trobe Street, Melbourne VIC 3000","https://www.workspace365.com.au/co-working","-37.812563000","144.954838000","POINT (144.954838 -37.812563)"
"Workspace365","607 Bourke Street, Melbourne 3000","https://www.workspace365.com.au/co-working","-37.816673000","144.955505000","POINT (144.955505 -37.816673)"
"Workspace365","Level 9/14/15 330 Collins Street, Melbourne 3000","https://www.workspace365.com.au/co-working","-37.816211000","144.963253100","POINT (144.9632531 -37.816211)"
"YBF Ventures","520 Bourke Street, Melbourne 3000","http://ybfventures.com","-37.815277600","144.958344200","POINT (144.9583442 -37.8152776)"
