"ref","name","contact_ph","url","lat","lon"
"619559","The Harbour Family and Childrens Centre","03 8624 1000","http://www.gowrie-melbourne.com.au","-37.82054335","144.94306719"
"592707","Goodstart Early Learning Melbourne Flinders Street","03 9671 3539","http://www.goodstart.org.au","-37.81794575","144.96528614"
"104202","MAMA Midwives and Mothers Australia","03 9376 7474","http://www.midwivesandmothers.com.au","-37.79241689","144.91946965"
"109894","Early Learning Centre","03 9862 9200","http://www.mggs.vic.edu.au","-37.83119287","144.98610383"
"627399","Only About Children","03 9922 1170",,"-37.81046242","144.96238377"
"706718","Gowrie Carlton Learning Precinct",,,"-37.79610368","144.97007771"
"504891","St Catherines Early Learing Centre","03 9328 3040","http://www.stcatherines-eec.com.au","-37.79622515","144.94433562"
"100083","North Melbourne Maternal & Child Health Centre","03 9320 4724","http://www.melbourne.vic.gov.au","-37.79436687","144.94682844"
"101064","Yarra Park Children's Centre","9428 0896","http://emcc.org.au/yarra.php","-37.81862706","144.98854292"
"617520","North Melbourne Maternal & Child Health Centre","03 9320 4724","http://www.melbourne.vic.gov.au","-37.79307895","144.94051513"
"563554","Kensington Community Children's Co-Operative","03 9376 4565","http://www.kccc.org.au","-37.79710602","144.92552634"
"110181","Wimble Street Child Care Co-Operative","03 9347 9103","http://www.wimblest.com.au","-37.79499106","144.95595487"
"101626","Melbourne University Family Club Co-Operative","03 9347 3518","http://www.familyclub.org.au","-37.79610216","144.96605617"
"102696","Central Carlton Childrens Centre","03 9096 5447","http://www.dhhs.vic.gov.au","-37.7940351","144.9694206"
"616152","Kids Club Kensington Early Learning Centre","13 0054 3725",,"-37.79120041","144.93548036"
"579072","Queensberry Childrens Centre","03 8344 9621","http://www.pb.unimelb.edu.au/ehs/","-37.80416898","144.96092293"
"711265","Kids Club Collins Street Early Learning Centre",,,"-37.81799814","144.95838605"
"617536","Hotham Hub Children's Centre","03 9658 8812",,"-37.79271146","144.94202167"
"109351","University Of Melbourne Child Care","03 9035 4300","http://www.pb.unimelb.edu.au/ehs/","-37.79625086","144.96487025"
"667449","Little Assets Melb City Early Learning Centre","03 8808 5000","http://www.littleassets.com.au","-37.82227454","144.95359746"
"109056","Tomasso Fiaschi Child Care Centre","03 9347 1484","http://www.coasit.com.au","-37.79601466","144.97410803"
"664202","One Tree Defence Childcare Unit Coventry","03 9282 5009","http://www.onetree.org.au","-37.82895695","144.96968174"
"579282","Fawkner Park Childrens Centre Co Operative","9820 2758","http://www.fawknerpark.com","-37.83755884","144.9797901"
"105036","North Melbourne Children's Centre","03 9328 1592","http://www.careforkids.com.au","-37.80458408","144.9540423"
"106080","RMIT City Campus Children's Centre","03 8663 4810",,"-37.80638683","144.96578654"
"587207","Alfred Child Care Centre","03 9207 1099","http://www.alfred.org.au","-37.84664583","144.98114769"
"633400","Thinking Kids Children's Centre","03 8481 1100","http://www.ecms.org.au/thinking-kids-childrens-centre","-37.77888928","144.94321742"
"717144","Nido Early School Melbourne Square",,,"-37.82536549","144.96370083"
"530624","Powlett Reserve Childrens Centre","9428 0896",,"-37.81169635","144.98847885"
