"branch","asset_type","asset_name","address","suburb","postcode","category","nger_entity","latitude","longitude","geocode"
"Property Services","Administration Facilities","Administration - 602 Little Bourke Street Storage","602 Little Bourke Street","Melbourne","3000","Building","Administration Facilities Aggregated","-37.79816","144.93917","(-37.79816, 144.93917)"
"Property Services","Administration Facilities","Administration - Council House 1","200 Little Collins Street","Melbourne","3000","Building","Administration Facilities Aggregated","-37.81392","144.96721","(-37.81392, 144.96721)"
"Property Services","Administration Facilities","Administration - Council House 2","218 Little Collins Street","Melbourne","3000","Building","Administration Facilities Aggregated","-37.81417","144.96671","(-37.81417, 144.96671)"
"Property Services","Administration Facilities","Administration - Melbourne Town Hall","120 Swanston Street","Melbourne","3000","Building","Administration Facilities Aggregated","-37.81462","144.96648","(-37.81462, 144.96648)"
"Engineering Services","Administration Facilities","Administration - Corporate Fleet","200 Little Collins Street","Melbourne","3000","Vehicles","Administration Facilities Aggregated","-37.81392","144.96721","(-37.81392, 144.96721)"
"Park Services including Waterways","Administration Facilities","Administration - Waterways Office","Suite 109, 425 Docklands Drive","Docklands","3008","Building","Administration Facilities Aggregated","-37.8145","144.93924","(-37.8145, 144.93924)"
"Community Services","Childcare Facilities","Child Care - Hotham Hub","113 Melrose Street","North Melbourne","3051","Building","Child Care Facilities Aggregated","-37.79271","144.94191","(-37.79271, 144.94191)"
"Community Services","Childcare Facilities","Child Care - Lady Huntingfield","89 Haines Street","North Melbourne","3051","Building","Child Care Facilities Aggregated","-37.79866","144.94489","(-37.79866, 144.94489)"
"Community Services","Childcare Facilities","Child Care - North Melbourne","28 Howard Street","North Melbourne","3051","Building","Child Care Facilities Aggregated","-37.80454","144.95431","(-37.80454, 144.95431)"
"Community Services","Childcare Facilities","Child Care - Melbourne City","100 A'Beckett Street","Melbourne","3000","Building","Child Care Facilities Aggregated","-37.80916","144.96024","(-37.80916, 144.96024)"
"Community Services","Childcare Facilities","Child Care - Central Carlton","477 Drummond Street","Carlton","3053","Building","Child Care Facilities Aggregated","-37.79401","144.96927","(-37.79401, 144.96927)"
"Property Services","Community Facilities","Toilets - Queensberry Street West","530 Queensberry Street","North Melbourne","3051","Building",,"-37.80309","144.94986","(-37.80309, 144.94986)"
"Property Services","Community Facilities","Toilets - Queensberry Street Central","286 Queensberry Street","Melbourne","3000","Building",,"-37.80403","144.95908","(-37.80403, 144.95908)"
"Property Services","Community Facilities","Toilets - Elizabeth Street North","Opp 506 Elizabeth Street","Melbourne","3000","Building","Community Facilities Aggregated","-37.80657","144.95985","(-37.80657, 144.95985)"
"Property Services","Community Facilities","Toilets - Swanston Street North","Opp 475 Swanston Street","Melbourne","3000","Building","Community Facilities Aggregated","-37.80679","144.96266","(-37.80679, 144.96266)"
"Property Services","Community Facilities","Toilets - Franklin Street","Opp 88 Franklin Street","Melbourne","3000","Building","Community Facilities Aggregated","-37.80822","144.96017","(-37.80822, 144.96017)"
"Property Services","Community Facilities","Toilets - Latrobe Street","Opp 120 Latrobe Street","Melbourne","3000","Building",,"-37.80894","144.96565","(-37.80894, 144.96565)"
"Property Services","Community Facilities","Toilets - Little Lonsdale Street","Opp 242 Exhibition Street","Melbourne","3000","Building",,"-37.80957","144.96942","(-37.80957, 144.96942)"
"Property Services","Community Facilities","Toilets - Lonsdale Street East","Opp 88 Lonsdale Street","Melbourne","3000","Building","Community Facilities Aggregated","-37.81003","144.96991","(-37.81003, 144.96991)"
"Property Services","Community Facilities","Toilets - Gordons Reserve","Opp 74 Spring Street","Melbourne","3000","Building",,"-37.81226","144.97387","(-37.81226, 144.97387)"
"Property Services","Community Facilities","Toilets - Lonsdale Street Central","Opp 419 Lonsdale Street","Melbourne","3000","Building","Community Facilities Aggregated","-37.81293","144.95999","(-37.81293, 144.95999)"
"Property Services","Community Facilities","Toilets - Bourke Street","Outside 225 Bourke Street","Melbourne","3000","Building",,"-37.81321","144.96697","(-37.81321, 144.96697)"
"Property Services","Community Facilities","Toilets - Elizabeth Street South","Opp 200 Elizabeth Street (GPO)","Melbourne","3000","Building","Community Facilities Aggregated","-37.81384","144.96309","(-37.81384, 144.96309)"
"Property Services","Community Facilities","Toilets - Exhibition Street","Opp 77 Exhibition Street","Melbourne","3000","Building","Community Facilities Aggregated","-37.81384","144.97137","(-37.81384, 144.97137)"
"Property Services","Community Facilities","Toilets - Lonsdale Street West","Opp 581 Lonsdale Street","Melbourne","3000","Building","Community Facilities Aggregated","-37.81437","144.95511","(-37.81437, 144.95511)"
"Property Services","Community Facilities","Toilets - Collins Street Town Hall","Opp 199 Collins Street","Melbourne","3000","Building",,"-37.81523","144.96695","(-37.81523, 144.96695)"
"Property Services","Community Facilities","Toilets - Queen Street","113 Queen Street","Melbourne","3000","Building","Community Facilities Aggregated","-37.81597","144.96111","(-37.81597, 144.96111)"
"Property Services","Community Facilities","Toilets - Queen Street South","Opp 77 Queen Street","Melbourne","3000","Building","Community Facilities Aggregated","-37.81668","144.96147","(-37.81668, 144.96147)"
"Property Services","Community Facilities","Toilets - Collins Street West","Opp 74 Market Street","Melbourne","3000","Building","Community Facilities Aggregated","-37.81747","144.96025","(-37.81747, 144.96025)"
"Property Services","Community Facilities","Toilets - Flinders Street","Opp 1 Elizabeth Street","Melbourne","3000","Building",,"-37.81795","144.96484","(-37.81795, 144.96484)"
"Property Services","Community Facilities","Toilets - Flinders Street Station","265 Flinders Street","Melbourne","3000","Building","Community Facilities Aggregated","-37.81795","144.9661","(-37.81795, 144.9661)"
"Property Services","Community Facilities","Toilets - Flinders Street Central","Opp 399 Flinders Street","Melbourne","3000","Building","Community Facilities Aggregated","-37.81941","144.96128","(-37.81941, 144.96128)"
"Property Services","Community Facilities","Toilets - Faraday Street","Opp 208 Faraday Street","Carlton","3053","Building","Community Facilities Aggregated","-37.79871","144.96757","(-37.79871, 144.96757)"
"Property Services","Community Facilities","Toilets - Southbank Promenade","Southbank Promenade","Melbourne","3000","Building",,,,
"Property Services","Community Facilities","Toilets - Queensberry Street East","179 Queensberry Street","Carlton","3053","Building",,"-37.80464","144.96285","(-37.80464, 144.96285)"
"Property Services","Community Facilities","Toilets - Princes Street","Cnr Princes and Canning Streets","Carlton","3053","Building",,,,
"Property Services","Community Facilities","Toilets - Argyle Place","Opp 8 Argyle Place North","Carlton North","3054","Building","Community Facilities Aggregated","-37.80351","144.96614","(-37.80351, 144.96614)"
"Property Services","Community Facilities","Toilets - Alexandra Park","Alexandra Avenue","South Yarra","3141","Building","Community Facilities Aggregated","-37.82763","144.98179","(-37.82763, 144.98179)"
"Property Services","Community Facilities","Toilets - Nicholson Street","Cnr Nicholson and Albert Streets","East Melbourne","3002","Building",,,,
"Property Services","Community Facilities","Toilets - Bellair Street","Opp 180 Bellair Street","Kensington","3031","Building","Community Facilities Aggregated","-37.79374","144.93038","(-37.79374, 144.93038)"
"Arts and Culture","Community Facilities","Child Activity Centre - Art Play","Batman Avenue","Melbourne","3000","Building","Community Facilities Aggregated","-37.81827","144.97156","(-37.81827, 144.97156)"
"Park Services including Waterways","Community Facilities","Toilets - Ryder Oval Royal Park","Park Street","Parkville","3052","Building","Community Facilities Aggregated","-37.77939","144.95576","(-37.77939, 144.95576)"
"Park Services including Waterways","Community Facilities","Toilets - Ross Straw Field","Off Oak Street","Parkville","3052","Building","Community Facilities Aggregated","-37.78303","144.94185","(-37.78303, 144.94185)"
"Park Services including Waterways","Community Facilities","Toilets - Ievers Reserve","Opp 121 Flemington Road","Parkville","3052","Building","Community Facilities Aggregated","-37.79679","144.95195","(-37.79679, 144.95195)"
"Park Services including Waterways","Community Facilities","Toilets - Manningham Street Reserve","Manningham Street","Parkville","3052","Building",,,,
"Park Services including Waterways","Community Facilities","Toilets - Alexandra Gardens","Alexandra Avenue","Melbourne","3000","Building","Community Facilities Aggregated","-37.82038","144.97334","(-37.82038, 144.97334)"
"Park Services including Waterways","Community Facilities","Toilets - Batman Park","2 Spencer Street","Melbourne","3000","Building","Community Facilities Aggregated","-37.82172","144.95558","(-37.82172, 144.95558)"
"Park Services including Waterways","Community Facilities","Toilets - Kings Domain North","Alexandra Avenue (Opp Hendley Landing)","Melbourne","3000","Building","Community Facilities Aggregated","-37.82273","144.97517","(-37.82273, 144.97517)"
"Park Services including Waterways","Community Facilities","Toilets - Goschs Paddock","112 Olympic Boulevard","Melbourne","3000","Building","Community Facilities Aggregated","-37.82441","144.98562","(-37.82441, 144.98562)"
"Park Services including Waterways","Community Facilities","Toilets - Kings Domain South","Opp Government House Drive","Melbourne","3000","Building","Community Facilities Aggregated","-37.82692","144.97466","(-37.82692, 144.97466)"
"Park Services including Waterways","Community Facilities","Toilets - Shrine Gardens","St Kilda Road","Melbourne","3000","Building",,,,
"Engineering Services","Park Facilities","Depot - Degraves St Recycling Plant - Ross House","247 Flinders Lane","Melbourne","3000","Building",,"-37.817","144.96616","(-37.817, 144.96616)"
