"date","gender","age_group","veterans"
"2020-09-30T00:00:00.000","Male","< 20","4939"
"2020-09-30T00:00:00.000","Male","20-24","191021"
"2020-09-30T00:00:00.000","Male","25-29","525440"
"2020-09-30T00:00:00.000","Male","30-34","768082"
"2020-09-30T00:00:00.000","Male","35-39","875081"
"2020-09-30T00:00:00.000","Male","40-44","867717"
"2020-09-30T00:00:00.000","Male","45-49","1015059"
"2020-09-30T00:00:00.000","Male","50-54","1374473"
"2020-09-30T00:00:00.000","Male","55-59","1589911"
"2020-09-30T00:00:00.000","Male","60-64","1637797"
"2020-09-30T00:00:00.000","Male","65-69","1593892"
"2020-09-30T00:00:00.000","Male","70-74","2538943"
"2020-09-30T00:00:00.000","Male","75-79","1814368"
"2020-09-30T00:00:00.000","Male","80-84","1135534"
"2020-09-30T00:00:00.000","Male","85+","1452927"
"2020-09-30T00:00:00.000","Female","< 20","1982"
"2020-09-30T00:00:00.000","Female","20-24","52510"
"2020-09-30T00:00:00.000","Female","25-29","122488"
"2020-09-30T00:00:00.000","Female","30-34","176050"
"2020-09-30T00:00:00.000","Female","35-39","206062"
"2020-09-30T00:00:00.000","Female","40-44","201715"
"2020-09-30T00:00:00.000","Female","45-49","189245"
"2020-09-30T00:00:00.000","Female","50-54","216411"
"2020-09-30T00:00:00.000","Female","55-59","236853"
"2020-09-30T00:00:00.000","Female","60-64","219081"
"2020-09-30T00:00:00.000","Female","65-69","155285"
"2020-09-30T00:00:00.000","Female","70-74","97883"
"2020-09-30T00:00:00.000","Female","75-79","51287"
"2020-09-30T00:00:00.000","Female","80-84","36608"
"2020-09-30T00:00:00.000","Female","85+","49301"
"2021-09-30T00:00:00.000","Male","< 20","6514"
"2021-09-30T00:00:00.000","Male","20-24","196212"
"2021-09-30T00:00:00.000","Male","25-29","521608"
"2021-09-30T00:00:00.000","Male","30-34","755107"
"2021-09-30T00:00:00.000","Male","35-39","862353"
"2021-09-30T00:00:00.000","Male","40-44","889237"
"2021-09-30T00:00:00.000","Male","45-49","947669"
"2021-09-30T00:00:00.000","Male","50-54","1325614"
"2021-09-30T00:00:00.000","Male","55-59","1525210"
"2021-09-30T00:00:00.000","Male","60-64","1611969"
"2021-09-30T00:00:00.000","Male","65-69","1565154"
"2021-09-30T00:00:00.000","Male","70-74","2210465"
"2021-09-30T00:00:00.000","Male","75-79","2011626"
"2021-09-30T00:00:00.000","Male","80-84","1136069"
"2021-09-30T00:00:00.000","Male","85+","1361335"
"2021-09-30T00:00:00.000","Female","< 20","2390"
"2021-09-30T00:00:00.000","Female","20-24","53180"
"2021-09-30T00:00:00.000","Female","25-29","121862"
"2021-09-30T00:00:00.000","Female","30-34","174576"
"2021-09-30T00:00:00.000","Female","35-39","200753"
"2021-09-30T00:00:00.000","Female","40-44","209233"
"2021-09-30T00:00:00.000","Female","45-49","186611"
"2021-09-30T00:00:00.000","Female","50-54","214789"
"2021-09-30T00:00:00.000","Female","55-59","227122"
"2021-09-30T00:00:00.000","Female","60-64","227734"
"2021-09-30T00:00:00.000","Female","65-69","169577"
"2021-09-30T00:00:00.000","Female","70-74","102378"
"2021-09-30T00:00:00.000","Female","75-79","57274"
"2021-09-30T00:00:00.000","Female","80-84","36325"
"2021-09-30T00:00:00.000","Female","85+","47165"
"2022-09-30T00:00:00.000","Male","< 20","7340"
"2022-09-30T00:00:00.000","Male","20-24","198285"
"2022-09-30T00:00:00.000","Male","25-29","519007"
"2022-09-30T00:00:00.000","Male","30-34","736256"
"2022-09-30T00:00:00.000","Male","35-39","845882"
"2022-09-30T00:00:00.000","Male","40-44","912987"
"2022-09-30T00:00:00.000","Male","45-49","911189"
"2022-09-30T00:00:00.000","Male","50-54","1258391"
"2022-09-30T00:00:00.000","Male","55-59","1462334"
"2022-09-30T00:00:00.000","Male","60-64","1586550"
"2022-09-30T00:00:00.000","Male","65-69","1530428"
"2022-09-30T00:00:00.000","Male","70-74","1911462"
"2022-09-30T00:00:00.000","Male","75-79","2171934"
"2022-09-30T00:00:00.000","Male","80-84","1181177"
"2022-09-30T00:00:00.000","Male","85+","1309766"
"2022-09-30T00:00:00.000","Female","< 20","2784"
"2022-09-30T00:00:00.000","Female","20-24","52237"
"2022-09-30T00:00:00.000","Female","25-29","122799"
"2022-09-30T00:00:00.000","Female","30-34","170671"
"2022-09-30T00:00:00.000","Female","35-39","194905"
"2022-09-30T00:00:00.000","Female","40-44","216320"
