"gender","_2010","_2011","_2012","_2013","_2014","_2015","_2016","_2017","_2018","_2019","_2020"
"Female","646666","667173","732984","756308","779810","816958","848681","929290","960110","984197","1016117"
"Male","8127218","8204628","8484107","8450312","8527123","8659190","8753724","8807950","8823244","8813867","9078593"
"Total","8773884","8871801","9217091","9206620","9306933","9476148","9602405","9737240","9783354","9798064","10094710"
