"age_group","male_use_rate","male_average_use_rate","female_use_rate","female_average_use_rate"
"17 to 24","0.3622788317","0.4925","0.6547629293","0.5398145731"
"25 to 34","0.5077646459","0.4925","0.5761031757","0.5398145731"
"35 to 44","0.510310782","0.4925","0.5674188833","0.5398145731"
"45 to 54","0.4153344564","0.4925","0.4980680648","0.5398145731"
"55 to 64","0.3871888229","0.4925","0.4667751271","0.5398145731"
"65 to 74","0.5214502813","0.4925","0.4995862484","0.5398145731"
"75 to 84","0.5769764377","0.4925","0.6260818011","0.5398145731"
"85 or older","0.7095185454","0.4925","0.8063511251","0.5398145731"
