"date","state","gender","period_of_service","veterans"
"2020-09-30T00:00:00.000","Alabama","Male","(a) All Veterans (b+c)","316843"
"2020-09-30T00:00:00.000","Alabama","Male","(b) Wartime Veterans (i+j+k+m+n+p+q+r+s+u+v+w)","254361"
"2020-09-30T00:00:00.000","Alabama","Male","(c) Peacetime Veterans (h+l+o+t+x)","62482"
"2020-09-30T00:00:00.000","Alabama","Male","(d) World War II (i+j+k)","2605"
"2020-09-30T00:00:00.000","Alabama","Male","(e) Korean Conflict (j+k+m+n)","21600"
"2020-09-30T00:00:00.000","Alabama","Male","(f) Vietnam Era (k+n+p+q+r+s)","111670"
"2020-09-30T00:00:00.000","Alabama","Male","(g) Gulf War Era (q+r+s+u+v+w)","132522"
"2020-09-30T00:00:00.000","Alabama","Male","(h) Pre-WWII","0"
"2020-09-30T00:00:00.000","Alabama","Male","(i) WWII only","2200"
"2020-09-30T00:00:00.000","Alabama","Male","(j) WWII & KC","271"
"2020-09-30T00:00:00.000","Alabama","Male","(k) WWII, KC, VNE","134"
"2020-09-30T00:00:00.000","Alabama","Male","(l) Between WWII & KC","324"
"2020-09-30T00:00:00.000","Alabama","Male","(m) KC only","18823"
"2020-09-30T00:00:00.000","Alabama","Male","(n) KC & VNE","2371"
"2020-09-30T00:00:00.000","Alabama","Male","(o) Between KC & VNE","19073"
"2020-09-30T00:00:00.000","Alabama","Male","(p) VNE only","98039"
"2020-09-30T00:00:00.000","Alabama","Male","(q) VNE & GW Era - Pre 9/11","8248"
"2020-09-30T00:00:00.000","Alabama","Male","(r) VNE, GW Era - Pre 9/11, GW Era - Post 9/11","1541"
"2020-09-30T00:00:00.000","Alabama","Male","(s) VNE & GW Era - Post 9/11","1336"
"2020-09-30T00:00:00.000","Alabama","Male","(t) Between VNE & GW Era","43085"
"2020-09-30T00:00:00.000","Alabama","Male","(u) GW Era - Pre 9/11 only","43535"
"2020-09-30T00:00:00.000","Alabama","Male","(v) GW Era - Pre 9/11 & GW Era - Post 9/11","28436"
"2020-09-30T00:00:00.000","Alabama","Male","(w) GW Era - Post 9/11 only","49427"
"2020-09-30T00:00:00.000","Alabama","Male","(x) Post GW Era","0"
"2020-09-30T00:00:00.000","Alabama","Female","(a) All Veterans (b+c)","42663"
"2020-09-30T00:00:00.000","Alabama","Female","(b) Wartime Veterans (i+j+k+m+n+p+q+r+s+u+v+w)","32661"
"2020-09-30T00:00:00.000","Alabama","Female","(c) Peacetime Veterans (h+l+o+t+x)","10003"
"2020-09-30T00:00:00.000","Alabama","Female","(d) World War II (i+j+k)","316"
"2020-09-30T00:00:00.000","Alabama","Female","(e) Korean Conflict (j+k+m+n)","573"
"2020-09-30T00:00:00.000","Alabama","Female","(f) Vietnam Era (k+n+p+q+r+s)","5454"
"2020-09-30T00:00:00.000","Alabama","Female","(g) Gulf War Era (q+r+s+u+v+w)","27385"
"2020-09-30T00:00:00.000","Alabama","Female","(h) Pre-WWII","0"
"2020-09-30T00:00:00.000","Alabama","Female","(i) WWII only","312"
"2020-09-30T00:00:00.000","Alabama","Female","(j) WWII & KC","3"
"2020-09-30T00:00:00.000","Alabama","Female","(k) WWII, KC, VNE","1"
"2020-09-30T00:00:00.000","Alabama","Female","(l) Between WWII & KC","9"
"2020-09-30T00:00:00.000","Alabama","Female","(m) KC only","557"
"2020-09-30T00:00:00.000","Alabama","Female","(n) KC & VNE","13"
"2020-09-30T00:00:00.000","Alabama","Female","(o) Between KC & VNE","1004"
"2020-09-30T00:00:00.000","Alabama","Female","(p) VNE only","4390"
"2020-09-30T00:00:00.000","Alabama","Female","(q) VNE & GW Era - Pre 9/11","294"
"2020-09-30T00:00:00.000","Alabama","Female","(r) VNE, GW Era - Pre 9/11, GW Era - Post 9/11","158"
"2020-09-30T00:00:00.000","Alabama","Female","(s) VNE & GW Era - Post 9/11","598"
"2020-09-30T00:00:00.000","Alabama","Female","(t) Between VNE & GW Era","8990"
"2020-09-30T00:00:00.000","Alabama","Female","(u) GW Era - Pre 9/11 only","7794"
"2020-09-30T00:00:00.000","Alabama","Female","(v) GW Era - Pre 9/11 & GW Era - Post 9/11","6092"
"2020-09-30T00:00:00.000","Alabama","Female","(w) GW Era - Post 9/11 only","12449"
"2020-09-30T00:00:00.000","Alabama","Female","(x) Post GW Era","0"
"2020-09-30T00:00:00.000","Alaska","Male","(a) All Veterans (b+c)","61531"
"2020-09-30T00:00:00.000","Alaska","Male","(b) Wartime Veterans (i+j+k+m+n+p+q+r+s+u+v+w)","50871"
"2020-09-30T00:00:00.000","Alaska","Male","(c) Peacetime Veterans (h+l+o+t+x)","10661"
"2020-09-30T00:00:00.000","Alaska","Male","(d) World War II (i+j+k)","112"
"2020-09-30T00:00:00.000","Alaska","Male","(e) Korean Conflict (j+k+m+n)","1509"
"2020-09-30T00:00:00.000","Alaska","Male","(f) Vietnam Era (k+n+p+q+r+s)","17615"
"2020-09-30T00:00:00.000","Alaska","Male","(g) Gulf War Era (q+r+s+u+v+w)","34476"
"2020-09-30T00:00:00.000","Alaska","Male","(h) Pre-WWII","0"
"2020-09-30T00:00:00.000","Alaska","Male","(i) WWII only","111"
"2020-09-30T00:00:00.000","Alaska","Male","(j) WWII & KC","2"
"2020-09-30T00:00:00.000","Alaska","Male","(k) WWII, KC, VNE","0"
"2020-09-30T00:00:00.000","Alaska","Male","(l) Between WWII & KC","195"
"2020-09-30T00:00:00.000","Alaska","Male","(m) KC only","1419"
"2020-09-30T00:00:00.000","Alaska","Male","(n) KC & VNE","88"
"2020-09-30T00:00:00.000","Alaska","Male","(o) Between KC & VNE","3209"
"2020-09-30T00:00:00.000","Alaska","Male","(p) VNE only","14775"
"2020-09-30T00:00:00.000","Alaska","Male","(q) VNE & GW Era - Pre 9/11","1739"
"2020-09-30T00:00:00.000","Alaska","Male","(r) VNE, GW Era - Pre 9/11, GW Era - Post 9/11","894"
"2020-09-30T00:00:00.000","Alaska","Male","(s) VNE & GW Era - Post 9/11","118"
"2020-09-30T00:00:00.000","Alaska","Male","(t) Between VNE & GW Era","7257"
"2020-09-30T00:00:00.000","Alaska","Male","(u) GW Era - Pre 9/11 only","11017"
"2020-09-30T00:00:00.000","Alaska","Male","(v) GW Era - Pre 9/11 & GW Era - Post 9/11","6796"
"2020-09-30T00:00:00.000","Alaska","Male","(w) GW Era - Post 9/11 only","13912"
"2020-09-30T00:00:00.000","Alaska","Male","(x) Post GW Era","0"
"2020-09-30T00:00:00.000","Alaska","Female","(a) All Veterans (b+c)","9922"
"2020-09-30T00:00:00.000","Alaska","Female","(b) Wartime Veterans (i+j+k+m+n+p+q+r+s+u+v+w)","8916"
"2020-09-30T00:00:00.000","Alaska","Female","(c) Peacetime Veterans (h+l+o+t+x)","1006"
