"state","age","year","value"
"Alabama","Less Than 40","2018-09-30T00:00:00.000","55831"
"Alabama","40-64","2018-09-30T00:00:00.000","160986"
"Alabama","65+","2018-09-30T00:00:00.000","156633"
"Alabama","Less Than 40","2023-09-30T00:00:00.000","50028"
"Alabama","40-64","2023-09-30T00:00:00.000","141530"
"Alabama","65+","2023-09-30T00:00:00.000","155185"
"Alabama","Less Than 40","2028-09-30T00:00:00.000","45446"
"Alabama","40-64","2028-09-30T00:00:00.000","122875"
"Alabama","65+","2028-09-30T00:00:00.000","151824"
"Alabama","Less Than 40","2033-09-30T00:00:00.000","43274"
"Alabama","40-64","2033-09-30T00:00:00.000","107683"
"Alabama","65+","2033-09-30T00:00:00.000","143460"
"Alabama","Less Than 40","2038-09-30T00:00:00.000","43022"
"Alabama","40-64","2038-09-30T00:00:00.000","95356"
"Alabama","65+","2038-09-30T00:00:00.000","131775"
"Alabama","Less Than 40","2043-09-30T00:00:00.000","42614"
"Alabama","40-64","2043-09-30T00:00:00.000","90097"
"Alabama","65+","2043-09-30T00:00:00.000","116156"
"Alabama","Less Than 40","2048-09-30T00:00:00.000","42649"
"Alabama","40-64","2048-09-30T00:00:00.000","83672"
"Alabama","65+","2048-09-30T00:00:00.000","105068"
"Alaska","Less Than 40","2018-09-30T00:00:00.000","17447"
"Alaska","40-64","2018-09-30T00:00:00.000","32742"
"Alaska","65+","2018-09-30T00:00:00.000","23037"
"Alaska","Less Than 40","2023-09-30T00:00:00.000","16042"
"Alaska","40-64","2023-09-30T00:00:00.000","27172"
"Alaska","65+","2023-09-30T00:00:00.000","20424"
"Alaska","Less Than 40","2028-09-30T00:00:00.000","15227"
"Alaska","40-64","2028-09-30T00:00:00.000","22630"
"Alaska","65+","2028-09-30T00:00:00.000","17750"
"Alaska","Less Than 40","2033-09-30T00:00:00.000","15026"
"Alaska","40-64","2033-09-30T00:00:00.000","19858"
"Alaska","65+","2033-09-30T00:00:00.000","14473"
"Alaska","Less Than 40","2038-09-30T00:00:00.000","15132"
"Alaska","40-64","2038-09-30T00:00:00.000","18040"
"Alaska","65+","2038-09-30T00:00:00.000","11399"
"Alaska","Less Than 40","2043-09-30T00:00:00.000","15033"
"Alaska","40-64","2043-09-30T00:00:00.000","17216"
"Alaska","65+","2043-09-30T00:00:00.000","8898"
"Alaska","Less Than 40","2048-09-30T00:00:00.000","15064"
"Alaska","40-64","2048-09-30T00:00:00.000","16288"
"Alaska","65+","2048-09-30T00:00:00.000","7498"
"Arizona","Less Than 40","2018-09-30T00:00:00.000","74542"
"Arizona","40-64","2018-09-30T00:00:00.000","186887"
"Arizona","65+","2018-09-30T00:00:00.000","265450"
"Arizona","Less Than 40","2023-09-30T00:00:00.000","64677"
"Arizona","40-64","2023-09-30T00:00:00.000","166783"
"Arizona","65+","2023-09-30T00:00:00.000","240255"
"Arizona","Less Than 40","2028-09-30T00:00:00.000","56220"
"Arizona","40-64","2028-09-30T00:00:00.000","147870"
"Arizona","65+","2028-09-30T00:00:00.000","216855"
"Arizona","Less Than 40","2033-09-30T00:00:00.000","51537"
"Arizona","40-64","2033-09-30T00:00:00.000","132555"
"Arizona","65+","2033-09-30T00:00:00.000","190824"
"Arizona","Less Than 40","2038-09-30T00:00:00.000","50997"
"Arizona","40-64","2038-09-30T00:00:00.000","119009"
"Arizona","65+","2038-09-30T00:00:00.000","164946"
"Arizona","Less Than 40","2043-09-30T00:00:00.000","50448"
"Arizona","40-64","2043-09-30T00:00:00.000","111508"
"Arizona","65+","2043-09-30T00:00:00.000","141454"
"Arizona","Less Than 40","2048-09-30T00:00:00.000","50502"
"Arizona","40-64","2048-09-30T00:00:00.000","101511"
"Arizona","65+","2048-09-30T00:00:00.000","128018"
"Arkansas","Less Than 40","2018-09-30T00:00:00.000","33927"
"Arkansas","40-64","2018-09-30T00:00:00.000","86176"
"Arkansas","65+","2018-09-30T00:00:00.000","96235"
"Arkansas","Less Than 40","2023-09-30T00:00:00.000","30019"
"Arkansas","40-64","2023-09-30T00:00:00.000","68997"
"Arkansas","65+","2023-09-30T00:00:00.000","83642"
"Arkansas","Less Than 40","2028-09-30T00:00:00.000","27163"
"Arkansas","40-64","2028-09-30T00:00:00.000","55210"
"Arkansas","65+","2028-09-30T00:00:00.000","71988"
"Arkansas","Less Than 40","2033-09-30T00:00:00.000","25807"
"Arkansas","40-64","2033-09-30T00:00:00.000","45433"
"Arkansas","65+","2033-09-30T00:00:00.000","59843"
"Arkansas","Less Than 40","2038-09-30T00:00:00.000","25602"
"Arkansas","40-64","2038-09-30T00:00:00.000","38398"
