"date","state","congressional_district_cd","gender","age","veterans"
"2020-09-30T00:00:00.000","Alabama","CD 1","Male","Under 65","24791"
"2020-09-30T00:00:00.000","Alabama","CD 1","Male","65 and Over","24667"
"2020-09-30T00:00:00.000","Alabama","CD 1","Female","Under 65","4561"
"2020-09-30T00:00:00.000","Alabama","CD 1","Female","65 and Over","1518"
"2020-09-30T00:00:00.000","Alabama","CD 2","Male","Under 65","31642"
"2020-09-30T00:00:00.000","Alabama","CD 2","Male","65 and Over","21776"
"2020-09-30T00:00:00.000","Alabama","CD 2","Female","Under 65","7644"
"2020-09-30T00:00:00.000","Alabama","CD 2","Female","65 and Over","1222"
"2020-09-30T00:00:00.000","Alabama","CD 3","Male","Under 65","26390"
"2020-09-30T00:00:00.000","Alabama","CD 3","Male","65 and Over","21498"
"2020-09-30T00:00:00.000","Alabama","CD 3","Female","Under 65","5741"
"2020-09-30T00:00:00.000","Alabama","CD 3","Female","65 and Over","1264"
"2020-09-30T00:00:00.000","Alabama","CD 4","Male","Under 65","19712"
"2020-09-30T00:00:00.000","Alabama","CD 4","Male","65 and Over","18600"
"2020-09-30T00:00:00.000","Alabama","CD 4","Female","Under 65","2790"
"2020-09-30T00:00:00.000","Alabama","CD 4","Female","65 and Over","759"
"2020-09-30T00:00:00.000","Alabama","CD 5","Male","Under 65","28922"
"2020-09-30T00:00:00.000","Alabama","CD 5","Male","65 and Over","23078"
"2020-09-30T00:00:00.000","Alabama","CD 5","Female","Under 65","5692"
"2020-09-30T00:00:00.000","Alabama","CD 5","Female","65 and Over","1114"
"2020-09-30T00:00:00.000","Alabama","CD 6","Male","Under 65","18270"
"2020-09-30T00:00:00.000","Alabama","CD 6","Male","65 and Over","18665"
"2020-09-30T00:00:00.000","Alabama","CD 6","Female","Under 65","3690"
"2020-09-30T00:00:00.000","Alabama","CD 6","Female","65 and Over","1077"
"2020-09-30T00:00:00.000","Alabama","CD 7","Male","Under 65","21685"
"2020-09-30T00:00:00.000","Alabama","CD 7","Male","65 and Over","17147"
"2020-09-30T00:00:00.000","Alabama","CD 7","Female","Under 65","4780"
"2020-09-30T00:00:00.000","Alabama","CD 7","Female","65 and Over","811"
"2020-09-30T00:00:00.000","Alaska","CD (at Large)","Male","Under 65","40094"
"2020-09-30T00:00:00.000","Alaska","CD (at Large)","Male","65 and Over","21437"
"2020-09-30T00:00:00.000","Alaska","CD (at Large)","Female","Under 65","8584"
"2020-09-30T00:00:00.000","Alaska","CD (at Large)","Female","65 and Over","1338"
"2020-09-30T00:00:00.000","Arizona","CD 1","Male","Under 65","20013"
"2020-09-30T00:00:00.000","Arizona","CD 1","Male","65 and Over","29245"
"2020-09-30T00:00:00.000","Arizona","CD 1","Female","Under 65","3647"
"2020-09-30T00:00:00.000","Arizona","CD 1","Female","65 and Over","1481"
"2020-09-30T00:00:00.000","Arizona","CD 2","Male","Under 65","34048"
"2020-09-30T00:00:00.000","Arizona","CD 2","Male","65 and Over","33913"
"2020-09-30T00:00:00.000","Arizona","CD 2","Female","Under 65","7994"
"2020-09-30T00:00:00.000","Arizona","CD 2","Female","65 and Over","2052"
"2020-09-30T00:00:00.000","Arizona","CD 3","Male","Under 65","21251"
"2020-09-30T00:00:00.000","Arizona","CD 3","Male","65 and Over","15119"
"2020-09-30T00:00:00.000","Arizona","CD 3","Female","Under 65","3464"
"2020-09-30T00:00:00.000","Arizona","CD 3","Female","65 and Over","852"
"2020-09-30T00:00:00.000","Arizona","CD 4","Male","Under 65","26957"
"2020-09-30T00:00:00.000","Arizona","CD 4","Male","65 and Over","50603"
