"gender","_2009","_2010","_2011","_2012","_2013","_2014","_2015","_2016","_2017","_2018"
"Female","614363","653908","677790","743056","779581","798610","837747","873799","959512","1078739"
"Male","8026429","8172580","8266314","8540857","8522580","8617344","8752844","8863827","8942443","9030055"
"Total","8640792","8826488","8944104","9283913","9302161","9415954","9590591","9737626","9901955","10108794"
