"year","timestamp","total_women","officer","enlisted"
"1945","1945-01-01T12:00:00.000","266256","82772","183484"
"1948","1948-01-01T12:00:00.000","14458","7982","6476"
"1949","1949-01-01T12:00:00.000","18081","8536","9545"
"1950","1950-01-01T12:00:00.000","22069","8455","13614"
"1951","1951-01-01T12:00:00.000","39625","13958","25667"
"1952","1952-01-01T12:00:00.000","45934","15174","30760"
"1953","1953-01-01T12:00:00.000","45485","14436","31049"
"1954","1954-01-01T12:00:00.000","38600","12801","25799"
"1955","1955-01-01T12:00:00.000","35191","11373","23818"
"1956","1956-01-01T12:00:00.000","33646","11175","22471"
"1957","1957-01-01T12:00:00.000","32173","11212","20961"
"1958","1958-01-01T12:00:00.000","31176","10809","20367"
"1959","1959-01-01T12:00:00.000","31718","10822","20896"
"1960","1960-01-01T12:00:00.000","31550","10772","20778"
"1961","1961-01-01T12:00:00.000","32071","10784","21287"
"1962","1962-01-01T12:00:00.000","32213","11168","21045"
"1963","1963-01-01T12:00:00.000","30771","10556","20215"
"1964","1964-01-01T12:00:00.000","29795","10609","19186"
"1965","1965-01-01T12:00:00.000","30610","10647","19963"
"1966","1966-01-01T12:00:00.000","32589","11293","21296"
"1967","1967-01-01T12:00:00.000","35173","12619","22554"
"1968","1968-01-01T12:00:00.000","38397","13344","25053"
"1969","1969-01-01T12:00:00.000","39506","13183","26323"
"1970","1970-01-01T12:00:00.000","41479","13102","28377"
"1971","1971-01-01T12:00:00.000","42775","12907","29868"
"1972","1972-01-01T12:00:00.000","45003","12636","32397"
"1973","1973-01-01T12:00:00.000","55402","12775","42627"
"1974","1974-01-01T12:00:00.000","74715","13140","61575"
"1975","1975-01-01T12:00:00.000","96868","13596","83272"
"1976","1976-01-01T12:00:00.000","109133","13741","95392"
"1977","1977-01-01T12:00:00.000","118966","15292","103674"
"1978","1978-01-01T12:00:00.000","134312","16715","117597"
"1979","1979-01-01T12:00:00.000","151082","18959","132123"
"1980","1980-01-01T12:00:00.000","171418","21466","149952"
"1981","1981-01-01T12:00:00.000","184651","23326","161325"
"1982","1982-01-01T12:00:00.000","189048","25275","163773"
"1983","1983-01-01T12:00:00.000","197878","26973","170905"
"1984","1984-01-01T12:00:00.000","202830","28665","174165"
"1985","1985-01-01T12:00:00.000","211606","30322","181284"
"1986","1986-01-01T12:00:00.000","218889","31543","187346"
"1987","1987-01-01T12:00:00.000","223805","32083","191722"
"1988","1988-01-01T12:00:00.000","224836","32637","192199"
"1989","1989-01-01T12:00:00.000","232823","33749","199074"
"1990","1990-01-01T12:00:00.000","227018","34220","192798"
"1991","1991-01-01T12:00:00.000","221138","34521","186617"
"1992","1992-01-01T12:00:00.000","210048","33364","176684"
"1993","1993-01-01T12:00:00.000","203506","32295","171211"
"1994","1994-01-01T12:00:00.000","199688","31815","167873"
"1995","1995-01-01T12:00:00.000","196116","31443","164673"
"1996","1996-01-01T12:00:00.000","197693","31206","166487"
"1997","1997-01-01T12:00:00.000","200526","30981","169545"
"1998","1998-01-01T12:00:00.000","198420","30969","167451"
"1999","1999-01-01T12:00:00.000","200287","30950","169337"
"2000","2000-01-01T12:00:00.000","202601","31411","171190"
"2001","2001-01-01T12:00:00.000","205822","31824","173998"
"2002","2002-01-01T12:00:00.000","212176","33465","178711"
"2003","2003-01-01T12:00:00.000","215078","34667","180411"
"2004","2004-01-01T12:00:00.000","212027","35143","176884"
"2005","2005-01-01T12:00:00.000","202638","34822","167816"
"2006","2006-01-01T12:00:00.000","201844","34200","167644"
"2007","2007-01-01T12:00:00.000","198392","33567","164825"
"2008","2008-01-01T12:00:00.000","200218","34351","165867"
"2009","2009-01-01T12:00:00.000","203418","35611","167807"
"2010","2010-01-01T12:00:00.000","206271","36940","169331"
"2011","2011-01-01T12:00:00.000","207246","37866","169380"
"2012","2012-01-01T12:00:00.000","204309","38470","165839"
"2013","2013-01-01T12:00:00.000","206449","39248","167201"
"2014","2014-01-01T12:00:00.000","200692","39277","161415"
"2015","2015-01-01T12:00:00.000","201413","39226","162187"
