"age_group","male_use_rate","female_use_rate"
"17 to 24","0.348","0.303"
"25 to 34","0.53","0.515"
"35 to 44","0.586","0.548"
"45 to 54","0.495","0.491"
"55 to 64","0.443","0.449"
"65 to 74","0.533","0.463"
"75 to 84","0.569","0.563"
"85 or older","0.574","0.804"
