"age_group","female_users","female_non_users"
"17 to 24","0.014","0.033"
"25 to 34","0.148","0.14"
"35 to 44","0.223","0.185"
"45 to 54","0.196","0.205"
"55 to 64","0.203","0.25"
"65 to 74","0.122","0.142"
"75 to 84","0.04","0.031"
"85 or older","0.052","0.013"
