"age_group","male_users","male_non_users"
"17 to 24","0.007","0.015"
"25 to 34","0.077","0.075"
"35 to 44","0.116","0.09"
"45 to 54","0.129","0.145"
"55 to 64","0.16","0.221"
"65 to 74","0.249","0.239"
"75 to 84","0.157","0.131"
"85 or older","0.104","0.084"
