"age_group","male_users","female_users"
"17 to 24","0.007","0.014"
"25 to 34","0.077","0.148"
"35 to 44","0.116","0.223"
"45 to 54","0.129","0.196"
"55 to 64","0.16","0.203"
"65 to 74","0.249","0.122"
"75 to 84","0.157","0.04"
"85 or older","0.104","0.052"
