"date","fips","county_st","state","gender","age_group","veterans"
"2020-09-30T00:00:00.000","01045","Dale, AL","Alabama","Male","17-44","1570"
"2020-09-30T00:00:00.000","01045","Dale, AL","Alabama","Male","45-64","2049"
"2020-09-30T00:00:00.000","01045","Dale, AL","Alabama","Male","65-84","1749"
"2020-09-30T00:00:00.000","01045","Dale, AL","Alabama","Male","85+","319"
"2020-09-30T00:00:00.000","01047","Dallas, AL","Alabama","Female","17-44","133"
"2020-09-30T00:00:00.000","01047","Dallas, AL","Alabama","Female","45-64","179"
"2020-09-30T00:00:00.000","01047","Dallas, AL","Alabama","Female","65-84","35"
"2020-09-30T00:00:00.000","01047","Dallas, AL","Alabama","Female","85+","3"
"2020-09-30T00:00:00.000","01047","Dallas, AL","Alabama","Male","17-44","301"
"2020-09-30T00:00:00.000","01047","Dallas, AL","Alabama","Male","45-64","862"
"2020-09-30T00:00:00.000","01047","Dallas, AL","Alabama","Male","65-84","773"
"2020-09-30T00:00:00.000","01047","Dallas, AL","Alabama","Male","85+","137"
"2020-09-30T00:00:00.000","01049","De Kalb, AL","Alabama","Female","17-44","98"
"2020-09-30T00:00:00.000","01049","De Kalb, AL","Alabama","Female","45-64","118"
"2020-09-30T00:00:00.000","01049","De Kalb, AL","Alabama","Female","65-84","18"
"2020-09-30T00:00:00.000","01049","De Kalb, AL","Alabama","Female","85+","0"
"2020-09-30T00:00:00.000","01049","De Kalb, AL","Alabama","Male","17-44","523"
"2020-09-30T00:00:00.000","01049","De Kalb, AL","Alabama","Male","45-64","1131"
"2020-09-30T00:00:00.000","01049","De Kalb, AL","Alabama","Male","65-84","1158"
"2020-09-30T00:00:00.000","01049","De Kalb, AL","Alabama","Male","85+","198"
"2020-09-30T00:00:00.000","01051","Elmore, AL","Alabama","Female","17-44","399"
"2020-09-30T00:00:00.000","01051","Elmore, AL","Alabama","Female","45-64","496"
"2020-09-30T00:00:00.000","01051","Elmore, AL","Alabama","Female","65-84","146"
"2020-09-30T00:00:00.000","01051","Elmore, AL","Alabama","Female","85+","2"
"2020-09-30T00:00:00.000","01051","Elmore, AL","Alabama","Male","17-44","1382"
"2020-09-30T00:00:00.000","01051","Elmore, AL","Alabama","Male","45-64","2395"
"2020-09-30T00:00:00.000","01051","Elmore, AL","Alabama","Male","65-84","2377"
"2020-09-30T00:00:00.000","01051","Elmore, AL","Alabama","Male","85+","523"
"2020-09-30T00:00:00.000","01053","Escambia, AL","Alabama","Female","17-44","94"
"2020-09-30T00:00:00.000","01053","Escambia, AL","Alabama","Female","45-64","106"
"2020-09-30T00:00:00.000","01053","Escambia, AL","Alabama","Female","65-84","54"
"2020-09-30T00:00:00.000","01053","Escambia, AL","Alabama","Female","85+","7"
"2020-09-30T00:00:00.000","01053","Escambia, AL","Alabama","Male","17-44","303"
"2020-09-30T00:00:00.000","01053","Escambia, AL","Alabama","Male","45-64","812"
"2020-09-30T00:00:00.000","01053","Escambia, AL","Alabama","Male","65-84","864"
"2020-09-30T00:00:00.000","01053","Escambia, AL","Alabama","Male","85+","179"
"2020-09-30T00:00:00.000","01055","Etowah, AL","Alabama","Female","17-44","200"
"2020-09-30T00:00:00.000","01055","Etowah, AL","Alabama","Female","45-64","269"
"2020-09-30T00:00:00.000","01055","Etowah, AL","Alabama","Female","65-84","104"
"2020-09-30T00:00:00.000","01055","Etowah, AL","Alabama","Female","85+","0"
"2020-09-30T00:00:00.000","01055","Etowah, AL","Alabama","Male","17-44","992"
"2020-09-30T00:00:00.000","01055","Etowah, AL","Alabama","Male","45-64","2174"
"2020-09-30T00:00:00.000","01055","Etowah, AL","Alabama","Male","65-84","2495"
"2020-09-30T00:00:00.000","01055","Etowah, AL","Alabama","Male","85+","574"
"2020-09-30T00:00:00.000","01057","Fayette, AL","Alabama","Female","17-44","31"
"2020-09-30T00:00:00.000","01057","Fayette, AL","Alabama","Female","45-64","43"
"2020-09-30T00:00:00.000","01057","Fayette, AL","Alabama","Female","65-84","10"
"2020-09-30T00:00:00.000","01057","Fayette, AL","Alabama","Female","85+","1"
"2020-09-30T00:00:00.000","01057","Fayette, AL","Alabama","Male","17-44","183"
"2020-09-30T00:00:00.000","01057","Fayette, AL","Alabama","Male","45-64","382"
"2020-09-30T00:00:00.000","01057","Fayette, AL","Alabama","Male","65-84","504"
"2020-09-30T00:00:00.000","01057","Fayette, AL","Alabama","Male","85+","91"
"2020-09-30T00:00:00.000","01059","Franklin, AL","Alabama","Female","17-44","29"
"2020-09-30T00:00:00.000","01059","Franklin, AL","Alabama","Female","45-64","39"
"2020-09-30T00:00:00.000","01059","Franklin, AL","Alabama","Female","65-84","39"
"2020-09-30T00:00:00.000","01059","Franklin, AL","Alabama","Female","85+","7"
"2020-09-30T00:00:00.000","01059","Franklin, AL","Alabama","Male","17-44","235"
"2020-09-30T00:00:00.000","01059","Franklin, AL","Alabama","Male","45-64","415"
"2020-09-30T00:00:00.000","01059","Franklin, AL","Alabama","Male","65-84","522"
"2020-09-30T00:00:00.000","01059","Franklin, AL","Alabama","Male","85+","81"
"2020-09-30T00:00:00.000","01061","Geneva, AL","Alabama","Female","17-44","83"
"2020-09-30T00:00:00.000","01061","Geneva, AL","Alabama","Female","45-64","79"
"2020-09-30T00:00:00.000","01061","Geneva, AL","Alabama","Female","65-84","35"
"2020-09-30T00:00:00.000","01061","Geneva, AL","Alabama","Female","85+","4"
"2020-09-30T00:00:00.000","01061","Geneva, AL","Alabama","Male","17-44","385"
"2020-09-30T00:00:00.000","01061","Geneva, AL","Alabama","Male","45-64","672"
"2020-09-30T00:00:00.000","01061","Geneva, AL","Alabama","Male","65-84","851"
"2020-09-30T00:00:00.000","01061","Geneva, AL","Alabama","Male","85+","187"
"2020-09-30T00:00:00.000","01063","Greene, AL","Alabama","Female","17-44","17"
"2020-09-30T00:00:00.000","01063","Greene, AL","Alabama","Female","45-64","45"
"2020-09-30T00:00:00.000","01063","Greene, AL","Alabama","Female","65-84","16"
"2020-09-30T00:00:00.000","01063","Greene, AL","Alabama","Female","85+","2"
"2020-09-30T00:00:00.000","01063","Greene, AL","Alabama","Male","17-44","34"
"2020-09-30T00:00:00.000","01063","Greene, AL","Alabama","Male","45-64","169"
"2020-09-30T00:00:00.000","01063","Greene, AL","Alabama","Male","65-84","170"
"2020-09-30T00:00:00.000","01063","Greene, AL","Alabama","Male","85+","32"
"2020-09-30T00:00:00.000","01065","Hale, AL","Alabama","Female","17-44","40"
"2020-09-30T00:00:00.000","01065","Hale, AL","Alabama","Female","45-64","56"
"2020-09-30T00:00:00.000","01065","Hale, AL","Alabama","Female","65-84","10"
"2020-09-30T00:00:00.000","01065","Hale, AL","Alabama","Female","85+","0"
"2020-09-30T00:00:00.000","01065","Hale, AL","Alabama","Male","17-44","118"
"2020-09-30T00:00:00.000","01065","Hale, AL","Alabama","Male","45-64","317"
"2020-09-30T00:00:00.000","01065","Hale, AL","Alabama","Male","65-84","299"
"2020-09-30T00:00:00.000","01065","Hale, AL","Alabama","Male","85+","35"
"2020-09-30T00:00:00.000","01067","Henry, AL","Alabama","Female","17-44","41"
"2020-09-30T00:00:00.000","01067","Henry, AL","Alabama","Female","45-64","71"
"2020-09-30T00:00:00.000","01067","Henry, AL","Alabama","Female","65-84","20"
"2020-09-30T00:00:00.000","01067","Henry, AL","Alabama","Female","85+","0"
"2020-09-30T00:00:00.000","01067","Henry, AL","Alabama","Male","17-44","181"
"2020-09-30T00:00:00.000","01067","Henry, AL","Alabama","Male","45-64","428"
