Name,Address,Is Open,Supervised,Spray Park,Water Play Equipment,Sprayer,Liner,Fee,Wheelchair Accessible,Playground,Waterslide,Parking Lot,Spray Park Info,Water Play Equipment Info,Sprayer Info,Fee Info,Facility Info,Website,Complex ID,Location 1,Wards,Neighborhoods,Zip Codes
Central C.C / Freighthouse Spray Pad,200 Isabel St,true,,,,,,,,true,false,true,,,,,,http://winnipeg.ca/cms/recreation/facilities/pools/spraypads.stm,163,"(49.904141789671506, -97.14856374987228)",12,38,
Machray Park Spray Pad,475 Anderson Ave,true,,,,,,,,false,false,true,,,,,,http://winnipeg.ca/cms/recreation/facilities/pools/spraypads.stm,83,"(49.92473086522815, -97.13754773616012)",4,121,
Vimy Ridge Memorial Park Spray Pad,821 Preston Ave,true,,,,,,,,true,false,false,,,,,,http://winnipeg.ca/cms/recreation/facilities/pools/spraypads.stm,49,"(49.884272028774234, -97.16768657992203)",3,14,
Jill Officer Park Spray Pad,1400 Rothesay St,true,,,,,,,,true,false,true,,,,,,http://winnipeg.ca/cms/recreation/facilities/pools/spraypads.stm,102,"(49.94323881953978, -97.07573605811984)",10,12,
Valley Gardens CC Spray Pad,218 Antrim Rd,true,,,,,,,,true,false,true,,,,,,http://winnipeg.ca/cms/recreation/facilities/pools/spraypads.stm,98,"(49.919861537032354, -97.07090393246276)",1,13,
Central Park Spray Pad,400 Cumberland Ave,true,,,,,,,,true,false,false,,,,,,http://winnipeg.ca/cms/recreation/facilities/pools/spraypads.stm,27,"(49.89677859775119, -97.14866225657263)",3,212,
Lindenwoods Spray Pad,414 Lindenwood Dr W,true,,,,,,,,true,false,true,,,,,,http://winnipeg.ca/cms/recreation/facilities/pools/spraypads.stm,190,"(49.83668304946891, -97.19760198793676)",5,71,
Westdale Spray Pad,550 Dale Blvd,true,,,,,,,,true,false,true,,,,,,http://winnipeg.ca/cms/recreation/facilities/pools/spraypads.stm,148,"(49.86123226723478, -97.3152220667651)",15,223,
River Heights Spray Pad,1370 Grosvenor Ave,true,,,,,,,,true,false,true,,,,,,http://winnipeg.ca/cms/recreation/facilities/pools/spraypads.stm,31,"(49.86614195989547, -97.18204819399269)",5,162,
Gateway Spray Pad,1717 Gateway Rd,true,,,,,,,,false,false,true,,,,,,http://winnipeg.ca/cms/recreation/facilities/pools/spraypads.stm,104,"(49.94581050404518, -97.0485150127946)",10,31,
West Kildonan Spray Pad,346 Perth Ave,true,,,,,,,,true,false,true,,,,,,http://winnipeg.ca/cms/recreation/facilities/pools/spraypads.stm,158,"(49.937242297307165, -97.12588658416102)",4,102,
St. Norbert Community Centre Spray Pad,3450 Pembina Hwy,true,,,,,,,,true,false,true,,,,,,http://winnipeg.ca/cms/recreation/facilities/pools/spraypads.stm,155,"(49.76779779325264, -97.15521098809957)",7,80,
Provencher Park Spray Pad,620 Langevin St,true,,,,,,,,true,false,true,,,,,,http://winnipeg.ca/cms/recreation/facilities/pools/spraypads.stm,36,"(49.891831875569494, -97.11814415268927)",8,178,
Fort Rouge Spray Pad,295 River Ave,true,,,,,,,,true,false,false,,,,,,http://winnipeg.ca/cms/recreation/facilities/pools/spraypads.stm,48,"(49.88171840185903, -97.14126331187116)",6,57,
Sturgeon Heights Spray Pad,210 Rita St,true,,,,,,,,true,false,true,,,,,,http://winnipeg.ca/cms/recreation/facilities/pools/spraypads.stm,54,"(49.876123897728974, -97.26032836782036)",13,35,
St. James Assiniboia Centennial Pool Spray Pad,644 Parkdale St,true,,,,,,,,false,false,true,,,,,,http://winnipeg.ca/cms/recreation/facilities/pools/spraypads.stm,169,"(49.88395147385, -97.29588499976158)",14,107,
Park City West Spray Pad,115 Sanford Fleming Rd,true,,,,,,,,false,false,true,,,,,,http://winnipeg.ca/cms/recreation/facilities/pools/spraypads.stm,114,"(49.90733282511248, -97.01805802249211)",9,187,
Lindsey Wilson Park Spray Pad,379 Island Shore Blvd,true,,,,,,,,false,false,true,,,,,,http://winnipeg.ca/cms/recreation/facilities/pools/spraypads.stm,192,"(49.83111748438845, -97.06600890250216)",8,208,
Waverley Heights Spray Pad,1885 Chancellor Dr,true,,,,,,,,true,false,true,,,,,,http://winnipeg.ca/cms/recreation/facilities/pools/spraypads.stm,158,"(49.80975459795339, -97.16203952604997)",7,164,
Shaughnessy Spray Pad,74 Tyndall Ave,true,,,,,,,,true,false,false,,,,,,http://winnipeg.ca/cms/recreation/facilities/pools/spraypads.stm,107,"(49.9345762968436, -97.18896982880294)",12,15,
Old Exhibition Athletic Grounds Spray Pad,96 Sinclair St,true,,,,,,,,true,false,true,,,,,,http://winnipeg.ca/cms/recreation/facilities/pools/spraypads.stm,72,"(49.918675904199986, -97.16053448485016)",12,139,
