"year","month","week","total_ncoming_calls","date_from","date_to"
"2017","10","40","19879","2017-10-02T00:00:00.000","2017-10-08T00:00:00.000"
"2017","10","41","19130","2017-10-09T00:00:00.000","2017-10-15T00:00:00.000"
"2017","10","42","18037","2017-10-16T00:00:00.000","2017-10-22T00:00:00.000"
"2017","10","43","17821","2017-10-23T00:00:00.000","2017-10-29T00:00:00.000"
"2017","10","44","18669","2017-10-30T00:00:00.000","2017-11-05T00:00:00.000"
"2017","11","45","19857","2017-11-06T00:00:00.000","2017-11-12T00:00:00.000"
"2017","11","46","17574","2017-11-13T00:00:00.000","2017-11-19T00:00:00.000"
"2017","11","47","15877","2017-11-20T00:00:00.000","2017-11-26T00:00:00.000"
"2017","11","48","17015","2017-11-27T00:00:00.000","2017-12-03T00:00:00.000"
"2017","12","49","17397","2017-12-04T00:00:00.000","2017-12-10T00:00:00.000"
"2017","12","50","18211","2017-12-11T00:00:00.000","2017-12-17T00:00:00.000"
"2017","12","51","17247","2017-12-18T00:00:00.000","2017-12-24T00:00:00.000"
"2017","12","52","19421","2017-12-25T00:00:00.000","2017-12-31T00:00:00.000"
