Name,Address,Is Open,Supervised,Spray Park,Sprayer,Liner,Fee,Wheelchair,Playground,Pool Slide,Water Play Equipment,Spray Park Info,Water Play Equipment Info,Sprayer Info,Fee Info,Pool Slide Info,Facility Info,Website,Complex ID,Location 1,Wards,Neighborhoods,Zip Codes
Victor Valde Park Wading Pool,124 Borden Ave,false,,,false,false,,false,true,false,,,,,,,,http://winnipeg.ca/cms/recreation/facilities/pools/wading_pools/wadingpools.stm,115,"(49.884537030007564, -97.00090865604233)",9,79,
Bronx Park Community Centre Wading Pool,720 Henderson Hwy,false,,,false,false,,false,true,false,,,,,,,,http://winnipeg.ca/cms/recreation/facilities/pools/wading_pools/wadingpools.stm,92,"(49.927009183196986, -97.10528983688295)",10,4,
Sturgeon Heights Community Centre Wading Pool,210 Rita St,false,,,false,false,,false,true,false,,,,,,,,http://winnipeg.ca/cms/recreation/facilities/pools/wading_pools/wadingpools.stm,54,"(49.87630128516083, -97.25844535184824)",13,35,
Pacific Dee Park Wading Pool,1887 Pacific Ave W,false,,,true,false,,false,true,false,,,,,,,,http://winnipeg.ca/cms/recreation/facilities/pools/wading_pools/wadingpools.stm,38,"(49.921698843502774, -97.1996784705046)",13,191,
McKittrick Park Wading Pool,790 Rathgar Ave,false,,,false,false,,false,true,true,,,,,,1,3,http://winnipeg.ca/cms/recreation/facilities/pools/wading_pools/wadingpools.stm,183,"(49.85704506421516, -97.14544274777957)",6,99,
Turtle Island Recreation Centre Wading Pool,510 King St,false,,,false,false,,false,true,false,,,,,,,,http://winnipeg.ca/cms/recreation/facilities/pools/wading_pools/wadingpools.stm,71,"(49.91044922741412, -97.13607006591653)",4,37,
Burton Cummings Community Centre Wading Pool,960 Arlington St,false,,,false,false,,false,true,false,,,,,,,,http://winnipeg.ca/cms/recreation/facilities/pools/wading_pools/wadingpools.stm,5,"(49.90624597531002, -97.16671896863652)",12,213,
Vimy Ridge Memorial Park Wading Pool,821 Preston Ave,false,,,true,false,,true,true,false,,,,,,,,http://winnipeg.ca/cms/recreation/facilities/pools/wading_pools/wadingpools.stm,49,"(49.88436654344726, -97.16795472900527)",3,14,
Rotary Centenary Park Wading Pool,761 Rosseau Ave W,false,,,false,true,,false,true,false,,,,,,,,http://winnipeg.ca/cms/recreation/facilities/pools/wading_pools/wadingpools.stm,113,"(49.898739975419524, -97.02470305088318)",9,176,
King Edward Park Wading Pool,709 Manhattan Ave,false,,,false,false,,false,true,false,,,,,,,,http://winnipeg.ca/cms/recreation/facilities/pools/wading_pools/wadingpools.stm,124,"(49.90621756467926, -97.09020205746383)",1,42,
Clara Hughes Park Wading Pool,400 Matheson Ave,false,,,false,false,,false,true,false,,,,,,,,http://winnipeg.ca/cms/recreation/facilities/pools/wading_pools/wadingpools.stm,88,"(49.93196927936996, -97.1326573861011)",4,102,
Norwood Community Centre Wading Pool,87 Walmer St,false,,,false,false,,false,true,false,,,,,,,,http://winnipeg.ca/cms/recreation/facilities/pools/wading_pools/wadingpools.stm,139,"(49.87912632696142, -97.1291197128972)",8,179,
West Kildonan Memorial Community Centre Wading Pool,346 Perth Ave,false,,,false,false,,true,true,false,,,,,,,,http://winnipeg.ca/cms/recreation/facilities/pools/wading_pools/wadingpools.stm,65,"(49.93714558562278, -97.12578695617155)",4,102,
Valour Community Centre - Isaac Brock site Wading Pool,715 Telfer St N,false,,,false,false,,false,true,true,,,,,,1,,http://winnipeg.ca/cms/recreation/facilities/pools/wading_pools/wadingpools.stm,53,"(49.88826043383068, -97.1867802825869)",3,51,
Keenleyside Park Wading Pool,480 Keenleyside St,false,,,true,false,,true,true,false,,,,,,,,http://winnipeg.ca/cms/recreation/facilities/pools/wading_pools/wadingpools.stm,96,"(49.906834631709835, -97.07215535167362)",1,89,
Ducharme Park Wading Pool,65 Morrow Ave,false,,,true,false,,false,true,false,,,,,,,,http://winnipeg.ca/cms/recreation/facilities/pools/wading_pools/wadingpools.stm,142,"(49.85385718016455, -97.09860539219756)",11,104,
John M King School Wading Pool,525 Agnes St,false,,,false,false,,false,true,false,,,,,,,,http://winnipeg.ca/cms/recreation/facilities/pools/wading_pools/wadingpools.stm,77,"(49.89394564108604, -97.16101512122773)",3,29,
