"id","url","name","quality_level","quality_level_explanation","stability","scheduled_update","dataset_update","source_update","source_update_exempt","has_metadata","meaningful_column_names","total_score","rank"
"qc6b-7nf4","https://data.winnipeg.ca/d/qc6b-7nf4","Census 1996 - Electoral Ward Boundary","1",,"1","0","0","0","N","0.65","1","0.665","Bronze"
"k78r-tn6e","https://data.winnipeg.ca/d/k78r-tn6e","Census 2006 - Neighbourhood Boundary","1",,"1","0.1",,"0","N","0.75","1",,"Bronze"
"hk5w-mj8b","https://data.winnipeg.ca/d/hk5w-mj8b","Capital Budget - 2014","1",,"1","0.2","0","0","N","0.75","1","0.695","Bronze"
"b85e-mbuw","https://data.winnipeg.ca/d/b85e-mbuw","WPA Paystation","1",,"1","0.8","1","0","N","1","1","0.88","Gold"
"rfk8-6wx8","https://data.winnipeg.ca/d/rfk8-6wx8","Traffic Signal Damage","1",,"1","0.1","0","0","N","0.8","1","0.69","Bronze"
"a2fq-ufu6","https://data.winnipeg.ca/d/a2fq-ufu6","LeisureONLINE Activities","1",,"1","0.5","0","0","N","0.9","0.969","0.7338","Silver"
"w7gt-g9ta","https://data.winnipeg.ca/d/w7gt-g9ta","Gift Registry","1",,"1","0.8","0","0","N","1","1","0.78","Silver"
"8sxq-tscb","https://data.winnipeg.ca/d/8sxq-tscb","311 Performance Metric - Service Request By Department","0.5","Data is aggregated by month","1","0.5","1","0","N","0.75","1","0.725","Silver"
"vk2f-xwp7","https://data.winnipeg.ca/d/vk2f-xwp7","Rooming House Enforcement Activity","1",,"1","0.5","1","0","N","0.7","1","0.82","Gold"
"73sq-j2qi","https://data.winnipeg.ca/d/73sq-j2qi","Data Quality Score","1",,"1","0.5","1","0","N","0.8","0.929","0.8158","Gold"
"r4hg-nw9q","https://data.winnipeg.ca/d/r4hg-nw9q","Province of Manitoba - Potential COVID-19 Exposures","1",,"1","0.8","0","0","N","0.9","0.727","0.7154","Silver"
"rijt-92n4","https://data.winnipeg.ca/d/rijt-92n4","Bid Opportunities","1",,"1","0.8","1","0","N","1","0.84","0.848","Gold"
"7cnb-c3y3","https://data.winnipeg.ca/d/7cnb-c3y3","COVID-19 Public Health Orders Enforcement","0.5","Inspections aggregated by day","1","0.8","0","0","N","0.9","1","0.67","Bronze"
"bhrt-29rb","https://data.winnipeg.ca/d/bhrt-29rb","Parking Contravention (Citations)","1",,"1","0.5","1","1","N","0.95","1","0.945","Gold"
"55p4-e5t9","https://data.winnipeg.ca/d/55p4-e5t9","PPD City Owned Parcels","0",,"1","0.8","0","0",,"0.75","1","0.555","Bronze"
"hzdi-nwqn","https://data.winnipeg.ca/d/hzdi-nwqn","Adjudication Results","1",,"1","0.7","0","0","N","1","1","0.77","Silver"
"hiqy-dd38","https://data.winnipeg.ca/d/hiqy-dd38","Census 2006 - Population By Age","1",,"1","0.1","0.3559","0","N","0.75","1","0.7206","Silver"
"92vb-ibgb","https://data.winnipeg.ca/d/92vb-ibgb","LeisureONLINE Activity Charges","1",,"1","0.5","0","0","N","0.9","1","0.74","Silver"
"tug6-p73s","https://data.winnipeg.ca/d/tug6-p73s","Map of Parks And Open Space","1",,"1","0.7","1","0","N","0.85","1","0.855","Gold"
"qe87-rrs6","https://data.winnipeg.ca/d/qe87-rrs6","Annual Citizen Satisfaction Survey","1",,"1","0.2","1","0","N","0.7","1","0.79","Silver"
"xyh2-p4wx","https://data.winnipeg.ca/d/xyh2-p4wx","INSECT MANAGEMENT AREAS","1",,"1","0.1","0","0","N","0.7","1","0.68","Bronze"
"cs42-ejby","https://data.winnipeg.ca/d/cs42-ejby","Web Analytics","1",,"1","0.7","0","0","N","1","0.595","0.689","Bronze"
"jx93-sett","https://data.winnipeg.ca/d/jx93-sett","City Limit","1",,"1","0.1","0","0","N","0.85","1","0.695","Bronze"
"sbkq-35fn","https://data.winnipeg.ca/d/sbkq-35fn","Business Improvement Zone (List)","1",,"1","0.1","0","0","N","0.85","1","0.695","Bronze"
"fxcw-yyy2","https://data.winnipeg.ca/d/fxcw-yyy2","Province of Manitoba - Health Protection Reports - Winnipeg","1",,"1","0","0","0","N","0.9","1","0.69","Bronze"
"42pk-2u2c","https://data.winnipeg.ca/d/42pk-2u2c","Traffic Signal Inventory - Cameras Detail","1",,"1","0.1","0","0","N","0.8","1","0.69","Bronze"
"h367-iifg","https://data.winnipeg.ca/d/h367-iifg","Lane Closure","1",,"1","0.8","1","0","N","0.85","0.913","0.8476","Gold"
"f58p-2ju3","https://data.winnipeg.ca/d/f58p-2ju3","Air Quality","1",,"1","1","1","1","N","1","0.222","0.8444","Gold"
"5ctu-8526","https://data.winnipeg.ca/d/5ctu-8526","MASC Crop Yield And Acreage By Variety","1",,"1","0.2","1","0","N","0.8","1","0.8","Silver"
"9chn-xnzs","https://data.winnipeg.ca/d/9chn-xnzs","Census 2001 - Unpaid Work","1",,"1","0.1","0.3518","0","N","0.75","1","0.7202","Silver"
"wm39-dswz","https://data.winnipeg.ca/d/wm39-dswz","Active Transportation Network","1",,"1","0.8","0","0","N","0.95","1","0.775","Silver"
"8xwc-nv6i","https://data.winnipeg.ca/d/8xwc-nv6i","Census 2006 -  Education","1",,"1","0.1","0.3558","0","N","0.75","1","0.7206","Silver"
"eh28-ivzs","https://data.winnipeg.ca/d/eh28-ivzs","Census 2001 - Neighbourhood Boundary","1",,"1","0.1",,"0","N","0.75","1",,"Bronze"
"tm8b-h7pb","https://data.winnipeg.ca/d/tm8b-h7pb","PLOW ZONE","1",,"1","0.1","0","0","N","0.7","1","0.68","Bronze"
