"date_from","date_to","month","total_incoming_calls","week","year"
"2018-12-31T00:00:00.000","2019-01-06T00:00:00.000","12","17440","1","2019"
"2019-01-07T00:00:00.000","2019-01-13T00:00:00.000","1","20694","2","2019"
"2019-01-14T00:00:00.000","2019-01-20T00:00:00.000","1","17446","3","2019"
"2019-01-21T00:00:00.000","2019-01-27T00:00:00.000","1","16295","4","2019"
"2019-01-28T00:00:00.000","2019-02-03T00:00:00.000","1","19608","5","2019"
