Name,Address,Is Open,Entry Height Requirement,Pool Entry,Average Water Temp,Group Bookings,Speciality Change Room,Lockers,Pool Slide,Diving Board,Lap Swim,Merchandise Sales,Swim Lessons,Spray Features,Showers,Parking Lot,Group Booking Info,Specialty Change Room Info,Lockers Info,Pool Slide Info,Diving Board Info,Lap Swim Info,Merchandise Sales Info,Spray Feature Info,Showers Info,Facility Info,Website,Complex ID,Location 1,Wards,Neighborhoods,Zip Codes
Freight House Pool,200 Isabel St,true,44in/112cm at top of shoulder,Above ground Pool - Stair entry,Pool Water not heated,false,,false,false,false,false,false,false,false,false,false,,,,,,,,,,water dragon in playground,http://www.winnipeg.ca/cms/recreation/facilities/pools/outdoor_pools/freighthouse.stm,163,"(49.90437896813295, -97.1487653144365)",12,38,
Kildonan Park Pool,2015 Main St,true,44in/112cm at top of shoulder,Beach & Ladder entry,27°C / 81°F,true,,true,true,true,false,true,false,true,true,true,bookings required for 9 or more people,2,25¢ coin operated - (refundable),Double helix water slide,3 spring boards,,Little Swimmers,..,indoor & outdoor,Family picnic area,http://www.winnipeg.ca/cms/recreation/facilities/pools/outdoor_pools/kildonanpark.stm,67,"(49.942411517492374, -97.10280240774983)",4,105,
Norwood Pool,10 CROMWELL ST,true,48in/122cm at top of shoulder,Ladder entry,Pool Water not heated,false,,false,true,false,false,false,false,false,false,false,,,,,N,,,,,,http://www.winnipeg.ca/cms/recreation/facilities/pools/outdoor_pools/norwood.stm,139,"(49.8799595247353, -97.12970971301311)",8,179,
Transcona Aquatic Park,1101 Wabasha St,true,54in/137cm at top of shoulder,Ladder entry,27°C / 81°F,true,,true,false,true,true,true,true,false,true,true,bookings required for 9 or more people,,25¢ coin operated - (refundable),,2m,,,,,,http://www.winnipeg.ca/cms/recreation/facilities/pools/indoor_pools/transcona.stm,111,"(49.90113954310755, -96.99853571817196)",9,134,
Windsor Park Pool,333 Speers Rd,true,48in/122cm at top of shoulder,Stair entry,Pool Water not heated,false,,false,false,false,false,false,false,false,true,false,,,,,,,,,,,http://www.winnipeg.ca/cms/recreation/facilities/pools/outdoor_pools/windsorpark.stm,134,"(49.86244253255012, -97.07280965985346)",8,157,
Fort Garry Lion's Pool,969 Dowker Ave,true,48in/122cm at top of shoulder,Ladder entry,27°C / 81°F,true,,false,false,true,false,true,true,false,true,true,bookings required for 9 or more people,,,,"1m, 3m",,Little Swimmers,,,"Picnic Area, park benches, shade trees",http://www.winnipeg.ca/cms/recreation/facilities/pools/outdoor_pools/lions.stm,181,"(49.84068896935046, -97.15061518580403)",6,109,
St. Vital Pool,5 Rue Des Meurons,true,48in/122cm at top of shoulder,Ladder entry,27°C / 81°F,true,,false,false,true,false,false,false,false,true,false,bookings required for 9 or more people,,,,"1m, 3m",,,,,,http://www.winnipeg.ca/cms/recreation/facilities/pools/outdoor_pools/stvital.stm,141,"(49.85850686479691, -97.10022737450974)",11,124,
Happyland Pool,520 Marion St,true,48in/122cm at top of shoulder,Ladder entry,Pool Water not heated,false,,false,true,false,false,false,false,false,false,false,,,,,,,,,,,http://www.winnipeg.ca/cms/recreation/facilities/pools/outdoor_pools/happyland.stm,132,"(49.881809626852274, -97.10276926477273)",8,172,
Westdale Pool,550 Dale Blvd,true,52in/132cm at top of shoulder,Stair & Ladder entry,27°C / 81°F,true,,false,false,true,false,true,false,false,true,true,bookings required for 9 or more people,,,,1m,,Little Swimmers,,,,http://www.winnipeg.ca/cms/recreation/facilities/pools/outdoor_pools/westdale.stm,148,"(49.860972486589084, -97.31506617517763)",15,223,
Provencher Pool,590 Rue Langevin,true,48in/122cm at top of shoulder,Ladder entry,Pool Water not heated,false,,false,false,true,false,false,false,false,true,false,,,,,2m,,,,,,http://www.winnipeg.ca/cms/recreation/facilities/pools/outdoor_pools/provencher.stm,36,"(49.891344215683084, -97.11765725097992)",8,178,
