"year","month","week","total_ncoming_calls","date_from","date_to"
"2014","2","9","23926","2014-02-24T00:00:00.000","2014-03-02T00:00:00.000"
"2014","3","10","26901","2014-03-03T00:00:00.000","2014-03-09T00:00:00.000"
"2014","3","11","23952","2014-03-10T00:00:00.000","2014-03-16T00:00:00.000"
"2014","3","12","26176","2014-03-17T00:00:00.000","2014-03-23T00:00:00.000"
"2014","3","13","22927","2014-03-24T00:00:00.000","2014-03-30T00:00:00.000"
"2014","3","14","24983","2014-03-31T00:00:00.000","2014-04-06T00:00:00.000"
