"reason","information_request_type","month_number","total_information_requests","month","year","rank"
"Transit","Bus Schedule Inquiry","6","16953","June","2017","1"
"Assessment & Tax","Assessment & Tax Inquiry","6","6821","June","2017","2"
"Non-City Services","Non-City Related Phone Number Request","6","3702","June","2017","3"
"Garbage & Recycling","Garbage & Recycling Inquiry","6","3213","June","2017","4"
"Parking Authority","Parking Authority General Inquiry","6","1751","June","2017","5"
"Animal Services","Animal Services General Inquiry","6","1709","June","2017","6"
"Transit","Peggo General Inquiry","6","1536","June","2017","7"
"Social Media","Twitter Interaction","6","1172","June","2017","8"
"Garbage & Recycling","Yard Waste Inquiry","6","1104","June","2017","9"
"Parks & Forestry","Parks & Forestry General Inquiry","6","1017","June","2017","10"
