Name,Address,Is Open,Entry Height Requirement,Pool Entry,Average Water Temp,Average Air Temp,Group Bookings,Specialty Change Room,Lockers,Pool Slide,Diving Board,Lap Swim,Merchandise Sales,Swim Lessons,Weight Room,Sauna,Whirlpool,Indoor Track,Fitness Programs,Room Rentals,Parking Lot,Group Bookings Info,Specialty Change Room Info,Lockers Info,Pool Slide Info,Diving Board Info,Lap Swim Info,Merchandise Sales Info,Weight Room Info,Sauna Info,Indoor Track Info,Fitness Programs Info,Room Rentals Info,Facility Info,Website,Complex ID,Location 1,Wards,Neighborhoods,Zip Codes
Pan Am Pool,25 Poseidon Bay,true,44in/112cm at top of shoulder,chair lift - max 300 lbs,Main Tank - 28°C/82°F Training Tank - 26°C/80°F Kiddie Pool - 29°C/85°F,25°C/77°F,true,true,true,false,true,true,true,true,true,false,false,true,true,true,true,bookings required for 9 or more people,5-bring your own lock,25¢ coin operated (refundable & non-refunadable),,"1m, 3m, 5m",50m 25yd,,,,walk/jog area,Water & Land,Pool/Kiddie Pool/Boardroom/Table Area of Pool Deck/Multi-Purpose Room,Kiddie Pool,http://winnipeg.ca/cms/recreation/facilities/pools/indoor_pools/pan_am.stm,167,"(49.855210022705144, -97.17302998774078)",5,78,
Seven Oaks Pool,444 Adsum Dr,true,44in/112cm at top of shoulder,chair lift - max 300lbs,29°C/84°F,28°C/83°F,true,true,true,false,true,true,true,true,false,true,false,false,true,true,true,bookings required for 9 or more people,1,25¢ coin operated (refundable & non-refunadable),,"1m, 3m, 5m",25m,,,,,Water,Pool/Meeting Room,,http://winnipeg.ca/cms/recreation/facilities/pools/indoor_pools/seven_oaks.stm,33,"(49.95394502261294, -97.17427800758188)",2,136,
St. James Civic Centre Pool,2055 Ness Ave,true,46in/114cm at top of shoulder,chair lift - max 225lbs,29°C/85°F,29°C/85°F,true,false,true,true,false,true,true,true,true,false,false,false,true,true,true,bookings required for 9 or more people,,25¢ coin operated (non-refunadable),,,25yd,,,,,Water & Land,Pool,,http://winnipeg.ca/cms/recreation/facilities/pools/indoor_pools/st_james_civic.stm,162,"(49.885891775590245, -97.23426092491677)",13,165,
Kinsmen Sherbrook Pool,381 Sherbrook St,false,44in/112cm at top of shoulder,chair lift - max 300lbs,29°C/85°F,31°C/87°F,true,true,true,false,false,true,true,true,true,false,false,false,true,true,true,bookings required for 9 or more people,2-bring your own lock,25¢ coin operated (refundable) bring your own lock,,,25yd,,,,,Water & Land,Table area of pool deck,Limited Parking,http://winnipeg.ca/cms/recreation/facilities/pools/indoor_pools/sherbrook.stm,170,"(49.889995817790364, -97.15853146535703)",3,59,
Transcona Kinsmen Centennial Pool,1101 Wabasha St,true,44in/112cm at top of shoulder,chair lift - max 300lbs,29°C/85°F,29°C/85°F,true,false,true,true,false,true,false,true,false,true,false,false,true,true,true,bookings required for 9 or more people,,25¢ coin operated (refundable),,,25yd,,,,,Water,Pool,,http://winnipeg.ca/cms/recreation/facilities/pools/indoor_pools/transcona.stm,111,"(49.90144694087403, -96.99843598987022)",9,134,
Sergeant Tommy Prince Place Pool,90 Sinclair St,true,44in/112cm at top of shoulder,zero grade entry,29°C/85°F,28°C/83°F,true,true,true,false,true,true,false,true,true,false,false,false,true,true,true,bookings required for 9 or more people,4-bring your own lock,$1 coin deposit (refundable) or bring your own lock,,1m,50m,,wheelchair accessible equipment,,,Water & Land,Pool/Boardroom/Classroom/Community Use Room/Gymnasium/Studio/Teaching Kitchen,,http://winnipeg.ca/cms/recreation/facilities/pools/indoor_pools/sergeant_tommy_prince_place.stm,72,"(49.91829398887955, -97.16162403736085)",12,139,
Eldon Ross Pool,1887 Pacific Ave W,true,44in/112cm at top of shoulder,chair lift,29°C/85°F,32°C/90°F,true,false,true,true,false,true,false,true,false,false,true,false,false,true,true,bookings required for 9 or more people,,25¢ coin operated - (refundable),,,20m,,,,,,Pool,Limited Parking,http://winnipeg.ca/cms/recreation/facilities/pools/indoor_pools/eldon_ross.stm,38,"(49.921459017278046, -97.19980996016415)",13,191,
Margaret Grant Pool,685 Dalhousie Dr,true,48in/122cm at top of shoulder,chair lift - max 300lbs,30°C/86°F,24°C/75°F,true,false,true,true,false,true,true,true,false,false,false,false,true,false,true,bookings required for 9 or more people,,25¢ coin operated (refundable & non-refunadable),,,25yd,,,,,Water,,,http://winnipeg.ca/cms/recreation/facilities/pools/indoor_pools/margaret_grant.stm,157,"(49.78238696043918, -97.15291499036141)",7,201,
Bonivital Pool,1215 Archibald St,true,48in/122cm at top of shoulder,chair lift - max 300lbs,Shallow Pool - 30°C/86°F Deep Pool - 26°C/79°F,24°C/75°F,true,false,true,true,false,true,true,true,false,true,true,false,true,true,true,bookings required for 9 or more people,,25¢ coin operated (refundable & non-refunadable),,,25m,,,,,Water,Table area of pool deck,,http://winnipeg.ca/cms/recreation/facilities/pools/indoor_pools/bonivital.stm,172,"(49.860261998442994, -97.08810894404209)",8,171,
Cindy Klassen Recreation Complex Pool,999 Sargent Ave,true,44in/112cm at top of shoulder,chair lift - max 300 lbs,28°C/82°F,30°C/86°F,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,bookings required for 9 or more people,3-bring your own lock,25¢ coin operated (refundable & non-refunadable),,"1m, 3m, 5m",25m,,wheelchair accessible equipment,,,Water & Land,Pool/Club Rooms/Community Use Room/Deck Party Room/Meeting Room/Multi-Purpose Room,tennis courts,http://winnipeg.ca/cms/recreation/facilities/pools/indoor_pools/cindy_klassen.stm,29,"(49.89793299646669, -97.18045396133637)",3,70,
