"inventory_item_id","inventory_description","location_description","signals_location_number","signals_location_id","signal_type","latitude","longitude","location"
"541","SIGNAL - Equipment #: 10","INT - LOGAN & MCPHILLIPS","1129","516","VEHICLE","49.9135269356151","-97.1703412827605","POINT (-97.1703412827605 49.9135269356151)"
"1372","SIGNAL - Equipment #: 7","INT - LOGAN & QUELCH","1525","520","VEHICLE","49.9179334823211","-97.1835181273659","POINT (-97.1835181273659 49.9179334823211)"
"144","SIGNAL - Equipment #: 1","INT - LOGAN & SHERBROOK","1535","956","VEHICLE","49.9079421857261","-97.152841736396","POINT (-97.152841736396 49.9079421857261)"
"2042","SIGNAL - Equipment #: 2","INT - BROADWAY & HARGRAVE","1789","1070","VEHICLE","49.8872331612411","-97.1412920510044","POINT (-97.1412920510044 49.8872331612411)"
"2376","SIGNAL - Equipment #: 1","INT - BERRY & SARGENT","1514","609","VEHICLE","49.8980211030371","-97.2094060687499","POINT (-97.2094060687499 49.8980211030371)"
"1483","SIGNAL - Equipment #: 5","INT - OSBORNE & YORK","1073","1052","VEHICLE","49.8873470462445","-97.1501176039914","POINT (-97.1501176039914 49.8873470462445)"
"1657","SIGNAL - Equipment #: 4","INT - ALEXANDER & WESTON","1186","518","VEHICLE","49.9161767893679","-97.1806736105257","POINT (-97.1806736105257 49.9161767893679)"
"1606","SIGNAL - Equipment #: 3","INT - MCPHILLIPS & STARDUST","1279","485","VEHICLE","49.9474165105239","-97.1531619761226","POINT (-97.1531619761226 49.9474165105239)"
"1297","SIGNAL - Equipment #: 1","INT - ELLICE & SPENCE","1720","1015","VEHICLE","49.8928563722598","-97.154023868029","POINT (-97.154023868029 49.8928563722598)"
"2119","SIGNAL - Equipment #: 1","INT - ST. JAMES & SASKATCHEWAN","1779","602","VEHICLE","49.9063666273716","-97.1994003825922","POINT (-97.1994003825922 49.9063666273716)"
"1600","SIGNAL - Equipment #: 12","INT - ALEXANDER & MAIN","1484","297","VEHICLE","49.9017508710878","-97.1367831921043","POINT (-97.1367831921043 49.9017508710878)"
"2327","SIGNAL - Equipment #: 7","INT - MAIN & YORK","1263","285","VEHICLE","49.8905279805401","-97.135733434993","POINT (-97.135733434993 49.8905279805401)"
"1799","SIGNAL - Equipment #: 7","INT - DUBLIN & ST. JAMES","1288","597","VEHICLE","49.9113716627919","-97.1994432384851","POINT (-97.1994432384851 49.9113716627919)"
