"start_date","end_date","archive_type","rows","size","url","added"
"2017-07-01T00:00:00.000","2017-07-31T00:00:00.000","Monthly","7307323","187 MB","http://wpgopendata.blob.core.windows.net/transit-on-time-archive/on_time_performance_2017_07.zip","2019-06-26T11:16:53.000"
"2017-08-01T00:00:00.000","2017-08-31T00:00:00.000","Monthly","7437339","190 MB","http://wpgopendata.blob.core.windows.net/transit-on-time-archive/on_time_performance_2017_08.zip","2019-06-26T12:07:48.000"
"2017-09-01T00:00:00.000","2017-09-30T00:00:00.000","Monthly","7071319","181 MB","http://wpgopendata.blob.core.windows.net/transit-on-time-archive/on_time_performance_2017_09.zip","2019-06-26T12:56:12.000"
"2017-10-01T00:00:00.000","2017-10-31T00:00:00.000","Monthly","7375180","188 MB","http://wpgopendata.blob.core.windows.net/transit-on-time-archive/on_time_performance_2017_10.zip","2019-06-26T13:46:53.000"
"2017-11-01T00:00:00.000","2017-11-30T00:00:00.000","Monthly","7475630","191 MB","http://wpgopendata.blob.core.windows.net/transit-on-time-archive/on_time_performance_2017_11.zip","2019-06-26T14:37:55.000"
"2017-12-01T00:00:00.000","2017-12-31T00:00:00.000","Monthly","7290400","186 MB","http://wpgopendata.blob.core.windows.net/transit-on-time-archive/on_time_performance_2017_12.zip","2019-06-26T15:27:36.000"
"2018-01-01T00:00:00.000","2018-01-31T00:00:00.000","Monthly","7719915","199 MB","http://wpgopendata.blob.core.windows.net/transit-on-time-archive/on_time_performance_2018_01.zip","2019-06-26T16:22:57.000"
"2018-02-01T00:00:00.000","2018-02-28T00:00:00.000","Monthly","6791117","175 MB","http://wpgopendata.blob.core.windows.net/transit-on-time-archive/on_time_performance_2018_02.zip","2019-06-26T17:09:27.000"
"2018-03-01T00:00:00.000","2018-03-31T00:00:00.000","Monthly","7582672","195 MB","http://wpgopendata.blob.core.windows.net/transit-on-time-archive/on_time_performance_2018_03.zip","2019-06-26T18:01:45.000"
"2018-04-01T00:00:00.000","2018-04-30T00:00:00.000","Monthly","7171060","185 MB","http://wpgopendata.blob.core.windows.net/transit-on-time-archive/on_time_performance_2018_04.zip","2019-06-26T18:49:35.000"
"2018-05-01T00:00:00.000","2018-05-31T00:00:00.000","Monthly","7881736","205 MB","http://wpgopendata.blob.core.windows.net/transit-on-time-archive/on_time_performance_2018_05.zip","2019-06-26T19:43:00.000"
"2018-06-01T00:00:00.000","2018-06-30T00:00:00.000","Monthly","7555783","196 MB","http://wpgopendata.blob.core.windows.net/transit-on-time-archive/on_time_performance_2018_06.zip","2019-06-26T20:35:19.000"
"2018-07-01T00:00:00.000","2018-07-31T00:00:00.000","Monthly","7785749","200 MB","http://wpgopendata.blob.core.windows.net/transit-on-time-archive/on_time_performance_2018_07.zip","2019-06-26T21:28:02.000"
"2018-08-01T00:00:00.000","2018-08-31T00:00:00.000","Monthly","7708057","198 MB","http://wpgopendata.blob.core.windows.net/transit-on-time-archive/on_time_performance_2018_08.zip","2019-07-09T14:27:03.000"
"2018-09-01T00:00:00.000","2018-09-30T00:00:00.000","Monthly","7022622","182 MB","http://wpgopendata.blob.core.windows.net/transit-on-time-archive/on_time_performance_2018_09.zip","2019-06-26T23:09:13.000"
"2018-10-01T00:00:00.000","2018-10-31T00:00:00.000","Monthly","7942287","206 MB","http://wpgopendata.blob.core.windows.net/transit-on-time-archive/on_time_performance_2018_10.zip","2019-06-27T00:06:13.000"
"2018-11-01T00:00:00.000","2018-11-30T00:00:00.000","Monthly","7787959","202 MB","http://wpgopendata.blob.core.windows.net/transit-on-time-archive/on_time_performance_2018_11.zip","2019-06-27T01:03:45.000"
"2018-12-01T00:00:00.000","2018-12-31T00:00:00.000","Monthly","7422770","192 MB","http://wpgopendata.blob.core.windows.net/transit-on-time-archive/on_time_performance_2018_12.zip","2019-06-26T09:36:36.000"
"2019-01-01T00:00:00.000","2019-01-31T00:00:00.000","Monthly","7999322","204 MB","http://wpgopendata.blob.core.windows.net/transit-on-time-archive/on_time_performance_2019_01.zip","2019-06-21T00:00:00.000"
"2019-02-01T00:00:00.000","2019-02-28T00:00:00.000","Monthly","7075453","181 MB","http://wpgopendata.blob.core.windows.net/transit-on-time-archive/on_time_performance_2019_02.zip","2019-06-21T00:00:00.000"
"2019-03-01T00:00:00.000","2019-03-31T00:00:00.000","Monthly","8036983","204 MB","http://wpgopendata.blob.core.windows.net/transit-on-time-archive/on_time_performance_2019_03.zip","2019-06-25T00:00:00.000"
"2019-04-01T00:00:00.000","2019-04-30T00:00:00.000","Monthly","7707465","203 MB","http://wpgopendata.blob.core.windows.net/transit-on-time-archive/on_time_performance_2019_04.zip","2019-06-27T12:28:10.000"
"2019-05-01T00:00:00.000","2019-05-31T00:00:00.000","Monthly","8265334","211 MB","http://wpgopendata.blob.core.windows.net/transit-on-time-archive/on_time_performance_2019_05.zip","2019-07-01T07:24:14.000"
"2019-06-01T00:00:00.000","2019-06-30T00:00:00.000","Monthly","4817109","123 MB","http://wpgopendata.blob.core.windows.net/transit-on-time-archive/on_time_performance_2019_06.zip","2019-08-01T07:03:41.000"
"2019-07-01T00:00:00.000","2019-07-31T00:00:00.000","Monthly","6334417","162 MB","http://wpgopendata.blob.core.windows.net/transit-on-time-archive/on_time_performance_2019_07.zip","2019-09-01T07:17:02.000"
"2019-08-01T00:00:00.000","2019-08-31T00:00:00.000","Monthly","7817869","198 MB","http://wpgopendata.blob.core.windows.net/transit-on-time-archive/on_time_performance_2019_08.zip","2019-10-01T07:22:49.000"
"2019-09-01T00:00:00.000","2019-09-30T00:00:00.000","Monthly","7703909","198 MB","http://wpgopendata.blob.core.windows.net/transit-on-time-archive/on_time_performance_2019_09.zip","2019-11-01T07:34:24.000"
"2019-10-01T00:00:00.000","2019-10-31T00:00:00.000","Monthly","8256498","215 MB","http://wpgopendata.blob.core.windows.net/transit-on-time-archive/on_time_performance_2019_10.zip","2019-12-01T07:39:27.000"
