Name,Address,Ice Surface Count,Website,Operated By,Is Open,Complex ID,Location 1,Wards,Neighborhoods,Zip Codes
Bertrand Arena,294 Bertrand St,1,http://www.winnipeg.ca/cms/recreation/facilities/arenas/Bertrand.stm,City,true,138,"(49.883525043936245, -97.11460400943733)",8,178,
Billy Mosienko Arena,709 Keewatin St,1,http://www.winnipeg.ca/cms/recreation/facilities/arenas/BillyMosienko.stm,City,false,107,"(49.934731018804406, -97.19447705367969)",12,15,
Century Arena,1377 Clarence Ave,1,http://www.winnipeg.ca/cms/recreation/facilities/arenas/Century.stm,City,false,178,"(49.83151096265489, -97.16889903210067)",5,111,
Charles A. Barbour Arena,500 Nathaniel St,1,http://www.winnipeg.ca/cms/recreation/facilities/arenas/CharlesABarbour.stm,City,true,150,"(49.855373981945654, -97.16879703938716)",5,78,
East End Arena & Community Club,517 Pandora Ave E,2,http://www.eastendarena.ca/,GCWCC,true,106,"(49.89466603588827, -96.99160195145087)",9,174,
Eric Coy Arena,535 Oakdale Dr,1,http://www.winnipeg.ca/cms/recreation/facilities/arenas/EricCoy.stm,City,false,146,"(49.857584464102516, -97.2701637946952)",15,219,
Gateway Recreation Centre Arena,1717 Gateway Rd,2,http://www.gatewayrec.com/,GCWCC,true,104,"(49.94523191779736, -97.04763390911646)",10,31,
Glenwood Community Centre Arena,27 Overton St,1,http://www.glenwoodcommunitycentre.com/,GCWCC,true,140,"(49.8657869589718, -97.10787701853623)",11,124,
Jonathon Toews Sportplex,1188 Dakota St,2,http://www.dakotacc.com/,GCWCC,true,68,"(49.819258206755535, -97.10165378769884)",7,88,
Keith Bodley Arena,165 Sansome Ave,1,http://www.kirkfieldwestwoodcc.ca/,GCWCC,true,58,"(49.87578390173345, -97.30318596508387)",14,63,
Kinsmen Allard Arena,80 Allard Ave,1,http://www.sjamha.ca/,St. James Minor Hockey,false,58,"(49.87835932464904, -97.30434333485213)",14,63,
Maginot Arena,910 Maginot St,1,http://www.winnipeg.ca/cms/recreation/facilities/arenas/Maginot.stm,City,false,130,"(49.87268499532713, -97.0802229869865)",8,65,
Maples Multiplex Arena,454 Adsum Dr,1,http://www.maplescc.ca/,GCWCC,true,33,"(49.953543002646896, -97.17636795390084)",2,136,
Notre Dame Recreation Centre Arena,271 De La Cathedrale Ave,1,http://www.ndrc.ca/,GCWCC,true,36,"(49.891071463166334, -97.11671346492547)",8,178,
Pioneer Arena,799 Logan Ave,1,http://www.winnipeg.ca/cms/recreation/facilities/arenas/Pioneer.stm,City,false,12,"(49.91019802802547, -97.15747900752822)",12,100,
Richmond  Kings Arena,666 Silverstone Ave,1,http://www.rkcc.ca/,GCWCC,false,30,"(49.79901196611622, -97.13663095661857)",7,201,
River East Arena,1410 Rothesay St,1,http://www.winnipeg.ca/cms/recreation/facilities/arenas/RiverEast.stm,City,false,102,"(49.943974995159174, -97.07700500209263)",10,12,
River Heights Community Centre Arena,1370 Grosvenor Ave,1,http://www.corydoncc.com/,GCWCC,false,31,"(49.86540000771419, -97.18163396669735)",5,162,
Sam Southern Arena,625 Osborne St,1,http://www.winnipeg.ca/cms/recreation/facilities/arenas/SamSouthern.stm,City,false,51,"(49.86350599261732, -97.13549987480864)",6,99,
Sargent Park Arena,1111 Wall St,1,http://www.winnipeg.ca/cms/recreation/facilities/arenas/SargentPark.stm,City,false,29,"(49.89934402441559, -97.18079795474375)",3,70,
Seven Oaks Arena,745 Kingsbury Ave,2,http://www.gardencitycc.com/,GCWCC,true,69,"(49.94839120097718, -97.13881699090766)",2,128,
Southdale Arena,254 Lakewood Blvd,2,http://www.southdale.ca/,GCWCC,true,128,"(49.84580781380155, -97.07782424159878)",8,61,
St. James Civic Centre Arena,2055 Ness Ave,1,http://www.winnipeg.ca/cms/recreation/facilities/arenas/StJamesCivicCentre.stm,City,true,162,"(49.88649698478937, -97.23425319081159)",13,165,
St. Norbert  Arena,3450 Pembina Hwy,1,http://www.stnorbertcc.ca/,GCWCC,true,155,"(49.76813220941969, -97.154216374367)",7,80,
St. Vital Centennial Arena,580 St Anne's Rd,1,http://www.winnipeg.ca/cms/recreation/facilities/arenas/stvital.stm,St. Vital Minor Hockey Association,false,125,"(49.83314208206306, -97.09204904483313)",11,207,
Terry Sawchuk Arena,901 Kimberly Ave,1,http://www.winnipeg.ca/cms/recreation/facilities/arenas/TerrySawchuk.stm,City,false,98,"(49.91764800064928, -97.0708419767001)",1,13,
Varsity View Sportsplex Arena,4230 Ridgewood Ave,1,http://www.varsityview.org/,GCWCC,true,184,"(49.84308976095047, -97.27079623376487)",15,77,
West Kildonan Memorial Community Centre Arena,346 Perth Ave,1,http://www.wkmcc.webs.com/,West Kildonan Memorial Community Centre,true,65,"(49.937256259488855, -97.12645275235184)",4,102,
