"signals_location_number","camera_description","camera_type","equipment_pole_number","inventory_item_id","latitude","longitude","location"
"1162","Fort & York","PTZ","8","2242","49.88996219","-97.13725258","POINT (-97.13725258 49.88996219)"
"1190","Burrows & Salter","PTZ","2","1091","49.91716496","-97.13948883","POINT (-97.13948883 49.91716496)"
"1484","Alexander & Disreali & Main","PTZ","16","9922","49.90147017","-97.1365324","POINT (-97.1365324 49.90147017)"
"1205","McGillivray & Pembina","PTZ","5","6335","49.84156988","-97.15369727","POINT (-97.15369727 49.84156988)"
"1229","Fermor & Lagimodiere","PTZ","13","5786","49.85627912","-97.04990053","POINT (-97.04990053 49.85627912)"
"2017","Gunn & Plessis","PTZ","2","11370","49.9153629","-97.02534949","POINT (-97.02534949 49.9153629)"
"1130","Brookside & Inkster","PTZ","15","1761","49.94627035","-97.22998581","POINT (-97.22998581 49.94627035)"
"1199","Donald & Portage","PTZ","1","3227","49.89386162","-97.14349679","POINT (-97.14349679 49.89386162)"
"1827","Chancellor Matheson & University Crescent","PTZ","6","6737","49.82284472","-97.10087292","POINT (-97.10087292 49.82284472)"
"1662","Taylor & Waverley","PTZ","14","10921","49.85166414","-97.17849477","POINT (-97.17849477 49.85166414)"
"1710","Century & Sargent","PTZ","2","2288","49.89780097","-97.20290731","POINT (-97.20290731 49.89780097)"
"1311","Lagimodiere & Regent","PTZ","15","4551","49.89794857","-97.06867833","POINT (-97.06867833 49.89794857)"
"1614","Colony-Memorial & Portage","PTZ","1","3132","49.89100575","-97.15115573","POINT (-97.15115573 49.89100575)"
"1166","Sherbrook & William","PTZ","1","644","49.90423576","-97.15548891","POINT (-97.15548891 49.90423576)"
"1352","Kenaston & Tuxedo","PTZ","9","5994","49.86970394","-97.20547121","POINT (-97.20547121 49.86970394)"
"1319","Archibald & Provencher","PTZ","10","10561","49.89619364","-97.10551288","POINT (-97.10551288 49.89619364)"
"1780","Maryland & Sargent","PTZ","8","286","49.89648313","-97.16004171","POINT (-97.16004171 49.89648313)"
"1002","Donald & River","PTZ","6","5778","49.88232089","-97.13728471","POINT (-97.13728471 49.88232089)"
"1560","Smith & St. Mary","PTZ","2","2741","49.89087419","-97.14035812","POINT (-97.14035812 49.89087419)"
"1206","Dugald & Lagimodiere","PTZ","12","5620","49.8856464","-97.07240352","POINT (-97.07240352 49.8856464)"
"1338","McDermot & Princess","PTZ","2","978","49.89776028","-97.14285142","POINT (-97.14285142 49.89776028)"
"2007","Mission & Panet","PTZ","2","8705","49.89402014","-97.07889746","POINT (-97.07889746 49.89402014)"
"1603","McGillivray & Waverley","PTZ","11","7053","49.82980101","-97.17959098","POINT (-97.17959098 49.82980101)"
"1513","Gateway & McLeod","PTZ","20","11025","49.92949356","-97.07080102","POINT (-97.07080102 49.92949356)"
"1425","Saskatchewan & Sturgeon","PTZ","7","4309","49.90179761","-97.27691378","POINT (-97.27691378 49.90179761)"
"1385","Empress & Westway","PTZ","3","4208","49.88364105","-97.19628277","POINT (-97.19628277 49.88364105)"
"1608","Nairn & Watt","PTZ","14","9924","49.90486788","-97.10432271","POINT (-97.10432271 49.90486788)"
"1508","Pembina & University","PTZ","4","5520","49.81852608","-97.15218629","POINT (-97.15218629 49.81852608)"
"1266","Broadway & Main","PTZ","7","2258","49.88875015","-97.13456449","POINT (-97.13456449 49.88875015)"
"1737","Empress & St. Mathews","PTZ","17","9914","49.89062066","-97.19624612","POINT (-97.19624612 49.89062066)"
"1480","Cavalier & Portage","PTZ","15","9923","49.88303752","-97.30074035","POINT (-97.30074035 49.88303752)"
"1451","Plessis & Regent","PTZ","14","11185","49.89501213","-97.02572032","POINT (-97.02572032 49.89501213)"
"1958","Lagimodiere & warde","PTZ","11","6003","49.82863828","-97.05016749","POINT (-97.05016749 49.82863828)"
"1132","Inkster & McPhillips","PTZ","3","1415","49.93889154","-97.16009909","POINT (-97.16009909 49.93889154)"
"1129","Logan & McPhillips","PTZ","7","537","49.91374273","-97.17030073","POINT (-97.17030073 49.91374273)"
"1506","Portage & Sturgeon","PTZ","4","5195","49.87959055","-97.27888455","POINT (-97.27888455 49.87959055)"
"1215","Bishop & Dakota","PTZ","9","6226","49.83278408","-97.10911996","POINT (-97.10911996 49.83278408)"
"1312","Academy & Kenaston","PTZ","3","1672","49.87443411","-97.20371221","POINT (-97.20371221 49.87443411)"
"1494","Isabel & Logan","PTZ","11","9461","49.90636641","-97.14694533","POINT (-97.14694533 49.90636641)"
"1846","Harkness & Stradbrook","PTZ","10","5709","49.8813401","-97.1346184","POINT (-97.1346184 49.8813401)"
"1154","Nairn & Stadacona","PTZ","1","4152","49.90662665","-97.11269569","POINT (-97.11269569 49.90662665)"
"1482","Osborne & Stradbrook","PTZ","1","5421","49.87774322","-97.14455812","POINT (-97.14455812 49.87774322)"
"1905","Nathaniel & Taylor","PTZ","10","7313","49.85378144","-97.16627595","POINT (-97.16627595 49.85378144)"
"1149","Killarney-Kirkbridge & Pembina","PTZ","6","6521","49.78905205","-97.15758092","POINT (-97.15758092 49.78905205)"
"1257","Henderson & Munroe","PTZ","9","3948","49.92166374","-97.10933875","POINT (-97.10933875 49.92166374)"
"1665","McGregor & Mountain","PTZ","7","733","49.92422689","-97.14347778","POINT (-97.14347778 49.92422689)"
