"the_geom","objectid","asset_id","bmp","emp","b_lat","b_lon","b_ele","e_lat","e_lon","e_ele","beg_frame","end_frame","comments","prefix","route","session_nm","island","lane_id","direction","surveyed","source","type","length","obstructed","damaged","condition","deliveryid","lrm_name","nhs","pfes_id","shape_length","weathered","height","vegetation"
"MULTILINESTRING ((-155.124741260471 19.714262745563, -155.12473125945 19.714262745641))","5330","-LbjLZoWIJ9vfwnLmNM_jF","1.47273","1.47273","19.71426621","-155.12475577","764.900024414063","19.71426621","-155.12475577","764.900024414063","344","344",,"CR","2720","Hawaii_CR_2720_CTR_-_2019","Hawaii","CTR","-MP","21-MAR-2019","MS2019","Ground-Mounted Delineator","0","NO","NO","GOOD","MARCH_2020_1","CDS","NO","NA","1.11330850053679","NO","47","NO"
"MULTILINESTRING ((-155.535830272943 20.062447170803, -155.535820274 20.062447171321))","12260","-LfRKwSrFMm7wnzjVcBqfV","47.47183","47.47183","20.06245063","-155.53584477","2533.89990234375","20.06245063","-155.53584477","2533.89990234375","23751","23751",,"SR","19","Hawaii_SR_19_CTR_+_2019","Hawaii","CTR","+MP","22-MAR-2019","MS2019","Ground-Mounted Delineator","0","NO","NO","GOOD","MARCH_2020_1","CDS","YES","Hawaii_19_+MP_42.74","1.11307718401275","NO","39","NO"
"MULTILINESTRING ((-156.003054158889 19.67408473933, -156.003033682564 19.674074646052))","5682","-Lc3mKWiGLDlq3Qgywr-FF","1.9456","1.94474","19.67408822","-156.00306865","330.200012207031","19.67407813","-156.00304817","329.799987792969","638","638",,"CR","1880","Hawaii_CR_1880_CTR_-_2019","Hawaii","CTR","-MP","12-MAR-2019","MS2019","Tubular Marker Yellow","8","NO","NO","GOOD","MARCH_2020_1","CDS","NO","NA","2.57284686337683","NO","40","NO"
"MULTILINESTRING ((-155.794417214359 20.020485848849, -155.794407215116 20.020485849051))","11372","-LeDS1kxG2ixtxZEEj37j-","65.42604","65.42604","20.02048931","-155.7944317","757.900024414063","20.02048931","-155.7944317","757.900024414063","17059","17059",,"SR","19","Hawaii_SR_19_CTR_-_2019","Hawaii","CTR","-MP","13-MAR-2019","MS2019","Ground-Mounted Delineator","0","NO","YES","POOR","MARCH_2020_1","CDS","YES","NA","1.11311056118124","NO","3","NO"
"MULTILINESTRING ((-155.066167226485 19.692546745324, -155.066166909628 19.692532642136))","14752","-LcYWCtaGiXewhI1JhqzZ-","2.07064","2.07161","19.69255021","-155.06618174","160.800003051758","19.69253611","-155.06618142","160.899993896484","1086","1086",,"SR","11","Hawaii_SR_11_CTR_+_2019","Hawaii","CTR","+MP","19-MAR-2019","MS2019","Tubular Marker Yellow","5","NO","NO","GOOD","MARCH_2020_1","CDS","NO","Hawaii_11_+MP_0","1.6678564483043","NO","49","NO"
"MULTILINESTRING ((-155.795039123683 20.020605353851, -155.795029122518 20.020605354053))","11379","-LeDRWpiHlqxSEfwOhrFhF","65.46747","65.46747","20.02060882","-155.79505361","744.400024414063","20.02060882","-155.79505361","744.400024414063","17038","17038",,"SR","19","Hawaii_SR_19_CTR_-_2019","Hawaii","CTR","-MP","13-MAR-2019","MS2019","Ground-Mounted Delineator","0","NO","NO","GOOD","MARCH_2020_1","CDS","YES","NA","1.11332454185478","NO","39","NO"
"MULTILINESTRING ((-157.8480057558 21.301296239876, -157.847695097138 21.30118779028, -157.847574209986 21.301143982431))","4054","-L_zzeisIluXcZnbEI0I6-","2.88998","2.91982","21.30129966","-157.84802016","70.5999984741211","21.30114741","-157.84758861","70.5999984741211","1494","1509",,"CR","7402","Oahu_CR_7402_CTR_+_2019","Oahu","CTR","+MP","25-FEB-2019","MS2019","Tubular Marker White","157","NO","NO","GOOD","MARCH_2020_1","CDS","YES","NA","51.3694718089609","NO","55","NO"
"MULTILINESTRING ((-156.804412200736 21.070339007877, -156.80440220044 21.070339008539))","6781","-La1aSbfFY9mFDve2tDEX-","15.48136","15.48136","21.07034243","-156.80442664","81.5999984741211","21.07034243","-156.80442664","81.5999984741211","7761","7761",,"SR","450","Molokai_SR_450_CTR_+_2019","Molokai","CTR","+MP","24-JAN-2019","MS2019","Ground-Mounted Delineator","0","NO","NO","GOOD","MARCH_2020_1","CDS","NO","Molokai_450_+MP_13","1.11322787684741","NO","45","NO"
"MULTILINESTRING ((-155.976802935917 19.701875447562, -155.976792936327 19.701875447748))","12856","-LbhPUkmIjyXJgpaunm0yV","34.21143","34.21143","19.70187893","-155.97681743","1563.59997558594","19.70187893","-155.97681743","1563.59997558594","2400","2400",,"SR","190","Hawaii_SR_190_CTR_-_2019","Hawaii","CTR","-MP","06-MAR-2019","MS2019","Tubular Marker White","0","NO","NO","GOOD","MARCH_2020_1","CDS","NO","NA","1.11314926318118","NO","45","NO"
"MULTILINESTRING ((-155.127668670314 19.688966988575, -155.127632407254 19.688999212022, -155.127532140267 19.689062300086))","5467","-LciiU_RIBaRcBGHgF6Jgk","3.92181","3.91096","19.68897045","-155.12768318","910.799987792969","19.68906576","-155.12754665","906.099975585938","2011","2017",,"CR","1950","Hawaii_CR_1950_CTR_-_2019","Hawaii","CTR","-MP","28-MAR-2019","MS2019","Ground-Mounted Delineator","59","NO","NO","GOOD","MARCH_2020_1","CDS","NO","NA","18.9753215619522","NO","30","NO"
