"ward","language","dwellings"
"Ward 1","English Only","16513"
"Ward 1","Arabic","184"
"Ward 1","Cantonese","531"
"Ward 1","French","759"
"Ward 1","German","267"
"Ward 1","Mandarin","288"
"Ward 1","Panjabi (Punjabi)","98"
"Ward 1","Spanish","279"
"Ward 1","Tagalog (Pilipino_ Filipino)","1299"
"Ward 1","Ukrainian","268"
"Ward 1","Other","2144"
"Ward 1","No Response","5824"
"Ward 2","English Only","16864"
"Ward 2","Arabic","711"
"Ward 2","Cantonese","536"
"Ward 2","French","841"
"Ward 2","German","208"
"Ward 2","Mandarin","277"
"Ward 2","Panjabi (Punjabi)","127"
"Ward 2","Spanish","391"
"Ward 2","Tagalog (Pilipino_ Filipino)","881"
"Ward 2","Ukrainian","398"
"Ward 2","Other","2541"
"Ward 2","No Response","6451"
"Ward 3","English Only","12013"
"Ward 3","Arabic","1358"
"Ward 3","Cantonese","1152"
"Ward 3","French","616"
"Ward 3","German","144"
"Ward 3","Mandarin","376"
"Ward 3","Panjabi (Punjabi)","245"
"Ward 3","Spanish","379"
"Ward 3","Tagalog (Pilipino_ Filipino)","521"
"Ward 3","Ukrainian","503"
"Ward 3","Other","3325"
"Ward 3","No Response","2889"
"Ward 4","English Only","17024"
"Ward 4","Arabic","416"
"Ward 4","Cantonese","626"
"Ward 4","French","816"
"Ward 4","German","124"
"Ward 4","Mandarin","200"
"Ward 4","Panjabi (Punjabi)","524"
"Ward 4","Spanish","695"
"Ward 4","Tagalog (Pilipino_ Filipino)","564"
"Ward 4","Ukrainian","389"
"Ward 4","Other","3175"
"Ward 4","No Response","3655"
"Ward 5","English Only","16189"
"Ward 5","Arabic","231"
"Ward 5","Cantonese","601"
"Ward 5","French","714"
"Ward 5","German","224"
"Ward 5","Mandarin","363"
"Ward 5","Panjabi (Punjabi)","143"
"Ward 5","Spanish","297"
"Ward 5","Tagalog (Pilipino_ Filipino)","1406"
"Ward 5","Ukrainian","224"
"Ward 5","Other","2376"
"Ward 5","No Response","3705"
"Ward 6","English Only","21915"
"Ward 6","Arabic","413"
"Ward 6","Cantonese","836"
"Ward 6","French","1228"
"Ward 6","German","281"
"Ward 6","Mandarin","717"
"Ward 6","Panjabi (Punjabi)","126"
"Ward 6","Spanish","561"
"Ward 6","Tagalog (Pilipino_ Filipino)","590"
"Ward 6","Ukrainian","374"
"Ward 6","Other","3337"
"Ward 6","No Response","13756"
"Ward 7","English Only","17383"
"Ward 7","Arabic","381"
"Ward 7","Cantonese","547"
"Ward 7","French","706"
"Ward 7","German","250"
"Ward 7","Mandarin","109"
"Ward 7","Panjabi (Punjabi)","63"
"Ward 7","Spanish","405"
"Ward 7","Tagalog (Pilipino_ Filipino)","305"
"Ward 7","Ukrainian","630"
"Ward 7","Other","2700"
"Ward 7","No Response","4496"
"Ward 8","English Only","18332"
"Ward 8","Arabic","172"
"Ward 8","Cantonese","293"
"Ward 8","French","1413"
"Ward 8","German","502"
"Ward 8","Mandarin","597"
"Ward 8","Panjabi (Punjabi)","88"
"Ward 8","Spanish","359"
"Ward 8","Tagalog (Pilipino_ Filipino)","224"
"Ward 8","Ukrainian","336"
"Ward 8","Other","1605"
"Ward 8","No Response","9163"
"Ward 9","English Only","19202"
"Ward 9","Arabic","377"
"Ward 9","Cantonese","1517"
"Ward 9","French","815"
"Ward 9","German","329"
"Ward 9","Mandarin","1804"
"Ward 9","Panjabi (Punjabi)","548"
"Ward 9","Spanish","503"
"Ward 9","Tagalog (Pilipino_ Filipino)","625"
"Ward 9","Ukrainian","231"
"Ward 9","Other","3767"
"Ward 9","No Response","4937"
"Ward 10","English Only","14261"
"Ward 10","Arabic","328"
"Ward 10","Cantonese","471"
"Ward 10","French","675"
"Ward 10","German","413"
"Ward 10","Mandarin","752"
"Ward 10","Panjabi (Punjabi)","177"
"Ward 10","Spanish","384"
"Ward 10","Tagalog (Pilipino_ Filipino)","603"
"Ward 10","Ukrainian","245"
"Ward 10","Other","2456"
"Ward 10","No Response","5992"
"Ward 11","English Only","15714"
"Ward 11","Arabic","137"
"Ward 11","Cantonese","288"
"Ward 11","French","956"
"Ward 11","German","567"
"Ward 11","Mandarin","115"
"Ward 11","Panjabi (Punjabi)","511"
"Ward 11","Spanish","501"
"Ward 11","Tagalog (Pilipino_ Filipino)","858"
"Ward 11","Ukrainian","165"
"Ward 11","Other","2233"
"Ward 11","No Response","2877"
"Ward 12","English Only","14779"
"Ward 12","Arabic","190"
"Ward 12","Cantonese","477"
"Ward 12","French","918"
"Ward 12","German","239"
"Ward 12","Mandarin","217"
"Ward 12","Panjabi (Punjabi)","3683"
"Ward 12","Spanish","587"
"Ward 12","Tagalog (Pilipino_ Filipino)","1452"
"Ward 12","Ukrainian","106"
"Ward 12","Other","3305"
"Ward 12","No Response","3874"
