"ward","language","dwellings"
"WARD 1","English Only","14580"
"WARD 1","Arabic","197"
"WARD 1","Cantonese","473"
"WARD 1","French","688"
"WARD 1","German","221"
"WARD 1","Mandarin","255"
"WARD 1","North American Indigenous","27"
"WARD 1","Punjabi","102"
"WARD 1","Spanish","276"
"WARD 1","Tagalog (Pilipino_ Filipino)","1321"
"WARD 1","Ukrainian","252"
"WARD 1","Other","1872"
"WARD 1","No Response","9710"
"WARD 2","English Only","14523"
"WARD 2","Arabic","815"
"WARD 2","Cantonese","526"
"WARD 2","French","743"
"WARD 2","German","191"
"WARD 2","Mandarin","280"
"WARD 2","North American Indigenous","42"
"WARD 2","Punjabi","158"
"WARD 2","Spanish","365"
"WARD 2","Tagalog (Pilipino_ Filipino)","814"
"WARD 2","Ukrainian","339"
"WARD 2","Other","2184"
"WARD 2","No Response","9997"
"WARD 3","English Only","11186"
"WARD 3","Arabic","1184"
"WARD 3","Cantonese","940"
"WARD 3","French","566"
"WARD 3","German","108"
"WARD 3","Mandarin","335"
"WARD 3","North American Indigenous","25"
"WARD 3","Punjabi","205"
"WARD 3","Spanish","326"
"WARD 3","Tagalog (Pilipino_ Filipino)","512"
"WARD 3","Ukrainian","397"
"WARD 3","Other","2750"
"WARD 3","No Response","6033"
"WARD 4","English Only","15303"
"WARD 4","Arabic","394"
"WARD 4","Cantonese","446"
"WARD 4","French","701"
"WARD 4","German","104"
"WARD 4","Mandarin","198"
"WARD 4","North American Indigenous","35"
"WARD 4","Punjabi","507"
"WARD 4","Spanish","587"
"WARD 4","Tagalog (Pilipino_ Filipino)","563"
"WARD 4","Ukrainian","352"
"WARD 4","Other","2631"
"WARD 4","No Response","7841"
"WARD 5","English Only","13271"
"WARD 5","Arabic","233"
"WARD 5","Cantonese","495"
"WARD 5","French","614"
"WARD 5","German","172"
"WARD 5","Mandarin","339"
"WARD 5","North American Indigenous","31"
"WARD 5","Punjabi","161"
"WARD 5","Spanish","272"
"WARD 5","Tagalog (Pilipino_ Filipino)","1193"
"WARD 5","Ukrainian","205"
"WARD 5","Other","1948"
"WARD 5","No Response","8739"
"WARD 6","English Only","18890"
"WARD 6","Arabic","378"
"WARD 6","Cantonese","620"
"WARD 6","French","1132"
"WARD 6","German","235"
"WARD 6","Mandarin","566"
"WARD 6","North American Indigenous","65"
"WARD 6","Punjabi","122"
"WARD 6","Spanish","471"
"WARD 6","Tagalog (Pilipino_ Filipino)","493"
"WARD 6","Ukrainian","313"
"WARD 6","Other","3086"
"WARD 6","No Response","16529"
"WARD 7","English Only","13864"
"WARD 7","Arabic","410"
"WARD 7","Cantonese","440"
"WARD 7","French","768"
"WARD 7","German","225"
"WARD 7","Mandarin","120"
"WARD 7","North American Indigenous","100"
"WARD 7","Punjabi","77"
"WARD 7","Spanish","401"
"WARD 7","Tagalog (Pilipino_ Filipino)","324"
"WARD 7","Ukrainian","641"
"WARD 7","Other","2507"
"WARD 7","No Response","7679"
"WARD 8","English Only","16560"
"WARD 8","Arabic","230"
"WARD 8","Cantonese","287"
"WARD 8","French","1319"
"WARD 8","German","508"
"WARD 8","Mandarin","838"
"WARD 8","North American Indigenous","39"
"WARD 8","Punjabi","126"
"WARD 8","Spanish","386"
"WARD 8","Tagalog (Pilipino_ Filipino)","220"
"WARD 8","Ukrainian","318"
"WARD 8","Other","1569"
"WARD 8","No Response","10127"
"WARD 9","English Only","19024"
"WARD 9","Arabic","387"
"WARD 9","Cantonese","1187"
"WARD 9","French","865"
"WARD 9","German","292"
"WARD 9","Mandarin","1729"
"WARD 9","North American Indigenous","5"
"WARD 9","Punjabi","580"
"WARD 9","Spanish","507"
"WARD 9","Tagalog (Pilipino_ Filipino)","616"
"WARD 9","Ukrainian","211"
"WARD 9","Other","3659"
"WARD 9","No Response","10799"
"WARD 10","English Only","12929"
"WARD 10","Arabic","312"
"WARD 10","Cantonese","414"
"WARD 10","French","709"
"WARD 10","German","425"
"WARD 10","Mandarin","675"
"WARD 10","North American Indigenous","24"
"WARD 10","Punjabi","169"
"WARD 10","Spanish","321"
"WARD 10","Tagalog (Pilipino_ Filipino)","606"
"WARD 10","Ukrainian","244"
"WARD 10","Other","2254"
"WARD 10","No Response","7054"
"WARD 11","English Only","12648"
"WARD 11","Arabic","135"
"WARD 11","Cantonese","213"
"WARD 11","French","717"
"WARD 11","German","503"
"WARD 11","Mandarin","120"
"WARD 11","North American Indigenous","17"
"WARD 11","Punjabi","524"
"WARD 11","Spanish","411"
"WARD 11","Tagalog (Pilipino_ Filipino)","674"
"WARD 11","Ukrainian","140"
"WARD 11","Other","1544"
"WARD 11","No Response","6676"
"WARD 12","English Only","12907"
"WARD 12","Arabic","190"
"WARD 12","Cantonese","334"
"WARD 12","French","717"
"WARD 12","German","181"
"WARD 12","Mandarin","197"
"WARD 12","North American Indigenous","8"
"WARD 12","Punjabi","3435"
"WARD 12","Spanish","530"
"WARD 12","Tagalog (Pilipino_ Filipino)","1324"
"WARD 12","Ukrainian","96"
"WARD 12","Other","3298"
"WARD 12","No Response","10385"
