"geometry_point","address","city","country","email","hours","latitude","location_id","location_name","locationguid","locationtype","longitude","phone_number","phone_title","postal_code","province","quadrant","quadrantcode","short_code","short_name","time_zone","website_url"
"POINT (-113.52034 53.47958)","11204 43 Avenue NW","Edmonton","CA",,"5:30am-4pm 5;30pm-10pm MTTRF, 5:30pm-10pm W, 6am-5;30pm Sat, 6am-5:30pm Sun","53.47958","20","Confederation Leisure Centre","C5EC67B3-6381-E811-911D-0050568AD1F0","Rec Centre","-113.52034",,"Main","T6J 0X8","Alberta","South West","SWEST","CLC","Confederation","MST","https://www.edmonton.ca/activities_parks_recreation/confederation"
"POINT (-113.515 53.56021)","11113 113 Street NW","Edmonton","CA",,"5 pm-10 pm M-F, 9 am-9pm Sat|Sun","53.56021","67","Central Lions Recreation Centre","8FEF67B3-6381-E811-911D-0050568AD1F0","Rec Centre","-113.515",,"Main","T5G 2V1","Alberta","North West","NWEST","CLRC","Central Lions","MST","https://www.edmonton.ca/activities_parks_recreation/central-lions"
"POINT (-113.4443 53.60733)","14528 66 Street NW","Edmonton","CA",,"7am-9pm M-F 9am-9pm Sat|Sun","53.60733","13","Londonderry Leisure Centre","8FEC67B3-6381-E811-911D-0050568AD1F0","Rec Centre","-113.4443",,"Main","T5C 3R7","Alberta","North East","NEAST","LLC","Londonderry","MST","https://www.edmonton.ca/activities_parks_recreation/londonderry"
"POINT (-113.22163 53.27276)","2704 17 Street NW","Edmonton","CA",,"6am-1am","53.27276","7212","The Meadows Arena","C7EF67B3-6381-E811-911D-0050568AD1F0","Arenas","-113.22163",,"Main","T6T 0X1","Alberta","South East","SEAST","TMARENA","The Meadows Arena","MST","https://www.edmonton.ca/activities_parks_recreation/arenas"
"POINT (-113.37377 53.30182)","17740 69 Avenue NW","Edmonton","CA",,"6am-11pm","53.30182","39","Callingwood Twin Arena","27EE67B3-6381-E811-911D-0050568AD1F0","Arenas","-113.37377",,"Main","T5T 3X9","Alberta","North West","NWEST","CWRCOT","Callingwood Twin Arena","MST","https://www.edmonton.ca/activities_parks_recreation/arenas"
"POINT (-113.44477 53.56698)","11410 68 Street NW","Edmonton","CA",,"9am-noon 3:30 pm-9pm M, 6am-noon 3:30 pm-9pm T, 7am-noon 3:30 pm-9pm W-F, 8;15am-5pm 5:30pm-9pm Sat, 10am-3pm 4pm-6pm Sun","53.56698","19","Eastglen Leisure Centre","B8EC67B3-6381-E811-911D-0050568AD1F0","Rec Centre","-113.44477",,"Main","T5B 1P1","Alberta","North East","NEAST","ELC","Eastglen","MST","https://www.edmonton.ca/activities_parks_recreation/eastglen"
"POINT (-113.4768 53.55766)","11000 Stadium Road NW","Edmonton","CA",,"6am-10pm M-F, 7am- 9pm Sat|Sun","53.55766","98","Commonwealth Community Recreation Centre","A7F067B3-6381-E811-911D-0050568AD1F0","Rec Centre","-113.4768",,"Main","T5H 4E2","Alberta","North East","NEAST","CCRC","Commonwealth","MST","https://www.edmonton.ca/activities_parks_recreation/commonwealth"
"POINT (-113.36132 53.3137)","9200 163 Street NW","Edmonton","CA",,"6am-1am","53.3137","74","Bill Hunter Arena","D9EF67B3-6381-E811-911D-0050568AD1F0","Arenas","-113.36132",,"Main","T5R 0A7","Alberta","North West","NWEST","BHA","Bill Hunter Arena","MST","https://www.edmonton.ca/activities_parks_recreation/arenas"
"POINT (-113.31335 53.32442)","10335 119 Street NW","Edmonton","CA",,"6am-11pm","53.32442","637","Oliver Arena","6FEF67B3-6381-E811-911D-0050568AD1F0","Arenas","-113.31335",,"Main","T5K 2K9","Alberta","North West","NWEST","OLA","Oliver Arena","MST","https://www.edmonton.ca/activities_parks_recreation/arenas"
"POINT (-113.26413 53.27256)","7207 28 Avenue NW","Edmonton","CA",,"6am-11pm","53.27256","4061","MWRC Arena","42EE67B3-6381-E811-911D-0050568AD1F0","Arenas","-113.26413",,"Main","T6K 3Z3","Alberta","South East","SEAST","MWARENA","MWRC Arena","MST","https://www.edmonton.ca/activities_parks_recreation/arenas"
"POINT (-113.51217 53.58988)","13025 112 Street NW","Edmonton","CA",,"6am-noon 3:30pm-10pm M-F, 7:45am-6:30pm Sat, 7:45am-9:30pm Sun","53.58988","14","Grand Trunk Leisure Centre","95EC67B3-6381-E811-911D-0050568AD1F0","Rec Centre","-113.51217",,"Main","T5E 6E4","Alberta","North West","NWEST","GTLC","Grand Trunk","MST","https://www.edmonton.ca/activities_parks_recreation/grand-trunk"
"POINT (-113.30398 53.31003)","10849 81 Avenue NW","Edmonton","CA",,"6am-11pm","53.31003","617","Tipton Arena","58EF67B3-6381-E811-911D-0050568AD1F0","Arenas","-113.30398",,"Main","T6T 0A5","Alberta","South West","SWEST","TPA","Tipton Arena","MST","https://www.edmonton.ca/activities_parks_recreation/arenas"
"POINT (-113.25235 53.32489)","10404 56 Street NW","Edmonton","CA",,"6am-11pm","53.32489","656","Michael Cameron Arena","82EF67B3-6381-E811-911D-0050568AD1F0","Arenas","-113.25235",,"Main","T6A 2J2","Alberta","South East","SEAST","MCA","Michael Cameron Arena","MST","https://www.edmonton.ca/activities_parks_recreation/arenas"
"POINT (-113.31137 53.36566)","11520 153 Avenue NW","Edmonton","CA",,"6am-11pm","53.36566","38","Castle Downs Twin Arena","1AEE67B3-6381-E811-911D-0050568AD1F0","Arenas","-113.31137",,"Main","T5X 6A3","Alberta","North West","NWEST","CDRCOT","Castle Downs Twin Arena","MST","https://www.edmonton.ca/activities_parks_recreation/arenas"
"POINT (-113.60386 53.52851)","9240 163 Street NW","Edmonton","CA",,"6:30am-9am 2:45pm-10pm MWF, 2;45pm-10pm TTR, 8am-10pm Sat, 4pm-10pm Sun","53.52851","5608","St Francis Xavier Sports Centre","13EF67B3-6381-E811-911D-0050568AD1F0","Rec Centre","-113.60386",,"Main","T5R 0A7","Alberta","North West","NWEST","SFXSC","St Francis Xavier","MST","https://www.edmonton.ca/activities_parks_recreation/stfx"
"POINT (-113.24088 53.36069)","3804 139 Avenue NW","Edmonton","CA",,"6am-11pm","53.36069","619","Clareview Arena","5AEF67B3-6381-E811-911D-0050568AD1F0","Arenas","-113.24088",,"Main","T5Y 3E7","Alberta","North East","NEAST","CLARENA","Clareview Arena","MST","https://www.edmonton.ca/activities_parks_recreation/arenas"
"POINT (-113.54449 53.40125)","11810 35 Avenue SW","Edmonton","CA",,"6am-10pm M-F, 7am-10pm Sat|Sun","53.40125","Ananlysis Field Not Set [DAACC]","Dr Anne Anderson Community Centre","5052B985-CF7F-4877-9149-2296E3DFD836","Rec Centre","-113.54449",,"Main","T6W 4N2","Alberta","South West","SWEST","DAACC","Dr Anne Anderson","MST","https://www.edmonton.ca/activities_parks_recreation/dr-anne-anderson-school-and-community-centre"
