"ward","neighbourhood_number","neighbourhood_name","age","female","male"
"Ward 1","3140","CRESTWOOD","0","8","7"
"Ward 1","3140","CRESTWOOD","1","7","4"
"Ward 1","3140","CRESTWOOD","2","14","2"
"Ward 1","3140","CRESTWOOD","3","6","10"
"Ward 1","3140","CRESTWOOD","4","7","7"
"Ward 1","3140","CRESTWOOD","5","10","11"
"Ward 1","3140","CRESTWOOD","6","11","16"
"Ward 1","3140","CRESTWOOD","7","11","8"
"Ward 1","3140","CRESTWOOD","8","10","12"
"Ward 1","3140","CRESTWOOD","9","18","12"
"Ward 1","3140","CRESTWOOD","10","10","16"
"Ward 1","3140","CRESTWOOD","11","15","12"
"Ward 1","3140","CRESTWOOD","12","11","8"
"Ward 1","3140","CRESTWOOD","13","13","8"
"Ward 1","3140","CRESTWOOD","14","14","9"
"Ward 1","3140","CRESTWOOD","15","16","17"
"Ward 1","3140","CRESTWOOD","16","10","16"
"Ward 1","3140","CRESTWOOD","17","16","9"
"Ward 1","3140","CRESTWOOD","18","5","12"
"Ward 1","3140","CRESTWOOD","19","9","13"
"Ward 1","3140","CRESTWOOD","20","12","14"
"Ward 1","3140","CRESTWOOD","21","10","10"
"Ward 1","3140","CRESTWOOD","22","11","11"
"Ward 1","3140","CRESTWOOD","23","10","11"
"Ward 1","3140","CRESTWOOD","24","4","5"
"Ward 1","3140","CRESTWOOD","25","9","10"
"Ward 1","3140","CRESTWOOD","26","5","9"
"Ward 1","3140","CRESTWOOD","27","4","4"
"Ward 1","3140","CRESTWOOD","28","7","3"
"Ward 1","3140","CRESTWOOD","29","7","5"
"Ward 1","3140","CRESTWOOD","30","7","5"
"Ward 1","3140","CRESTWOOD","31","5","7"
"Ward 1","3140","CRESTWOOD","32","5","3"
"Ward 1","3140","CRESTWOOD","33","5","8"
"Ward 1","3140","CRESTWOOD","34","8","9"
"Ward 1","3140","CRESTWOOD","35","9","7"
"Ward 1","3140","CRESTWOOD","36","13","9"
"Ward 1","3140","CRESTWOOD","37","7","11"
"Ward 1","3140","CRESTWOOD","38","8","7"
"Ward 1","3140","CRESTWOOD","39","8","6"
"Ward 1","3140","CRESTWOOD","40","10","9"
"Ward 1","3140","CRESTWOOD","41","13","8"
"Ward 1","3140","CRESTWOOD","42","19","8"
"Ward 1","3140","CRESTWOOD","43","9","14"
"Ward 1","3140","CRESTWOOD","44","19","11"
"Ward 1","3140","CRESTWOOD","45","19","12"
"Ward 1","3140","CRESTWOOD","46","15","13"
"Ward 1","3140","CRESTWOOD","47","13","12"
"Ward 1","3140","CRESTWOOD","48","10","18"
"Ward 1","3140","CRESTWOOD","49","17","14"
"Ward 1","3140","CRESTWOOD","50","11","17"
"Ward 1","3140","CRESTWOOD","51","20","14"
"Ward 1","3140","CRESTWOOD","52","25","16"
"Ward 1","3140","CRESTWOOD","53","16","19"
"Ward 1","3140","CRESTWOOD","54","22","15"
"Ward 1","3140","CRESTWOOD","55","26","21"
"Ward 1","3140","CRESTWOOD","56","16","24"
"Ward 1","3140","CRESTWOOD","57","27","18"
"Ward 1","3140","CRESTWOOD","58","11","15"
"Ward 1","3140","CRESTWOOD","59","13","11"
"Ward 1","3140","CRESTWOOD","60","14","15"
"Ward 1","3140","CRESTWOOD","61","14","20"
"Ward 1","3140","CRESTWOOD","62","14","10"
"Ward 1","3140","CRESTWOOD","63","13","21"
"Ward 1","3140","CRESTWOOD","64","11","8"
"Ward 1","3140","CRESTWOOD","65","12","5"
"Ward 1","3140","CRESTWOOD","66","12","14"
"Ward 1","3140","CRESTWOOD","67","11","12"
"Ward 1","3140","CRESTWOOD","68","5","9"
"Ward 1","3140","CRESTWOOD","69","11","6"
"Ward 1","3140","CRESTWOOD","70","12","10"
"Ward 1","3140","CRESTWOOD","71","13","11"
"Ward 1","3140","CRESTWOOD","72","14","9"
"Ward 1","3140","CRESTWOOD","73","12","12"
"Ward 1","3140","CRESTWOOD","74","10","7"
"Ward 1","3140","CRESTWOOD","75","11","3"
"Ward 1","3140","CRESTWOOD","76","9","12"
"Ward 1","3140","CRESTWOOD","77","11","6"
"Ward 1","3140","CRESTWOOD","78","8","9"
"Ward 1","3140","CRESTWOOD","79","12","11"
"Ward 1","3140","CRESTWOOD","80","3","8"
"Ward 1","3140","CRESTWOOD","81","12","9"
"Ward 1","3140","CRESTWOOD","82","6","3"
"Ward 1","3140","CRESTWOOD","83","12","4"
"Ward 1","3140","CRESTWOOD","84","10","7"
"Ward 1","3140","CRESTWOOD","85+","26","27"
"Ward 1","3140","CRESTWOOD","No Response","173","190"
"Ward 1","3330","PARKVIEW","0","10","14"
"Ward 1","3330","PARKVIEW","1","8","21"
"Ward 1","3330","PARKVIEW","2","21","14"
