"name","remote","point_x","point_y","cross_st","label","routes","transfers","color","express","closed","full_fare","senior_discount","day_afas_1","day_afas_2","joint_railroad_subway_ticket","day_unlimited_1","day_unlimited_2","transitcheck_metrocard","railroad_unlimited","annual_transitcheck_metrocard","mail_ride_ezpay_express","mail_ride_ezpay_unlimited","airtrain_full_fare"
"Mt Eden Ave","308","POINT (-73.914746 40.844292)","40.844292000000003","Jerome Ave","Mt Eden Ave (4)","4","4","GREEN"," ",,"15974","637","80","216","1","9266","6007","23","6","470","15","25","28"
"Nereid Ave","444","POINT (-73.854323 40.898462)","40.898462000000002","White Plains Rd","Nereid Ave / 238th St (2,5)","2,5","2,5","RED-GREEN"," ",,"8485","408","57","63","0","4248","3223","25","0","253","9","0","33"
"Pelham Bay Park","429","POINT (-73.827095 40.852928)","40.852927999999999","Bruckner Exy","Pelham Bay Park (6)","6","6","GREEN"," ",,"8234","438","72","286","2","6127","7879","83","5","742","53","19","66"
"Pelham Pky","430","POINT (-73.856079 40.85817)","40.858170000000001","Williamsbridge Rd","Pelham Pky (5)","5","5","GREEN"," ",,"8408","383","35","65","0","2488","3524","54","4","433","55","8","7"
"Pelham Pky","361","POINT (-73.867607 40.857235)","40.857235000000003","White Plains Rd","Pelham Pky (2,5)","2,5","2,5","RED-GREEN"," ",,"19603","1028","142","304","0","12328","10956","83","0","940","61","44","44"
"Prospect Ave","406","POINT (-73.901629 40.819678)","40.819678000000003","Westchester Ave","Prospect Ave (2,5)","2,5","2,5","RED-GREEN"," ",,"17826","723","78","265","6","11125","6801","34","10","419","19","30","52"
"Simpson St","408","POINT (-73.892955 40.824131)","40.824131000000001","Westchester Ave","Simpson St (2,5)","2,5","2,5","RED-GREEN"," ",,"18801","774","130","240","0","16412","9207","14","2","610","27","24","31"
"St Lawrence Ave","245","POINT (-73.86728 40.831598)","40.831598","Westchester Ave","St Lawrence Ave (6)","6","6","GREEN"," ",,"11012","417","28","61","0","6172","3599","51","0","231","10","6","18"
"Tremont Ave","154","POINT (-73.90593 40.84949)","40.849490000000003","Grand Concourse","Tremont Ave (B,D)","B,D","B,D","ORANGE","express",,"19654","711","141","256","1","15300","9885","33","14","726","83","40","60"
"Westchester Sq","107","POINT (-73.842011 40.84061)","40.840609999999998","Westchester Ave","Westchester Sq / E Tremont Ave (6)","6","6","GREEN"," ",,"11362","616","75","202","6","6945","7422","24","8","415","74","41","85"
"Whitlock Ave","325","POINT (-73.88609 40.827566)","40.827565999999997","Westchester Ave","Whitlock Ave (6)","6","6","GREEN"," ",,"4007","124","20","33","0","2790","1519","6","4","62","0","1","6"
"Woodlawn","52","POINT (-73.87877 40.886019)","40.886018999999997","Jerome Ave","Woodlawn (4)","4","4","GREEN"," ",,"12599","750","162","289","2","8521","7122","59","13","563","50","13","33"
"Zerega Ave","326","POINT (-73.846694 40.836771)","40.836770999999999","Westchester Ave","Zerega Ave (6)","6","6","GREEN"," ",,"8146","382","39","41","0","3279","3239","62","7","166","39","6","13"
"225th St","39","POINT (-73.909724 40.874631)","40.874631000000001","Broadway","225th St / Marble Hill (1)","1","1","RED"," ",,"13872","744","58","152","35","7457","7879","33","56","568","115","43","39"
