"remote","label","routes","transfers","color","express","closed","point_x","point_y","full_fare","senior_discount","_7_day_americans_w_disabilities_act_farecard_access_system_unl","_30_day_americans_w_disabilities_act_ada_farecard_access_system_reduced_metrocard_fare_unl","joint_railroad_tkt","_7_day_unl","_30_day_unl","transitcheck_metrocard","railroad_unlimited_no_trade","transitcheck_metrocard_annual_mc","mail_ride_ezpay_exp","mail_ride_ezpay_unl","airtrain_full_fare","total"
"16","Elder Ave (6)","6","6","GREEN","","","POINT (-73.87916 40.828583)","40.828583000000002","19679","888","47","151","61","4732","13150","284","153","816","328","133","135","40557"
"39","225th St / Marble Hill (1)","1","1","RED","","","POINT (-73.909724 40.874631)","40.874631000000001","12276","676","41","160","32","6808","7453","26","37","526","88","37","38","28198"
"40","231st St (1)","1","1","RED","","","POINT (-73.904784 40.87891)","40.878909999999998","17360","1302","158","391","0","9214","11968","51","12","790","127","101","52","41526"
"52","Woodlawn (4)","4","4","GREEN","","","POINT (-73.87877 40.886019)","40.886018999999997","11011","728","149","280","7","7735","6722","39","13","524","36","4","24","27272"
"53","3rd Ave / 149th St (2,5)","2,5","2,5","RED-GREEN","express","","POINT (-73.917642 40.816061)","40.816060999999998","43981","1749","349","840","13","34644","22988","111","12","2256","79","38","127","107187"
"104","167th St (B,D)","B,D","B,D","ORANGE","","","POINT (-73.91768 40.834513)","40.834513000000001","20421","757","100","213","2","15611","10492","53","2","787","45","35","74","48592"
"106","Castle Hill Ave (6)","6","6","GREEN","","","POINT (-73.851642 40.834191)","40.834190999999997","16020","709","102","171","0","8772","8283","54","4","748","55","33","18","34969"
"107","Westchester Sq / E Tremont Ave (6)","6","6","GREEN","","","POINT (-73.842011 40.84061)","40.840609999999998","10949","577","54","182","1","6326","6753","23","7","398","74","31","66","25441"
"112","Fordham Rd (B,D)","B,D","B,D","ORANGE","express","","POINT (-73.897102 40.862416)","40.862416000000003","27677","943","128","337","13","17630","12023","38","37","799","68","52","70","59815"
"117","242nd St (1)","1","1","RED","","","POINT (-73.898506 40.889424)","40.889423999999998","12954","534","48","170","11","6130","7775","78","13","507","168","27","33","28448"
"119","Fordham Rd (4)","4","4","GREEN","","","POINT (-73.901091 40.862733)","40.862732999999999","27848","1038","163","323","6","18974","12046","45","11","882","71","34","63","61504"
"120","Sound View Ave / Morrison Ave (6)","6","6","GREEN","","","POINT (-73.874475 40.829527)","40.829526999999999","14483","538","42","129","1","10191","5623","16","5","392","9","24","27","31480"
"133","Mosholu Pky (4)","4","4","GREEN","","","POINT (-73.884635 40.87974)","40.879739999999998","20554","1040","63","269","6","10530","9851","11","12","958","93","70","70","43527"
"145","241st St / Wakefield (2)","2","2","RED","","","POINT (-73.850375 40.903428)","40.903427999999998","13372","452","82","117","8","6527","3769","19","1","316","10","19","59","24751"
"146","Hunts Point Ave (6)","6","6","GREEN","express","","POINT (-73.891642 40.820614)","40.820613999999999","18448","711","138","301","4","14465","9621","22","0","791","46","39","39","44625"
"154","Tremont Ave (B,D)","B,D","B,D","ORANGE","express","","POINT (-73.90593 40.84949)","40.849490000000003","18249","663","151","272","0","14110","8979","39","8","688","34","33","64","43290"
"155","Kingsbridge Rd (B,D)","B,D","B,D","ORANGE","","","POINT (-73.894293 40.866175)","40.866174999999998","17239","647","73","188","4","9954","7851","34","2","596","40","29","20","36677"
"156","Bedford Park Blvd (B,D)","B,D","B,D","ORANGE","","","POINT (-73.887873 40.872109)","40.872109000000002","13028","689","75","239","3","6925","7994","46","4","517","56","49","30","29655"
"157","205th St / Norwood (D)","D","D","ORANGE","","","POINT (-73.879427 40.874979)","40.874979000000003","17283","742","114","287","3","9573","9467","37","18","765","60","36","118","38503"
"161","Kingsbridge Rd (4)","4","4","GREEN","","","POINT (-73.897401 40.867497)","40.867497","22104","897","89","279","4","14413","11176","42","4","770","40","49","54","49921"
"183","Bedford Park Blvd / Lehman College (4)","4","4","GREEN","","","POINT (-73.889781 40.873596)","40.873595999999999","11772","447","60","164","0","6642","6629","30","9","396","54","28","34","26265"
"195","161st St / Yankee Stadium (B,D,4)","B,D,4","B,D,4","GREEN-ORANGE","","","POINT (-73.925847 40.827963)","40.827962999999997","47124","2197","332","898","25","31436","25299","82","65","1979","165","109","171","109882"
"205","149th St / Grand Concourse (4)","4","2,4,5","GREEN","express","","POINT (-73.927406 40.818348)","40.818348","27374","986","182","324","16","18209","15466","41","10","2384","87","46","81","65206"
"205","149th St / Grand Concourse (2,5)","2,5","2,4,5","RED-GREEN","express","","POINT (-73.927271 40.818553)","40.818553000000001","27374","986","182","324","16","18209","15466","41","10","2384","87","46","81","65206"
"221","167th St (4)","4","4","GREEN","","","POINT (-73.921296 40.835691)","40.835690999999997","21125","618","96","216","1","15547","9969","35","3","880","40","51","55","48636"
"222","E 177th St / Parkchester (6)","6","6","GREEN","express","","POINT (-73.862713 40.832927)","40.832926999999998","31105","1662","192","441","1","16693","20778","135","4","1571","115","100","86","72883"
"226","Gun Hill Rd (5)","5","5","GREEN","","","POINT (-73.845803 40.870182)","40.870182","13120","484","77","92","0","6311","5157","70","0","582","28","26","46","25993"
