"remote","label","routes","transfers","color","express","closed","point_x","point_x_city","point_y","point_x_state","full_fare","senior_discount","_7_day_ada_farecard_access_system_unl","_30_day_ada_farecard_access_system_rmf_unl","joint_railroad_tkt","_7_day_unl","_30_day_unl","transitcheck_metrocard","rr_unl_no_trade","transitcheck_metrocard_annual_mc","mail_ride_ezpay_exp","mail_ride_ezpay_unl","airtrain_full_fare"
"16","Elder Ave (6)","6","6","GREEN","","","POINT (-73.87916 40.828583)","Bronx","40.828583000000002","NY","22597","946","34","205","59","4839","15461","367","179","953","422","172","135"
"39","225th St / Marble Hill (1)","1","1","RED","","","POINT (-73.909724 40.874631)","Bronx","40.874631000000001","NY","9664","507","49","134","11","5217","6147","17","50","406","81","34","33"
"40","231st St (1)","1","1","RED","","","POINT (-73.904784 40.87891)","Bronx","40.878909999999998","NY","16062","1185","121","354","1","8633","11773","67","12","820","126","76","34"
"52","Woodlawn (4)","4","4","GREEN","","","POINT (-73.87877 40.886019)","Bronx","40.886018999999997","NY","11381","724","135","264","5","8094","6741","48","13","572","55","8","24"
"53","3rd Ave / 149th St (2,5)","2,5","2,5","RED-GREEN","express","","POINT (-73.917642 40.816061)","Bronx","40.816060999999998","NY","45063","1848","334","804","9","36425","24401","97","14","2469","80","78","152"
"104","167th St (B,D)","B,D","B,D","ORANGE","","","POINT (-73.91768 40.834513)","Bronx","40.834513000000001","NY","20484","836","123","185","1","16166","10783","51","2","805","42","39","66"
"106","Castle Hill Ave (6)","6","6","GREEN","","","POINT (-73.851642 40.834191)","Bronx","40.834190999999997","NY","16226","754","112","201","0","9094","8405","57","13","760","49","26","36"
"107","Westchester Sq / E Tremont Ave (6)","6","6","GREEN","","","POINT (-73.842011 40.84061)","Bronx","40.840609999999998","NY","10986","563","80","188","2","6915","7229","12","12","421","88","33","55"
"112","Fordham Rd (B,D)","B,D","B,D","ORANGE","express","","POINT (-73.897102 40.862416)","Bronx","40.862416000000003","NY","27371","968","154","341","6","17672","12798","47","40","888","55","62","72"
"117","242nd St (1)","1","1","RED","","","POINT (-73.898506 40.889424)","Bronx","40.889423999999998","NY","14724","656","64","192","4","6806","9017","94","13","624","216","44","47"
"119","Fordham Rd (4)","4","4","GREEN","","","POINT (-73.901091 40.862733)","Bronx","40.862732999999999","NY","28306","975","175","337","2","20000","12589","55","15","955","73","57","67"
"120","Sound View Ave / Morrison Ave (6)","6","6","GREEN","","","POINT (-73.874475 40.829527)","Bronx","40.829526999999999","NY","14862","555","65","153","0","10632","5714","35","4","425","10","21","20"
"133","Mosholu Pky (4)","4","4","GREEN","","","POINT (-73.884635 40.87974)","Bronx","40.879739999999998","NY","21590","1140","105","274","6","11008","10441","36","8","1067","116","79","102"
"145","241st St / Wakefield (2)","2","2","RED","","","POINT (-73.850375 40.903428)","Bronx","40.903427999999998","NY","13370","489","70","105","2","6633","3778","25","1","326","13","22","69"
"146","Hunts Point Ave (6)","6","6","GREEN","express","","POINT (-73.891642 40.820614)","Bronx","40.820613999999999","NY","19346","672","142","338","0","15750","10501","33","0","853","42","42","32"
"154","Tremont Ave (B,D)","B,D","B,D","ORANGE","express","","POINT (-73.90593 40.84949)","Bronx","40.849490000000003","NY","17895","631","140","270","0","14948","9667","34","16","757","31","37","44"
"155","Kingsbridge Rd (B,D)","B,D","B,D","ORANGE","","","POINT (-73.894293 40.866175)","Bronx","40.866174999999998","NY","17508","643","88","161","4","10922","8058","19","5","630","29","37","46"
"156","Bedford Park Blvd (B,D)","B,D","B,D","ORANGE","","","POINT (-73.887873 40.872109)","Bronx","40.872109000000002","NY","13377","725","60","226","2","7451","8754","51","4","583","73","47","47"
"157","205th St / Norwood (D)","D","D","ORANGE","","","POINT (-73.879427 40.874979)","Bronx","40.874979000000003","NY","17918","698","106","272","4","10148","9974","41","19","761","62","25","112"
"161","Kingsbridge Rd (4)","4","4","GREEN","","","POINT (-73.897401 40.867497)","Bronx","40.867497","NY","23599","948","87","308","6","15591","11907","64","2","881","33","37","52"
"183","Bedford Park Blvd / Lehman College (4)","4","4","GREEN","","","POINT (-73.889781 40.873596)","Bronx","40.873595999999999","NY","13038","427","60","187","2","7239","7126","31","2","476","61","32","36"
"195","161st St / Yankee Stadium (B,D,4)","B,D,4","B,D,4","GREEN-ORANGE","","","POINT (-73.925847 40.827963)","Bronx","40.827962999999997","NY","48056","2219","336","893","17","32136","27005","111","93","2146","170","124","157"
"205","149th St / Grand Concourse (4)","4","2,4,5","GREEN","express","","POINT (-73.927406 40.818348)","Bronx","40.818348","NY","30360","1072","151","335","21","19904","17077","69","14","2771","89","75","103"
"205","149th St / Grand Concourse (2,5)","2,5","2,4,5","RED-GREEN","express","","POINT (-73.927271 40.818553)","Bronx","40.818553000000001","NY","30360","1072","151","335","21","19904","17077","69","14","2771","89","75","103"
"221","167th St (4)","4","4","GREEN","","","POINT (-73.921296 40.835691)","Bronx","40.835690999999997","NY","20549","635","76","207","0","15776","10308","49","7","900","44","56","49"
"222","E 177th St / Parkchester (6)","6","6","GREEN","express","","POINT (-73.862713 40.832927)","Bronx","40.832926999999998","NY","32640","1656","202","500","2","17715","22303","178","5","1756","106","92","94"
