"objectid","borough","type","provider","name","location","latitude","longitude","x","y","location_t","remarks","city","ssid","sourceid","activated","borocode","boroname","ntacode","ntaname","coundist","postcode","borocd","ct2010","bctcb2010","bin","bbl","doitt_id","geolocation"
"255","2","Free","NYPL","Mosholu","285 EAST 205 STREET","40.874379814","-73.8783843503","1017883.47176","257861.247122","Library",,"Bronx","NYPL",,,"2","Bronx","BX43","Norwood","11","10467","207","423","423","2018123","2033410076","330","(40.874379814, -73.8783843503)"
"8320","2","Free","LinkNYC - Citybridge","bx-01-146054","601 EAST 138 STREET","40.806385","-73.916245","1007436.49594","233075.875761","Outdoor Kiosk","Tablet Internet -phone , Free 1 GB Wi-FI Service","Bronx","LinkNYC Free Wi-Fi","LINK-020497","2018-07-11T00:00:00.000","2","Bronx","BX39","Mott Haven-Port Morris","8","10454","201","27","27","2003635","2025510070","4598","(40.806385, -73.916245)"
"8318","2","Free","LinkNYC - Citybridge","bx-01-146024","249 WILLIS AVENUE","40.809668","-73.922623","1005669.90761","234270.488858","Outdoor Kiosk","Tablet Internet -phone , Free 1 GB Wi-FI Service","Bronx","LinkNYC Free Wi-Fi","LINK-020495","2018-04-19T00:00:00.000","2","Bronx","BX39","Mott Haven-Port Morris","8","10454","201","39","39","2000591","2023010020","4596","(40.809668, -73.922623)"
"8332","2","Free","LinkNYC - Citybridge","bx-03-146043","871 BROOK AVENUE","40.822519","-73.91069","1008968.40134","238955.563805","Outdoor Kiosk","Tablet Internet -phone , Free 1 GB Wi-FI Service","Bronx","LinkNYC Free Wi-Fi","LINK-020598","2018-04-24T00:00:00.000","2","Bronx","BX35","Morrisania-Melrose","17","10451","203","141","141","2001203","2023650030","4610","(40.822519, -73.91069)"
"7991","2","Free","LinkNYC - Citybridge","bx-05-119638","2493 VALENTINE AVENUE","40.862051","-73.896079","1012995.37786","253363.073704","Outdoor Kiosk","Tablet Internet -phone , Free 1 GB Wi-FI Service","Bronx","LinkNYC Free Wi-Fi","LINK-013196","2018-06-25T00:00:00.000","2","Bronx","BX05","Bedford Park-Fordham North","15","10458","205","237","237","2013601","2031530020","4269","(40.862051, -73.896079)"
"8323","2","Free","LinkNYC - Citybridge","bx-01-146056","520 BROOK AVENUE","40.814394","-73.915181","1007728.42022","235994.240988","Outdoor Kiosk","Tablet Internet -phone , Free 1 GB Wi-FI Service","Bronx","LinkNYC Free Wi-Fi","LINK-020513","2018-05-31T00:00:00.000","2","Bronx","BX39","Mott Haven-Port Morris","8","10455","201","43","43","2000118","2022750000","4601","(40.814394, -73.915181)"
"8333","2","Free","LinkNYC - Citybridge","bx-01-146065","844 ST ANNS AVENUE","40.822338","-73.909427","1009317.93312","238890.024566","Outdoor Kiosk","Tablet Internet -phone , Free 1 GB Wi-FI Service","Bronx","LinkNYC Free Wi-Fi","LINK-020599","2018-04-19T00:00:00.000","2","Bronx","BX34","Melrose South-Mott Haven North","17","10456","201","71","71","2004358","2026190010","4611","(40.822338, -73.909427)"
"7834","2","Free","LinkNYC - Citybridge","bx-01-138788","426 WILLIS AVENUE","40.813367","-73.919625","1006498.60641","235618.842788","Outdoor Kiosk","Tablet Internet -phone , Free 1 GB Wi-FI Service","Bronx","LinkNYC Free Wi-Fi","LINK-012130","2018-04-13T00:00:00.000","2","Bronx","BX39","Mott Haven-Port Morris","8","10454","201","43","43","2098220","2022890000","4112","(40.813367, -73.919625)"
"8321","2","Free","LinkNYC - Citybridge","bx-01-146045","563 ST ANNS AVENUE","40.814471","-73.912954","1008344.64799","236022.766521","Outdoor Kiosk","Tablet Internet -phone , Free 1 GB Wi-FI Service","Bronx","LinkNYC Free Wi-Fi","LINK-020504","2018-06-25T00:00:00.000","2","Bronx","BX34","Melrose South-Mott Haven North","17","10455","201","71","71","2000000","2022760000","4599","(40.814471, -73.912954)"
"7837","2","Free","LinkNYC - Citybridge","bx-01-131467","436 BROOK AVENUE","40.812163","-73.916467","1007373.16339","235180.898782","Outdoor Kiosk","Tablet Internet -phone , Free 1 GB Wi-FI Service","Bronx","LinkNYC Free Wi-Fi","LINK-012172","2018-05-31T00:00:00.000","2","Bronx","BX39","Mott Haven-Port Morris","8","10454","201","43","43","2090996","2022710010","4115","(40.812163, -73.916467)"
