"precinct","point_x","point_y","backing_unsafely","brake_lights_defect_or_improper","bus_lane_driving_in","cell_phone","commercial_veh_on_pkwy","defective_brakes","disobey_sign","equipment_other","fail_to_keep_right","fail_to_signal","fail_to_stop_on_signal","following_too_closely","headlights_defect_or_improper","improper_lights","improper_passing","improper_turn","improper_missing_plates","not_giving_r_of_w_to_pedes","not_giving_r_of_w_to_veh","one_way_street","pavement_markings","safety_belt","school_bus_passing_stopped","speeding","spillback","tinted_windows","truck_routes","u_turn","uninspected","uninsured","unlicensed_operator","unregistered","unsafe_lane_change","other_movers","total"
" Precinct 40","POINT (-73.91647 40.810908)","40.810907999999998","6","42","0","195","0","0","80","12","2","24","59","1","33","0","0","112","3","2","8","2","21","85","3","70","8","252","0","6","1","129","96","15","8","74
1349","1349"
" Precinct 41","POINT (-73.888165 40.813795)","40.813794999999999","1","28","0","27","0","0","175","1","0","3","41","0","28","5","2","92","6","1","0","2","8","24","0","17","1","45","0","8","9","65","37","11","0","7
644","644"
" Precinct 42","POINT (-73.899108 40.834934)","40.834933999999997","0","25","0","79","0","0","106","0","0","3","81","1","19","1","0","126","0","10","0","0","16","28","5","36","0","73","1","0","8","36","36","10","1","11
712","712"
" Precinct 43","POINT (-73.861463 40.824725)","40.824725000000001","2","46","0","54","3","5","84","5","0","43","45","1","46","0","0","81","1","1","0","2","24","97","1","35","0","156","1","15","2","29","60","7","5","50
901","901"
" Precinct 44","POINT (-73.920798 40.833804)","40.833804000000001","1","53","0","66","0","0","181","10","0","4","22","1","27","0","0","11","5","1","3","0","6","190","0","14","0","95","0","5","6","21","63","17","4","4
810","810"
" Precinct 45","POINT (-73.826079 40.836451)","40.836450999999997","0","27","0","25","0","0","62","0","0","1","1","0","15","0","0","1","2","0","2","1","9","42","0","15","0","25","0","2","5","38","30","1","1","10","315"
" Precinct 46","POINT (-73.909574 40.852747)","40.852747000000001","0","72","0","78","0","4","68","36","1","15","33","0","35","0","1","8","5","2","0","1","6","37","5","8","0","109","0","27","3","126","57","20","2","68","827"
" Precinct 47","POINT (-73.849068 40.887312)","40.887312000000001","1","33","0","29","0","0","69","0","0","3","10","0","30","0","0","30","0","4","1","2","33","95","0","6","0","58","0","0","8","112","49","25","0","177","775"
" Precinct 48","POINT (-73.887517 40.852222)","40.852221999999998","2","21","0","47","0","0","17","1","1","2","36","0","8","0","0","63","0","0","0","0","4","29","0","191","0","214","0","2","1","22","47","8","0","17","733"
" Precinct 49","POINT (-73.854576 40.855673)","40.855673000000003","0","35","0","30","0","1","167","0","0","18","16","2","8","0","0","18","1","0","0","1","0","69","1","13","0","51","5","5","1","37","48","10","0","21","558"
" Precinct 50","POINT (-73.90144 40.890541)","40.890540999999999","1","3","0","111","0","0","174","0","0","7","14","0","2","0","0","20","3","4","0","1","1","101","0","16","0","80","0","0","1","20","22","5","0","10","596"
" Precinct 52","POINT (-73.885859 40.872287)","40.872287","1","72","0","57","0","0","18","3","0","3","17","0","78","6","0","96","10","0","2","0","17","39","0","1","0","162","4","8","11","57","105","43","1","32","845"
"Total","POINT (0 0)","0","15","457","0","798","3","10","1201","68","4","126","375","6","329","12","3","658","36","25","16","12","145","836","15","422","9","1320","11","78","56","692","650","172","22","335","9065"
