"date_range","remote","label","routes","transfers","color","express","full_fare","senior_discount","_7d_ada","_30d_ada","joint_railroad_tkt","_7_day_unl","_30_day_unl","transitcheck_metrocard","railroad_unlimited_no_trade","transitcheck_metrocard_annual_mc","mail_ride_ezpay_exp","mail_ride_ezpay_unl","airtrain_full_fare","total","location"
,"R450","Longwood Ave (6)","6","6","GREEN","false","0",,,,,,,,,,,,,,"POINT (-73.89621 40.816321)"
,"R016","Elder Ave (6)","6","6","GREEN","false","0",,,,,,,,,,,,,,"POINT (-73.87916 40.828583)"
,"R104","167th St (B,D)","B,D","B,D","ORANGE","false","0",,,,,,,,,,,,,,"POINT (-73.91768 40.834513)"
,"R119","Fordham Rd (4)","4","4","GREEN","false","0",,,,,,,,,,,,,,"POINT (-73.901091 40.862733)"
,"R409","Freeman St (2,5)","2,5","2,5","RED-GREEN","false","0",,,,,,,,,,,,,,"POINT (-73.891832 40.83017)"
,"R362","Allerton Ave (2,5)","2,5","2,5","RED-GREEN","false","0",,,,,,,,,,,,,,"POINT (-73.86732 40.865434)"
,"R221","167th St (4)","4","4","GREEN","false","0",,,,,,,,,,,,,,"POINT (-73.921296 40.835691)"
,"R309","176th St (4)","4","4","GREEN","false","0",,,,,,,,,,,,,,"POINT (-73.911694 40.848646)"
,"R222","E 177th St / Parkchester (6)","6","6","GREEN","true","0",,,,,,,,,,,,,,"POINT (-73.862713 40.832927)"
,"R405","Jackson Ave (2,5)","2,5","2,5","RED-GREEN","false","0",,,,,,,,,,,,,,"POINT (-73.908253 40.816242)"
,"R146","Hunts Point Ave (6)","6","6","GREEN","true","0",,,,,,,,,,,,,,"POINT (-73.891642 40.820614)"
,"R183","Bedford Park Blvd / Lehman College (4)","4","4","GREEN","false","0",,,,,,,,,,,,,,"POINT (-73.889781 40.873596)"
,"R366","225th St (2,5)","2,5","2,5","RED-GREEN","false","0",,,,,,,,,,,,,,"POINT (-73.860425 40.88781)"
,"R427","Middletown Rd (6)","6","6","GREEN","false","0",,,,,,,,,,,,,,"POINT (-73.836766 40.843473)"
,"R244","Burnside Ave (4)","4","4","GREEN","false","0",,,,,,,,,,,,,,"POINT (-73.907372 40.853798)"
,"R431","Dyre Ave / Eastchester (5)","5","5","GREEN","false","0",,,,,,,,,,,,,,"POINT (-73.830596 40.889097)"
,"R039","225th St / Marble Hill (1)","1","1","RED","false","0",,,,,,,,,,,,,,"POINT (-73.909724 40.874631)"
,"R106","Castle Hill Ave (6)","6","6","GREEN","false","0",,,,,,,,,,,,,,"POINT (-73.851642 40.834191)"
,"R430","Pelham Pky (5)","5","5","GREEN","false","0",,,,,,,,,,,,,,"POINT (-73.856079 40.85817)"
,"R243","170th St (4)","4","4","GREEN","false","0",,,,,,,,,,,,,,"POINT (-73.917705 40.840203)"
,"R325","Whitlock Ave (6)","6","6","GREEN","false","0",,,,,,,,,,,,,,"POINT (-73.88609 40.827566)"
,"R195","161st St / Yankee Stadium (B,D,4)","B,D,4","B,D,4","GREEN-ORANGE","false","0",,,,,,,,,,,,,,"POINT (-73.925847 40.827963)"
,"R292","Baychester Ave (5)","5","5","GREEN","false","0",,,,,,,,,,,,,,"POINT (-73.838591 40.878663)"
,"R446","Brook Ave (6)","6","6","GREEN","false","0",,,,,,,,,,,,,,"POINT (-73.919237 40.807568)"
,"R117","242nd St (1)","1","1","RED","false","0",,,,,,,,,,,,,,"POINT (-73.898506 40.889424)"
,"R406","Prospect Ave (2,5)","2,5","2,5","RED-GREEN","false","0",,,,,,,,,,,,,,"POINT (-73.901629 40.819678)"
,"R145","241st St / Wakefield (2)","2","2","RED","false","0",,,,,,,,,,,,,,"POINT (-73.850375 40.903428)"
,"R361","Pelham Pky (2,5)","2,5","2,5","RED-GREEN","false","0",,,,,,,,,,,,,,"POINT (-73.867607 40.857235)"
,"R040","231st St (1)","1","1","RED","false","0",,,,,,,,,,,,,,"POINT (-73.904784 40.87891)"
,"R275","183rd St (4)","4","4","GREEN","false","0",,,,,,,,,,,,,,"POINT (-73.903962 40.858367)"
,"R306","238th St (1)","1","1","RED","false","0",,,,,,,,,,,,,,"POINT (-73.900641 40.885077)"
,"R365","219th St (2,5)","2,5","2,5","RED-GREEN","false","0",,,,,,,,,,,,,,"POINT (-73.8628 40.883579)"
,"R445","3rd Ave / 138th St (6)","6","6","GREEN","true","0",,,,,,,,,,,,,,"POINT (-73.927194 40.810995)"
,"R156","Bedford Park Blvd (B,D)","B,D","B,D","ORANGE","false","0",,,,,,,,,,,,,,"POINT (-73.887873 40.872109)"
,"R205","149th St / Grand Concourse (4)","4","2,4,5","GREEN","true","0",,,,,,,,,,,,,,"POINT (-73.927406 40.818348)"
,"R364","Gun Hill Rd (2,5)","2,5","2,5","RED-GREEN","false","0",,,,,,,,,,,,,,"POINT (-73.866518 40.877411)"
,"R429","Pelham Bay Park (6)","6","6","GREEN","false","0",,,,,,,,,,,,,,"POINT (-73.827095 40.852928)"
,"R237","182nd St / 183rd St (B,D)","B,D","B,D","ORANGE","false","0",,,,,,,,,,,,,,"POINT (-73.900271 40.856816)"
,"R133","Mosholu Pky (4)","4","4","GREEN","false","0",,,,,,,,,,,,,,"POINT (-73.884635 40.87974)"
,"R407","Intervale Ave (2,5)","2,5","2,5","RED-GREEN","false","0",,,,,,,,,,,,,,"POINT (-73.896893 40.822096)"
,"R387","E Tremont Ave / West Farms Sq (2,5)","2,5","2,5","RED-GREEN","false","0",,,,,,,,,,,,,,"POINT (-73.880427 40.84009)"
,"R107","Westchester Sq / E Tremont Ave (6)","6","6","GREEN","false","0",,,,,,,,,,,,,,"POINT (-73.842011 40.84061)"
,"R326","Zerega Ave (6)","6","6","GREEN","false","0",,,,,,,,,,,,,,"POINT (-73.846694 40.836771)"
,"R447","Cypress Ave (6)","6","6","GREEN","false","0",,,,,,,,,,,,,,"POINT (-73.914465 40.805548)"
,"R052","Woodlawn (4)","4","4","GREEN","false","0",,,,,,,,,,,,,,"POINT (-73.87877 40.886019)"
,"R307","138th St / Grand Concourse (4,5)","4,5","4,5","GREEN","false","0",,,,,,,,,,,,,,"POINT (-73.929918 40.813077)"
,"R386","174th St (2,5)","2,5","2,5","RED-GREEN","false","0",,,,,,,,,,,,,,"POINT (-73.887682 40.837349)"
,"R444","Nereid Ave / 238th St (2,5)","2,5","2,5","RED-GREEN","false","0",,,,,,,,,,,,,,"POINT (-73.854323 40.898462)"
,"R157","205th St / Norwood (D)","D","D","ORANGE","false","0",,,,,,,,,,,,,,"POINT (-73.879427 40.874979)"
,"R388","E 180th St (2,5)","2,5","2,5","RED-GREEN","true","0",,,,,,,,,,,,,,"POINT (-73.874154 40.841372)"
