"precinct","point_x_city","point_x","point_x_state","point_y","backing_unsafely","brake_lights_defect_or_improper","bus_lane_driving_in","cell_phone","commercial_veh_on_pkwy","defective_brakes","disobey_sign","equipment_other","fail_to_keep_right","fail_to_signal","fail_to_stop_on_signal","following_too_closely","headlights_defect_or_improper","improper_lights","improper_passing","improper_turn","improper_missing_plates","not_giving_r_of_w_to_pedes","not_giving_r_of_w_to_veh","one_way_street","pavement_markings","safety_belt","school_bus_passing_stopped","speeding","spillback","tinted_windows","truck_routes","u_turn","uninspected","uninsured","unlicensed_operator","unregistered","unsafe_lane_change","other_movers","total"
" Precinct 40","Bronx","POINT (-73.91647 40.810908)","NY","40.810907999999998","3","38","0","158","0","0","40","0","0","10","47","1","59","7","0","69","0","10","30","1","18","73","0","36","2","239","1","15","0","100","73","8","5","39","1082"
" Precinct 41","Bronx","POINT (-73.888165 40.813795)","NY","40.813794999999999","1","10","0","23","0","0","156","8","0","12","33","1","38","1","1","58","7","1","1","5","7","41","0","35","0","39","3","8","7","71","43","10","2","10","632"
" Precinct 42","Bronx","POINT (-73.899108 40.834934)","NY","40.834933999999997","2","18","0","93","0","0","102","0","0","6","80","0","19","4","0","151","0","7","2","0","8","56","8","16","0","103","0","0","1","24","40","7","1","12","760"
" Precinct 43","Bronx","POINT (-73.861463 40.824725)","NY","40.824725000000001","3","43","0","41","1","0","76","0","0","42","33","1","48","2","0","80","0","2","0","0","53","87","0","2","0","121","0","33","0","26","60","10","5","35","804"
" Precinct 44","Bronx","POINT (-73.920798 40.833804)","NY","40.833804000000001","0","37","0","49","0","0","263","16","1","3","16","1","28","0","1","4","2","3","0","0","8","137","0","8","1","45","0","3","5","30","80","5","2","6","754"
" Precinct 45","Bronx","POINT (-73.826079 40.836451)","NY","40.836450999999997","0","19","0","77","1","0","71","0","0","2","4","0","20","0","0","0","0","2","0","2","41","74","0","40","0","49","1","1","10","45","36","5","2","10","512"
" Precinct 46","Bronx","POINT (-73.909574 40.852747)","NY","40.852747000000001","0","92","0","47","0","0","79","33","1","11","9","0","47","0","0","12","12","1","2","0","11","29","0","12","1","117","0","9","0","91","48","22","6","63","755"
" Precinct 47","Bronx","POINT (-73.849068 40.887312)","NY","40.887312000000001","1","46","0","60","0","0","66","0","0","0","11","0","46","0","0","36","0","14","1","0","13","130","1","23","0","51","0","0","12","92","56","21","0","134","814"
" Precinct 48","Bronx","POINT (-73.887517 40.852222)","NY","40.852221999999998","4","16","1","129","0","0","44","0","0","3","36","1","5","0","3","93","1","4","0","1","6","56","0","118","4","311","0","11","0","19","68","14","1","7","956"
" Precinct 49","Bronx","POINT (-73.854576 40.855673)","NY","40.855673000000003","0","29","0","41","0","0","129","0","0","23","8","4","8","0","1","23","0","0","1","0","1","100","0","19","0","41","0","6","2","21","51","5","0","14","527"
" Precinct 50","Bronx","POINT (-73.90144 40.890541)","NY","40.890540999999999","1","6","0","113","0","0","122","7","0","1","5","1","7","0","0","7","0","7","2","7","0","160","0","9","0","72","0","1","4","14","21","2","6","16","591"
" Precinct 52","Bronx","POINT (-73.885859 40.872287)","NY","40.872287","3","111","0","76","0","0","15","5","0","13","24","0","240","9","0","162","8","0","0","0","8","38","0","2","0","192","0","15","24","56","108","37","6","53","1205"
"Total","Bronx","POINT (0 0)","NY","0","18","465","1","907","2","0","1163","69","2","126","306","10","565","23","6","695","30","51","39","16","174","981","9","320","8","1380","5","102","65","589","684","146","36","151","9392"
