"remote","name","long_name","label","routes","transfers","color","express","closed","point_x","point_y","full_fare","senoir_discount","day_afas_unlimited_1","day_afas_unlimited_2","transitcheck_metrocard","railroad_unlimited","annual_transitcheck_metrocard","mail_ride_ezpay_express","mail_ride_ezpay_unlimited","airtrain_full_fare","m","n","o"
"307","138th St","138th St / Grand Concourse (4,5) Bronx","138th St / Grand Concourse (4,5)","45","45","GREEN",,,"POINT (-73.929918 40.813077)","40.813077","9198","245","47","95","0","4154","3426","12","5","257","31","24","33"
"205","149th St","149th St / Grand Concourse (4) Bronx","149th St / Grand Concourse (4)","4","245","GREEN",,,"POINT (-73.927406 40.818348)","40.818348","30676","1133","235","344","28","19854","15243","74","12","2813","84","66","113"
"205","149th St","149th St / Grand Concourse (2,5) Bronx","149th St / Grand Concourse (2,5)","25","245","RED-GREEN",,,"POINT (-73.927271 40.818553)","40.818553000000001","30676","1133","235","344","28","19854","15243","74","12","2813","84","66","113"
"195","161st St","161st St / Yankee Stadium (B,D,4) Bronx","161st St / Yankee Stadium (B,D,4)",,,"GREEN-ORANGE",,,"POINT (-73.925847 40.827963)","40.827962999999997","51592","2357","373","895","31","35596","25504","98","97","2078","172","130","206"
"104","167th St","167th St (B,D) Bronx","167th St (B,D)",,,"ORANGE",,,"POINT (-73.91768 40.834513)","40.834513000000001","20250","814","109","191","2","15387","9255","42","4","735","34","31","84"
"221","167th St","167th St (4) Bronx","167th St (4)","4","4","GREEN",,,"POINT (-73.921296 40.835691)","40.835690999999997","23423","685","131","205","4","18355","10787","39","4","916","36","49","53"
"443","170th St","170th St (B,D) Bronx","170th St (B,D)",,,"ORANGE",,,"POINT (-73.913686 40.83884)","40.838839999999998","15295","720","94","192","6","12855","6919","22","5","544","13","19","52"
"243","170th St","170th St (4) Bronx","170th St (4)","4","4","GREEN",,,"POINT (-73.917705 40.840203)","40.840203000000002","22758","900","74","209","1","17792","8647","48","0","700","17","39","49"
"386","174th St","174th St (2,5) Bronx","174th St (2,5)","25","25","RED-GREEN",,,"POINT (-73.887682 40.837349)","40.837349000000003","15798","571","139","245","5","12207","6172","36","0","625","27","33","42"
"253","174th St","174th St / 175th St (B,D) Bronx","174th St / 175th St (B,D)",,,"ORANGE",,,"POINT (-73.910174 40.845914)","40.845914","12756","535","49","136","0","7758","5242","20","5","357","17","40","49"
"309","176th St","176th St (4) Bronx","176th St (4)","4","4","GREEN",,,"POINT (-73.911694 40.848646)","40.848646000000002","14834","506","75","183","0","10564","5174","29","4","426","13","17","22"
"237","182nd St","182nd St / 183rd St (B,D) Bronx","182nd St / 183rd St (B,D)",,,"ORANGE",,,"POINT (-73.900271 40.856816)","40.856816000000002","13289","531","40","83","2","7489","4152","25","0","317","14","11","40"
"275","183rd St","183rd St (4) Bronx","183rd St (4)","4","4","GREEN",,,"POINT (-73.903962 40.858367)","40.858367000000001","17794","526","68","95","1","11673","5519","11","2","370","15","16","33"
"157","205th St","205th St / Norwood (D) Bronx","205th St / Norwood (D)",,,"ORANGE",,,"POINT (-73.879427 40.874979)","40.874979000000003","18707","746","109","292","6","10580","9596","40","25","724","37","44","114"
"365","219th St","219th St (2,5) Bronx","219th St (2,5)","25","25","RED-GREEN",,,"POINT (-73.8628 40.883579)","40.883578999999997","9474","332","46","98","1","4690","2859","34","0","204","10","9","29"
"366","225th St","225th St (2,5) Bronx","225th St (2,5)","25","25","RED-GREEN",,,"POINT (-73.860425 40.88781)","40.887810000000002","12387","442","55","108","0","6260","3333","41","0","285","14","28","26"
"40","231st St","231st St (1) Bronx","231st St (1)","1","1","RED",,,"POINT (-73.904784 40.87891)","40.878909999999998","19833","1502","146","419","4","10988","12353","63","11","812","138","84","48"
"367","233rd St","233rd St (2,5) Bronx","233rd St (2,5)","25","25","RED-GREEN",,,"POINT (-73.857349 40.893393)","40.893393000000003","13521","750","97","179","0","7636","4794","26","1","419","18","16","19"
"306","238th St","238th St (1) Bronx","238th St (1)","1","1","RED",,,"POINT (-73.900641 40.885077)","40.885077000000003","10814","578","42","87","4","3346","5294","46","5","364","138","50","40"
"145","241st St","241st St / Wakefield (2) Bronx","241st St / Wakefield (2)","2","2","RED",,,"POINT (-73.850375 40.903428)","40.903427999999998","14027","481","58","104","3","7194","3559","19","0","340","12","22","75"
"117","242nd St","242nd St (1) Bronx","242nd St (1)","1","1","RED",,,"POINT (-73.898506 40.889424)","40.889423999999998","12259","578","60","151","2","6766","6970","65","15","499","126","16","41"
"445","3rd Ave","3rd Ave / 138th St (6) Bronx","3rd Ave / 138th St (6)","6","6","GREEN",,,"POINT (-73.927194 40.810995)","40.810994999999998","18126","724","90","227","1","13480","7941","27","6","687","33","41","50"
"53","3rd Ave","3rd Ave / 149th St (2,5) Bronx","3rd Ave / 149th St (2,5)","25","25","RED-GREEN",,,"POINT (-73.917642 40.816061)","40.816060999999998","48328","1943","344","789","13","41464","23831","116","16","2420","86","59","150"
"362","Allerton Ave","Allerton Ave (2,5) Bronx","Allerton Ave (2,5)","25","25","RED-GREEN",,,"POINT (-73.86732 40.865434)","40.865434","14741","698","86","224","2","7815","5138","49","0","385","24","17","49"
"292","Baychester Ave","Baychester Ave (5) Bronx","Baychester Ave (5)","5","5","GREEN",,,"POINT (-73.838591 40.878663)","40.878663000000003","10629","326","21","59","2","4056","3037","43","1","300","23","5","53"
"156","Bedford Park Blvd","Bedford Park Blvd (B,D) Bronx","Bedford Park Blvd (B,D)",,,"ORANGE",,,"POINT (-73.887873 40.872109)","40.872109000000002","14715","777","78","219","3","7928","7951","33","0","562","56","48","51"
"183","Bedford Park Blvd","Bedford Park Blvd / Lehman College (4) Bronx","Bedford Park Blvd / Lehman College (4)","4","4","GREEN",,,"POINT (-73.889781 40.873596)","40.873595999999999","12803","542","70","170","1","7572","5957","33","2","434","56","28","39"
"389","Bronx Park East","Bronx Park East (2,5) Bronx","Bronx Park East (2,5)","25","25","RED-GREEN",,,"POINT (-73.868356 40.848991)","40.848990999999998","6988","209","67","59","0","3793","2896","29","2","214","26","10","22"
"446","Brook Ave","Brook Ave (6) Bronx","Brook Ave (6)","6","6","GREEN",,,"POINT (-73.919237 40.807568)","40.807568000000003","17371","742","84","136","0","10813","5531","17","11","454","23","34","29"
"428","Buhre Ave","Buhre Ave (6) Bronx","Buhre Ave (6)","6","6","GREEN",,,"POINT (-73.83226 40.847026)","40.847026","9889","500","28","60","0","2972","3843","79","0","329","85","21","20"
"363","Burke Ave","Burke Ave (2,5) Bronx","Burke Ave (2,5)","25","25","RED-GREEN",,,"POINT (-73.867173 40.871435)","40.871434999999998","10286","496","46","108","0","5090","3259","39","0","335","12","17","17"
"244","Burnside Ave","Burnside Ave (4) Bronx","Burnside Ave (4)","4","4","GREEN",,,"POINT (-73.907372 40.853798)","40.853797999999998","28300","982","160","393","0","20205","11485","35","6","846","39","34","66"
"106","Castle Hill Ave","Castle Hill Ave (6) Bronx","Castle Hill Ave (6)","6","6","GREEN",,,"POINT (-73.851642 40.834191)","40.834190999999997","17007","699","139","172","0","9561","8068","87","6","738","43","16","19"
"447","Cypress Ave","Cypress Ave (6) Bronx","Cypress Ave (6)","6","6","GREEN",,,"POINT (-73.914465 40.805548)","40.805548000000002","10185","332","59","72","1","6571","3099","11","4","225","18","3","32"
"431","Dyre Ave","Dyre Ave / Eastchester (5) Bronx","Dyre Ave / Eastchester (5)","5","5","GREEN",,,"POINT (-73.830596 40.889097)","40.889097","11805","333","36","92","4","5122","3874","47","4","378","29","20","67"
"448","E 143rd St","E 143rd St / St Mary's St (6) Bronx","E 143rd St / St Mary's St (6)","6","6","GREEN",,,"POINT (-73.907838 40.808193)","40.808193000000003","2591","119","6","35","2","1395","1040","2","2","21","8","11","2"
"449","E 149th St","E 149th St (6) Bronx","E 149th St (6)","6","6","GREEN",,,"POINT (-73.904147 40.812115)","40.812114999999999","10418","492","53","127","0","8411","4336","31","4","389","9","9","22"
"222","E 177th St","E 177th St / Parkchester (6) Bronx","E 177th St / Parkchester (6)","6","6","GREEN",,,"POINT (-73.862713 40.832927)","40.832926999999998","35349","1861","217","491","5","19972","21763","184","7","1732","124","61","77"
"388","E 180th St","E 180th St (2,5) Bronx","E 180th St (2,5)","25","25","RED-GREEN",,,"POINT (-73.874154 40.841372)","40.841372","14200","393","89","144","0","10053","6539","38","7","438","60","41","40"
"387","E Tremont Ave","E Tremont Ave / West Farms Sq (2,5) Bronx","E Tremont Ave / West Farms Sq (2,5)","25","25","RED-GREEN",,,"POINT (-73.880427 40.84009)","40.840089999999996","15409","548","120","232","3","12775","6358","26","4","632","4","21","52"
"16","Elder Ave","Elder Ave (6) Bronx","Elder Ave (6)","6","6","GREEN",,,"POINT (-73.87916 40.828583)","40.828583000000002","24192","1082","59","210","100","5607","13229","326","163","780","413","163","205"
"112","Fordham Rd","Fordham Rd (B,D) Bronx","Fordham Rd (B,D)",,,"ORANGE",,,"POINT (-73.897102 40.862416)","40.862416000000003","29643","1063","137","311","13","18971","11887","41","58","841","47","57","87"
"119","Fordham Rd","Fordham Rd (4) Bronx","Fordham Rd (4)","4","4","GREEN",,,"POINT (-73.901091 40.862733)","40.862732999999999","29780","1058","181","298","1","21284","11279","42","12","948","54","49","70"
