Date Range,Remote,Station Name,Routes,Transfers,Color,EXPRESS,Full Fare,Senior Discount, 7-Day Americans w/Disabilities Act Farecard Access System UNL,30-Day Americans w/Disabilities Act (ADA) Farecard Access System/Reduced Metrocard Fare UNL,JOINT Railroad TKT,7-Day UNL,30-Day UNL,Transitcheck Metrocard,Railroad Unlimited NO TRADE,Transitcheck Metrocard ANNUAL MC,Mail&Ride EZPAY EXP,Mail&Ride EZPAY UNL,AIRTRAIN Full Fare,TOTAL,Location,Bronx Congressional Districts,Bronx School Districts 2010-11,2010 Bronx Census Tracts,Zip Codes
,R040,231st St (1),1,1,RED,false,0,,,,,,,,,,,,,,"(40.87891, -73.904784)",17,2,105,11272
,R275,183rd St (4),4,4,GREEN,false,0,,,,,,,,,,,,,,"(40.858367, -73.903962)",16,2,38,10931
,R306,238th St (1),1,1,RED,false,0,,,,,,,,,,,,,,"(40.885077, -73.900641)",17,2,105,11272
,R365,"219th St (2,5)","2,5","2,5",RED-GREEN,false,0,,,,,,,,,,,,,,"(40.883579, -73.8628)",17,6,326,11605
,R445,3rd Ave / 138th St (6),6,6,GREEN,true,0,,,,,,,,,,,,,,"(40.810995, -73.927194)",16,1,25,10932
,R156,"Bedford Park Blvd (B,D)","B,D","B,D",ORANGE,false,0,,,,,,,,,,,,,,"(40.872109, -73.887873)",17,2,65,10936
,R205,149th St / Grand Concourse (4),4,"2,4,5",GREEN,true,0,,,,,,,,,,,,,,"(40.818348, -73.927406)",16,1,25,10929
,R364,"Gun Hill Rd (2,5)","2,5","2,5",RED-GREEN,false,0,,,,,,,,,,,,,,"(40.877411, -73.866518)",17,6,380,11605
,R429,Pelham Bay Park (6),6,6,GREEN,false,0,,,,,,,,,,,,,,"(40.852928, -73.827095)",7,5,275,11270
,R237,"182nd St / 183rd St (B,D)","B,D","B,D",ORANGE,false,0,,,,,,,,,,,,,,"(40.856816, -73.900271)",16,2,56,10935
,R133,Mosholu Pky (4),4,4,GREEN,false,0,,,,,,,,,,,,,,"(40.87974, -73.884635)",17,2,70,11605
,R407,"Intervale Ave (2,5)","2,5","2,5",RED-GREEN,false,0,,,,,,,,,,,,,,"(40.822096, -73.896893)",16,5,236,10937
,R387,"E Tremont Ave / West Farms Sq (2,5)","2,5","2,5",RED-GREEN,false,0,,,,,,,,,,,,,,"(40.84009, -73.880427)",16,3,153,11269
