"precinct","point_x","point_y","backing_unsafely","brake_lights_defect_or_improper","bus_lane_driving_in","cell_phone","commercial_veh_on_pkwy","defective_brakes","disobey_sign","equipment_other","fail_to_keep_right","fail_to_signal","fail_to_stop_on_signal","following_too_closely","headlights_defect_or_improper","improper_lights","improper_passing","improper_turn","improper_missing_plates","not_giving_r_of_w_to_pedes","not_giving_r_of_w_to_veh","one_way_street","pavement_markings","safety_belt","school_bus_passing_stopped","speeding","spillback","tinted_windows","truck_routes","u_turn","uninspected","uninsured","unlicensed_operator","unregistered","unsafe_lane_change","other_movers","total_movers"
"49","
Bronx, NY 
(40.855673, -73.854576)","40.855673000000003","0","6","0","49","0","2","66","0","1","43","0","0","7","0","1","15","1","0","5","0","49","84","0","11","1","81","0","1","1","8","54","3","1","2","492"
"42","
Bronx, NY 
(40.834934, -73.899108)","40.834933999999997","0","8","1","69","0","0","105","0","0","2","86","1","15","5","0","148","0","7","3","1","14","45","9","26","0","94","2","0","1","20","41","4","0","10","717"
"47","
Bronx, NY 
(40.887312, -73.849068)","40.887312000000001","1","20","0","47","0","0","19","0","0","0","10","1","23","0","0","63","0","7","0","1","11","141","1","7","0","59","3","0","9","92","35","32","0","24","606"
"43","
Bronx, NY 
(40.824725, -73.861463)","40.824725000000001","7","31","0","31","0","0","51","11","0","45","11","0","21","0","0","49","0","26","1","3","14","38","12","34","0","130","1","2","0","18","42","7","10","30","625"
"52","
Bronx, NY 
(40.872287, -73.885859)","40.872287","9","50","2","38","0","0","95","2","0","13","23","0","52","0","1","68","12","0","5","2","104","50","0","18","0","220","3","4","6","53","98","21","3","9","961"
"48","
Bronx, NY 
(40.852222, -73.887517)","40.852221999999998","4","15","12","83","0","0","105","0","2","67","47","1","18","2","0","133","0","2","1","0","26","79","1","175","3","219","9","8","1","41","61","13","4","35","1167"
"44","
Bronx, NY 
(40.833804, -73.920798)","40.833804000000001","1","28","0","108","0","0","228","5","1","4","62","0","22","0","0","4","3","5","3","1","23","161","2","11","3","88","6","2","5","35","83","17","0","31","942"
"40","
Bronx, NY 
(40.810908, -73.91647)","40.810907999999998","4","13","0","68","0","0","125","2","1","14","28","1","19","0","2","67","2","4","8","9","5","56","1","95","2","179","1","13","1","108","66","9","5","43","951"
"45","
Bronx, NY 
(40.836451, -73.826079)","40.836450999999997","1","10","0","75","1","0","61","0","0","3","14","1","20","0","0","6","3","2","3","2","14","36","2","44","0","57","2","1","2","31","34","12","4","25","466"
"50","
Bronx, NY 
(40.890541, -73.90144)","40.890540999999999","1","3","0","110","0","0","264","0","0","7","12","0","7","1","0","13","0","2","0","2","1","87","4","32","0","70","0","2","0","22","20","3","1","42","706"
"41","
Bronx, NY 
(40.813795, -73.888165)","40.813794999999999","0","34","0","27","0","0","193","0","1","2","12","0","26","0","0","76","2","9","0","3","19","57","1","168","0","75","7","20","5","81","45","14","0","19","896"
"46","
Bronx, NY 
(40.852747, -73.909574)","40.852747000000001","11","44","20","46","0","2","159","42","1","27","69","0","42","0","4","4","4","11","5","2","21","34","0","6","8","242","6","41","2","119","63","9","1","145","1190"
